# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.198
metadata : {}


# id : NWRW1800000054.198.1.1
[어떻게 생각하십니까] 서울교육청, 체벌 대신해온 상벌점제 없앤다는데…

[어떻게	[/SS+어떻/VA+게/EC
생각하십니까]	생각/NNG+하/XSV+시/EP+ㅂ니까/EF+]/SS
서울교육청,	서울교육청/NNP+,/SP
체벌	체벌/NNG
대신해온	대신/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
상벌점제	상벌점제/NNG
없앤다는데…	없애/VV+ㄴ다는데/EC+…/SE


# id : NWRW1800000054.198.2.1
조희연교육감 "非인권적" 지적… 학생인권 계획 초안에 포함시켜

조희연교육감	조희연/NNP+교육감/NNG
"非인권적"	"/SS+非/SH+인권/NNG+적/XSN+"/SS
지적…	지적/NNG+…/SE
학생인권	학생/NNG+인권/NNG
계획	계획/NNG
초안에	초안/NNG+에/JKB
포함시켜	포함/NNG+시키/XSV+어/EC


# id : NWRW1800000054.198.3.1
서울시교육청이 상벌점제 폐지 등을 담은 '학생인권 3개년 종합계획' 초안(草案)을 24일 공개했다.

서울시교육청이	서울시교육청/NNP+이/JKS
상벌점제	상벌점제/NNG
폐지	폐지/NNG
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
'학생인권	'/SS+학생/NNG+인권/NNG
3개년	3/SN+개년/NNB
종합계획'	종합/NNG+계획/NNG+'/SS
초안(草案)을	초안/NNG+(/SS+草案/SH+)/SS+을/JKO
24일	24/SN+일/NNB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.198.3.2
2012년 도입된 학생인권조례를 더욱 구체화한 내용이다.

2012년	2012/SN+년/NNB
도입된	도입/NNG+되/XSV+ㄴ/ETM
학생인권조례를	학생/NNG+인권/NNG+조례/NNG+를/JKO
더욱	더욱/MAG
구체화한	구체/NNG+화/XSN+하/XSV+ㄴ/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.198.3.3
교육청 관계자는 "일선 교사, 학부모, 학생들의 의견을 들어 오는 10월쯤 확정안을 발표할 예정"이라고 말했다.

교육청	교육청/NNG
관계자는	관계자/NNG+는/JX
"일선	"/SS+일선/NNG
교사,	교사/NNG+,/SP
학부모,	학부모/NNG+,/SP
학생들의	학생/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
들어	듣/VV+어/EC
오는	오/VV+는/ETM
10월쯤	10/SN+월/NNB+쯤/XSN
확정안을	확정안/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.198.3.4
그러나 국내 최대 교원단체인 한국교총 등이 "그나마 남은 학생 지도 수단마저 없애는 것 아니냐"고 걱정하고 있다.

그러나	그러나/MAJ
국내	국내/NNG
최대	최대/NNG
교원단체인	교원/NNG+단체/NNG+이/VCP+ㄴ/ETM
한국교총	한국교총/NNP
등이	등/NNB+이/JKS
"그나마	"/SS+그나마/MAG
남은	남/VV+은/ETM
학생	학생/NNG
지도	지도/NNG
수단마저	수단/NNG+마저/JX
없애는	없애/VV+는/ETM
것	것/NNB
아니냐"고	아니/VCN+냐/EF+"/SS+고/JKQ
걱정하고	걱정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.198.4.1
◇상벌점제 폐지… 교육 현장 견해 엇갈려

◇상벌점제	◇/SW+상벌점제/NNG
폐지…	폐지/NNG+…/SE
교육	교육/NNG
현장	현장/NNG
견해	견해/NNG
엇갈려	엇갈리/VV+어/EC


# id : NWRW1800000054.198.5.1
인권종합계획에서 가장 논란이 큰 부분은 '상벌점제 폐지'다.

인권종합계획에서	인권/NNG+종합/NNG+계획/NNG+에서/JKB
가장	가장/MAG
논란이	논란/NNG+이/JKS
큰	크/VA+ㄴ/ETM
부분은	부분/NNG+은/JX
'상벌점제	'/SS+상벌점제/NNG
