# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.66
metadata : {}


# id : NWRW1800000042.66.1.1
일흔셋의 격정적 아리아… 1만2000명 마음 적셨네

일흔셋의	일흔셋/NR+의/JKG
격정적	격정/NNG+적/XSN
아리아…	아리아/NNG+…/SE
1만2000명	1/SN+만/NR+2000/SN+명/NNB
마음	마음/NNG
적셨네	적시/VV+었/EP+네/EF


# id : NWRW1800000042.66.2.1
伊 베로나 오페라 페스티벌, 플라시도 도밍고 리사이틀 가보니

伊	伊/SH
베로나	베로나/NNP
오페라	오페라/NNG
페스티벌,	페스티벌/NNG+,/SP
플라시도	플라시도/NNP
도밍고	도밍고/NNP
리사이틀	리사이틀/NNG
가보니	가/VV+아/EC+보/VX+니/EC


# id : NWRW1800000042.66.3.1
"공연에 앞서 최근 타계한 마에스트로 로린 마젤과 우크라이나 비행기 참사로 세상을 뜬 이들을 위한 묵념을 하겠습니다."

"공연에	"/SS+공연/NNG+에/JKB
앞서	앞서/VV+어/EC
최근	최근/NNG
타계한	타계/NNG+하/XSV+ㄴ/ETM
마에스트로	마에스트로/NNG
로린	로린/NNP
마젤과	마젤/NNP+과/JC
우크라이나	우크라이나/NNP
비행기	비행기/NNG
참사로	참사/NNG+로/JKB
세상을	세상/NNG+을/JKO
뜬	뜨/VV+ㄴ/ETM
이들을	이/NNB+들/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
묵념을	묵념/NNG+을/JKO
하겠습니다."	하/VV+겠/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000042.66.4.1
17일 밤 10시(현지 시각) 이탈리아 베로나 오페라 페스티벌이 열리는 로마시대 원형 경기장 아레나(Arena).

17일	17/SN+일/NNB
밤	밤/NNG
10시(현지	10/SN+시/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
이탈리아	이탈리아/NNP
베로나	베로나/NNP
오페라	오페라/NNG
페스티벌이	페스티벌/NNG+이/JKS
열리는	열리/VV+는/ETM
로마시대	로마/NNP+시대/NNG
원형	원형/NNG
경기장	경기장/NNG
아레나(Arena).	아레나/NNG+(/SS+Arena/SL+)/SS+./SF


# id : NWRW1800000042.66.4.2
이탈리아어와 독일어, 영어 순으로 안내방송이 흘러나오자 아레나를 가득 채운 관객 1만2000명이 일제히 자리에서 일어섰다.

이탈리아어와	이탈리아어/NNP+와/JC
독일어,	독일어/NNP+,/SP
영어	영어/NNP
순으로	순/NNB+으로/JKB
안내방송이	안내/NNG+방송/NNG+이/JKS
흘러나오자	흘러나오/VV+자/EC
아레나를	아레나/NNG+를/JKO
가득	가득/MAG
채운	채우/VV+ㄴ/ETM
관객	관객/NNG
1만2000명이	1/SN+만/NR+2000/SN+명/NNB+이/JKS
일제히	일제히/MAG
자리에서	자리/NNG+에서/JKB
일어섰다.	일어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.66.5.1
이날은 세계적 성악가 플라시도 도밍고(73)의 베르디 아리아 리사이틀이 열리는 날.

이날은	이날/NNG+은/JX
세계적	세계/NNG+적/XSN
성악가	성악가/NNG
플라시도	플라시도/NNP
도밍고(73)의	도밍고/NNP+(/SS+73/SN+)/SS+의/JKG
베르디	베르디/NNP
아리아	아리아/NNG
리사이틀이	리사이틀/NNG+이/JKS
열리는	열리/VV+는/ETM
날.	날/NNG+./SF


# id : NWRW1800000042.66.5.2
출범 101주년을 맞은 베로나 오페라 페스티벌 중 가장 기대를 모은 공연이었다.

출범	출범/NNG
101주년을	101/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
베로나	베로나/NNP
오페라	오페라/NNG
페스티벌	페스티벌/NNG
중	중/NNB
가장	가장/MAG
기대를	기대/NNG+를/JKO
모은	모으/VV+ㄴ/ETM
