# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.278
metadata : {}


# id : NWRW1800000046.278.1.1
[기자의 시각] 국회 수준 보여준 심학봉

[기자의	[/SS+기자/NNG+의/JKG
시각]	시각/NNG+]/SS
국회	국회/NNG
수준	수준/NNG
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
심학봉	심학봉/NNP


# id : NWRW1800000046.278.2.1
지난 7월 말 현역 국회의원의 성폭행 제보를 받았을 때의 첫 느낌은 '설마'였다.

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
말	말/NNB
현역	현역/NNG
국회의원의	국회/NNG+의원/NNG+의/JKG
성폭행	성폭행/NNG
제보를	제보/NNG+를/JKO
받았을	받/VV+았/EP+을/ETM
때의	때/NNG+의/JKG
첫	첫/MMN
느낌은	느낌/NNG+은/JX
'설마'였다.	'/SS+설마/MAG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.278.2.2
제보 내용이 비교적 구체적이었지만 '그래도 국회의원인데…' 싶었다.

제보	제보/NNG
내용이	내용/NNG+이/JKS
비교적	비교/NNG+적/XSN
구체적이었지만	구체/NNG+적/XSN+이/VCP+었/EP+지만/EC
'그래도	'/SS+그러/VV+어도/EC
국회의원인데…'	국회/NNG+의원/NNG+이/VCP+ㄴ데/EC+…/SE+'/SS
싶었다.	싶/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.278.2.3
경찰과 호텔, 사건 관계자 등을 차례로 취재하면서 진상(眞相)은 뚜렷해졌다.

경찰과	경찰/NNG+과/JC
호텔,	호텔/NNG+,/SP
사건	사건/NNG
관계자	관계자/NNG
등을	등/NNB+을/JKO
차례로	차례/NNG+로/JKB
취재하면서	취재/NNG+하/XSV+면서/EC
진상(眞相)은	진상/NNG+(/SS+眞相/SH+)/SS+은/JX
뚜렷해졌다.	뚜렷하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.278.2.4
피해 여성 측 폭로는 가히 충격적이었다.

피해	피해/NNG
여성	여성/NNG
측	측/NNB
폭로는	폭로/NNG+는/JX
가히	가히/MAG
충격적이었다.	충격/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.278.2.5
