# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.27
metadata : {}


# id : NWRW1800000021.27.1.1
“정치지도자들 최고법원 판결 존중해야”

“정치지도자들	“/SS+정치/NNG+지도자/NNG+들/XSN
최고법원	최고/NNG+법원/NNG
판결	판결/NNG
존중해야”	존중/NNG+하/XSV+아야/EC+”/SS


# id : NWRW1800000021.27.2.1
미국 최초의 여성 대법관을 지낸 샌드라 데이 오코너 전 대법관이 22일 동아일보와 인터뷰를 가졌다.

미국	미국/NNP
최초의	최초/NNG+의/JKG
여성	여성/NNG
대법관을	대/XPN+법관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
샌드라	샌드라/NNP
데이	데이/NNP
오코너	오코너/NNP
전	전/MMD
대법관이	대/XPN+법관/NNG+이/JKS
22일	22/SN+일/NNB
동아일보와	동아일보/NNP+와/JKB
인터뷰를	인터뷰/NNG+를/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.27.2.2
그는 진보와 보수에 얽매이지 않는 판결로 ‘사법부 권위의 살아 있는 상징’으로 불린다.

그는	그/NP+는/JX
진보와	진보/NNG+와/JC
보수에	보수/NNG+에/JKB
얽매이지	얽매이/VV+지/EC
않는	않/VX+는/ETM
판결로	판결/NNG+로/JKB
‘사법부	‘/SS+사법부/NNG
권위의	권위/NNG+의/JKG
살아	살/VV+아/EC
있는	있/VX+는/ETM
상징’으로	상징/NNG+’/SS+으로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.27.3.1
오코너 전 대법관은 “권위 있는 사법 시스템은 민주주의의 핵심”이라며 “정치 지도자들이 최고 법원의 판결 내용을 존중하고 따르는 문화가 쌓여 가야 한다”고 말했다.

오코너	오코너/NNP
전	전/MMD
대법관은	대/XPN+법관/NNG+은/JX
“권위	“/SS+권위/NNG
있는	있/VA+는/ETM
사법	사법/NNG
시스템은	시스템/NNG+은/JX
민주주의의	민주주의/NNG+의/JKG
핵심”이라며	핵심/NNG+”/SS+이/VCP+라며/EC
“정치	“/SS+정치/NNG
지도자들이	지도자/NNG+들/XSN+이/JKS
최고	최고/NNG
법원의	법원/NNG+의/JKG
판결	판결/NNG
내용을	내용/NNG+을/JKO
존중하고	존중/NNG+하/XSV+고/EC
따르는	따르/VV+는/ETM
문화가	문화/NNG+가/JKS
쌓여	쌓이/VV+어/EC
가야	가/VX+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.27.4.1
그는 또 “법관으로서 나의 이념은 오로지 헌법 수호 정신”이라며 “주변에서 뭐라고 하든 헌법을 따라가는 것이 나의 이념”이라고 말했다.

그는	그/NP+는/JX
또	또/MAG
“법관으로서	“/SS+법관/NNG+으로서/JKB
나의	나/NP+의/JKG
이념은	이념/NNG+은/JX
오로지	오로지/MAG
헌법	헌법/NNG
수호	수호/NNG
정신”이라며	정신/NNG+”/SS+이/VCP+라며/EC
“주변에서	“/SS+주변/NNG+에서/JKB
뭐라고	뭐/NP+이/VCP+라고/EC
하든	하/VV+든/EC
헌법을	헌법/NNG+을/JKO
따라가는	따라가/VV+는/ETM
것이	것/NNB+이/JKS
이념”이라고	이념/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.27.5.1
오코너 전 대법관은 성차별이 엄존하던 시대를 헤쳐 온 개인사를 소개하면서 후배 여성들에게 “자신이 하는 일에 창조적인 자세로 임한다면 이루지 못할 게 없다”고 조언했다.

오코너	오코너/NNP
전	전/MMD
대법관은	대/XPN+법관/NNG+은/JX
성차별이	성차별/NNG+이/JKS
엄존하던	엄존/NNG+하/XSV+던/ETM
시대를	시대/NNG+를/JKO
헤쳐	헤치/VV+어/EC
온	오/VX+ㄴ/ETM
개인사를	개인사/NNG+를/JKO
소개하면서	소개/NNG+하/XSV+면서/EC
후배	후배/NNG
여성들에게	여성/NNG+들/XSN+에게/JKB
“자신이	“/SS+자신/NNG+이/JKS
하는	하/VV+는/ETM
일에	일/NNG+에/JKB
창조적인	창조/NNG+적/XSN+이/VCP+ㄴ/ETM
자세로	자세/NNG+로/JKB
임한다면	임하/VV+ㄴ다면/EC
이루지	이루/VV+지/EC
못할	못하/VX+ㄹ/ETM
게	거/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


