# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.380
metadata : {}


# id : NWRW1800000028.380.1.1
현직검사가 “금융감독기관에 수사권 줘야”

현직검사가	현직/NNG+검사/NNG+가/JKS
“금융감독기관에	“/SS+금융/NNG+감독/NNG+기관/NNG+에/JKB
수사권	수사/NNG+권/XSN
줘야”	주/VV+어야/EC+”/SS


# id : NWRW1800000028.380.2.1
불공정 거래 등 금융 범죄를 제대로 처벌하려면 금융감독기관에 강제수사권을 줘야 한다는 현직 검사의 주장이 나왔다.

불공정	불/XPN+공정/NNG
거래	거래/NNG
등	등/NNB
금융	금융/NNG
범죄를	범죄/NNG+를/JKO
제대로	제대로/MAG
처벌하려면	처벌/NNG+하/XSV+려면/EC
금융감독기관에	금융/NNG+감독/NNG+기관/NNG+에/JKB
강제수사권을	강제/NNG+수사/NNG+권/XSN+을/JKO
줘야	주/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
현직	현직/NNG
검사의	검사/NNG+의/JKG
주장이	주장/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.380.2.2
검찰 조직은 수사권 부여에 완강하게 반대해 왔다.

검찰	검찰/NNG
조직은	조직/NNG+은/JX
수사권	수사/NNG+권/XSN
부여에	부여/NNG+에/JKB
완강하게	완강하/VA+게/EC
반대해	반대/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.380.3.1
배종혁 수원지검 특수부 부부장 검사는 27일 법무부 주최로 서울 여의도 사학연금회관에서 열린 ‘자본시장 불공정 거래행위에 대한 효율적 규제방안 모색을 위한 심포지엄’에서 금융 비리의 1차 조사기관인 금융감독원(금감원)에 특별사법경찰관(특사경)의 권한을 부여하자고 제안했다.

배종혁	배종혁/NNP
수원지검	수원지검/NNP
특수부	특수부/NNG
부부장	부부장/NNG
검사는	검사/NNG+는/JX
27일	27/SN+일/NNB
법무부	법무부/NNG
주최로	주최/NNG+로/JKB
서울	서울/NNP
여의도	여의도/NNP
사학연금회관에서	사학연금회관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘자본시장	‘/SS+자본/NNG+시장/NNG
불공정	불/XPN+공정/NNG
거래행위에	거래/NNG+행위/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
효율적	효율/NNG+적/XSN
규제방안	규제/NNG+방안/NNG
모색을	모색/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
심포지엄’에서	심포지엄/NNG+’/SS+에서/JKB
금융	금융/NNG
비리의	비리/NNG+의/JKG
1차	1/SN+차/NNB
조사기관인	조사/NNG+기관/NNG+이/VCP+ㄴ/ETM
금융감독원(금감원)에	금융/NNG+감독원/NNG+(/SS+금감원/NNG+)/SS+에/JKB
특별사법경찰관(특사경)의	특별/NNG+사법/NNG+경찰관/NNG+(/SS+특사경/NNG+)/SS+의/JKG
권한을	권한/NNG+을/JKO
부여하자고	부여/NNG+하/XSV+자고/EC
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.380.3.2
배 검사는 “압수·수색·체포·구속의 권한이 없는 금감원의 임의조사로 인해 혐의자들이 출석에 불응하거나, 문답조사를 받은 후 조사 과정에서 지득한 내용으로 서로 말맞추기를 하거나, 증거를 은닉·인멸하는 등의 사례가 다수 발생하고 있다”며 “이는 검찰 수사 단계에서 사안의 실체 규명을 위한 인적·물적 증거를 확보하는 데 심각한 장애 요인으로 작용하고 있다”고 밝혔다.

배	배/NNP
검사는	검사/NNG+는/JX
“압수·수색·체포·구속의	“/SS+압수/NNG+·/SP+수색/NNG+·/SP+체포/NNG+·/SP+구속/NNG+의/JKG
권한이	권한/NNG+이/JKS
없는	없/VA+는/ETM
금감원의	금감원/NNG+의/JKG
임의조사로	임의/NNG+조사/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
혐의자들이	혐의자/NNG+들/XSN+이/JKS
출석에	출석/NNG+에/JKB
불응하거나,	불응/NNG+하/XSV+거나/EC+,/SP
문답조사를	문답/NNG+조사/NNG+를/JKO
받은	받/VV+은/ETM
후	후/NNG
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
지득한	지득/NNG+하/XSV+ㄴ/ETM
내용으로	내용/NNG+으로/JKB
서로	서로/MAG
말맞추기를	말/NNG+맞추/VV+기/ETN+를/JKO
하거나,	하/VV+거나/EC+,/SP
증거를	증거/NNG+를/JKO
은닉·인멸하는	은닉/NNG+·/SP+인멸/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
사례가	사례/NNG+가/JKS
다수	다수/NNG
발생하고	발생/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
검찰	검찰/NNG
수사	수사/NNG
단계에서	단계/NNG+에서/JKB
사안의	사안/NNG+의/JKG
실체	실체/NNG
규명을	규명/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
인적·물적	인/NNG+적/XSN+·/SP+물/NNG+적/XSN
확보하는	확보/NNG+하/XSV+는/ETM
데	데/NNB
심각한	심각하/VA+ㄴ/ETM
장애	장애/NNG
요인으로	요인/NNG+으로/JKB
작용하고	작용/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.380.4.1
실제로 금감원 직원들이 현장에 조사를 나갔다가 회사 쪽의 완강한 저항에 부닥치는 경우가 빈번하다.

실제로	실제로/MAG
금감원	금감원/NNG
직원들이	직원/NNG+들/XSN+이/JKS
현장에	현장/NNG+에/JKB
조사를	조사/NNG+를/JKO
나갔다가	나가/VV+았/EP+다가/EC
회사	회사/NNG
쪽의	쪽/NNB+의/JKG
완강한	완강하/VA+ㄴ/ETM
저항에	저항/NNG+에/JKB
부닥치는	부닥치/VV+는/ETM
경우가	경우/NNG+가/JKS
빈번하다.	빈번하/VA+다/EF+./SF


# id : NWRW1800000028.380.4.2
지난해 11월 금감원 검사반 직원들은 삼성생명 본사 사무실을 찾았다.

지난해	지난해/NNG
11월	11/SN+월/NNB
금감원	금감원/NNG
검사반	검사/NNG+반/NNG
직원들은	직원/NNG+들/XSN+은/JX
삼성생명	삼성생명/NNP
본사	본사/NNG
사무실을	사무실/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.380.4.3
정기검사 과정에서 ‘고객정보를 이용한 통합보험 가망고객 타깃 정보’ 등과 관련한 자료 등을 요청했으나 삼성생명 쪽이 이를 거부하자 직접 사무실을 찾은 것이었다.

정기검사	정기/NNG+검사/NNG
과정에서	과정/NNG+에서/JKB
‘고객정보를	‘/SS+고객/NNG+정보/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
통합보험	통합/NNG+보험/NNG
가망고객	가망/NNG+고객/NNG
타깃	타깃/NNG
정보’	정보/NNG+’/SS
등과	등/NNB+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
자료	자료/NNG
등을	등/NNB+을/JKO
요청했으나	요청/NNG+하/XSV+았/EP+으나/EC
삼성생명	삼성생명/NNP
쪽이	쪽/NNB+이/JKS
이를	이/NP+를/JKO
거부하자	거부/NNG+하/XSV+자/EC
직접	직접/MAG
사무실을	사무실/NNG+을/JKO
찾은	찾/VV+은/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.380.4.4
그러나 삼성생명 양아무개 변호사는 “영장 없는 자료수색은 위법이다”, “컴퓨터 파일을 열어주는 사람은 나한테 죽을 줄 알아”라는 거친 언사로 직원들의 조사 협조를 막았다.

그러나	그러나/MAJ
삼성생명	삼성생명/NNP
양아무개	양/NNP+아무개/NP
변호사는	변호사/NNG+는/JX
“영장	“/SS+영장/NNG
없는	없/VA+는/ETM
자료수색은	자료/NNG+수색/NNG+은/JX
위법이다”,	위법/NNG+이/VCP+다/EF+”/SS+,/SP
“컴퓨터	“/SS+컴퓨터/NNG
파일을	파일/NNG+을/JKO
열어주는	열/VV+어/EC+주/VX+는/ETM
사람은	사람/NNG+은/JX
나한테	나/NP+한테/JKB
죽을	죽/VV+을/ETM
줄	줄/NNB
알아”라는	알/VV+아/EF+”/SS+이/VCP+라는/ETM
거친	거칠/VA+ㄴ/ETM
언사로	언사/NNG+로/JKB
직원들의	직원/NNG+들/XSN+의/JKG
조사	조사/NNG
협조를	협조/NNG+를/JKO
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.380.4.5
