# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.291
metadata : {}


# id : NWRW1800000045.291.1.1
[송평인의 시사讀說]북한은 이란이 아니다

[송평인의	[/SS+송평인/NNP+의/JKG
시사讀說]북한은	시사/NNG+讀說/SH+]/SS+북한/NNP+은/JX
이란이	이란/NNP+이/JKC
아니다	아니/VCN+다/EF


# id : NWRW1800000045.291.2.1
이란 핵협상 타결 후 북한과 이란의 차이에 대해 많은 얘기가 나온다.

이란	이란/NNP
핵협상	핵/NNG+협상/NNG
타결	타결/NNG
후	후/NNG
북한과	북한/NNP+과/JKB
이란의	이란/NNP+의/JKG
차이에	차이/NNG+에/JKB
대해	대하/VV+아/EC
많은	많/VA+은/ETM
얘기가	얘기/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.291.3.1
이란의 핵 보유는 중동의 핵무기 경쟁을 촉발시키고 테러집단의 핵무기 접근 가능성을 높여 세계적 위협이 되지만 북한의 핵 보유는 상대적으로 동북아에 국한된 위협이다.

이란의	이란/NNP+의/JKG
핵	핵/NNG
보유는	보유/NNG+는/JX
중동의	중동/NNP+의/JKG
핵무기	핵무기/NNG
경쟁을	경쟁/NNG+을/JKO
촉발시키고	촉발/NNG+시키/XSV+고/EC
테러집단의	테러/NNG+집단/NNG+의/JKG
접근	접근/NNG
가능성을	가능/NNG+성/XSN+을/JKO
높여	높이/VV+어/EC
세계적	세계/NNG+적/XSN
위협이	위협/NNG+이/JKC
되지만	되/VV+지만/EC
북한의	북한/NNP+의/JKG
상대적으로	상대/NNG+적/XSN+으로/JKB
동북아에	동북아/NNP+에/JKB
국한된	국한/NNG+되/XSV+ㄴ/ETM
위협이다.	위협/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.291.3.2
따라서 미국은 이란의 핵 포기에 더 매달릴 수밖에 없었다.

따라서	따라서/MAJ
미국은	미국/NNP+은/JX
이란의	이란/NNP+의/JKG
핵	핵/NNG
포기에	포기/NNG+에/JKB
더	더/MAG
매달릴	매달리/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.291.3.3
북한은 이미 사실상 핵보유국인 반면 이란은 아직 우라늄 농축 단계에 있다.

북한은	북한/NNP+은/JX
이미	이미/MAG
사실상	사실/NNG+상/XSN
핵보유국인	핵보유국/NNG+이/VCP+ㄴ/ETM
반면	반면/NNG
이란은	이란/NNP+은/JX
