# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.126
metadata : {}


# id : NWRW1800000032.126.1.1
미, 대만 무기판매 계약…중, 미 대사 소환 항의

미,	미/NNP+,/SP
대만	대만/NNP
무기판매	무기/NNG+판매/NNG
계약…중,	계약/NNG+…/SE+중/NNP+,/SP
미	미/NNP
대사	대사/NNG
소환	소환/NNG
항의	항의/NNG


# id : NWRW1800000032.126.2.1
전투기 개량용 58억달러

전투기	전투기/NNG
개량용	개량/NNG+용/XSN
58억달러	58/SN+억/NR+달러/NNB


# id : NWRW1800000032.126.3.1
중, 록히드마틴 보복 시사

중,	중/NNP+,/SP
록히드마틴	록히드마틴/NNP
보복	보복/NNG
시사	시사/NNG


# id : NWRW1800000032.126.4.1
전면 관계악화는 없을 듯

전면	전면/NNG
관계악화는	관계/NNG+악화/NNG+는/JX
없을	없/VA+을/ETM
듯	듯/NNB


# id : NWRW1800000032.126.5.1
미국이 대만에 대한 무기 판매를 공식 발표하자, 중국에서는 외교부, 국방부, 국무원 대만판공실이 일제히 나서 강하게 항의했다.

미국이	미국/NNP+이/JKS
대만에	대만/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
무기	무기/NNG
판매를	판매/NNG+를/JKO
공식	공식/NNG
발표하자,	발표/NNG+하/XSV+자/EC+,/SP
중국에서는	중국/NNP+에서/JKB+는/JX
외교부,	외교부/NNG+,/SP
국방부,	국방부/NNG+,/SP
국무원	국무원/NNG
대만판공실이	대만/NNP+판공실/NNG+이/JKS
일제히	일제히/MAG
나서	나서/VV+어/EC
강하게	강하/VA+게/EC
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.126.6.1
미국 국방부는 21일 대만의 F-16 A/B 전투기 개량을 위해 58억5000만달러 규모의 무기 판매 계약을 체결했다고 의회에 보고했다.

미국	미국/NNP
국방부는	국방부/NNG+는/JX
21일	21/SN+일/NNB
대만의	대만/NNP+의/JKG
F-16	F/SL+-/SO+16/SN
A/B	A/SL+//SP+B/SL
전투기	전투기/NNG
개량을	개량/NNG+을/JKO
위해	위하/VV+아/EC
58억5000만달러	58/SN+억/NR+5000/SN+만/NR+달러/NNB
규모의	규모/NNG+의/JKG
무기	무기/NNG
판매	판매/NNG
계약을	계약/NNG+을/JKO
체결했다고	체결/NNG+하/XSV+았/EP+다고/EC
의회에	의회/NNG+에/JKB
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.126.6.2
애초 대만은 미국으로부터 신형 F-16 C/D 전투기 66대 구매를 추진했으나, 중국의 반발을 고려한 미국은 성능 향상용 무기 판매로 수위를 낮췄다.

애초	애초/NNG
대만은	대만/NNP+은/JX
미국으로부터	미국/NNP+으로부터/JKB
신형	신형/NNG
F-16	F/SL+-/SO+16/SN
C/D	C/SL+//SP+D/SL
전투기	전투기/NNG
66대	66/SN+대/NNB
구매를	구매/NNG+를/JKO
추진했으나,	추진/NNG+하/XSV+았/EP+으나/EC+,/SP
중국의	중국/NNP+의/JKG
반발을	반발/NNG+을/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
미국은	미국/NNP+은/JX
성능	성능/NNG
향상용	향상/NNG+용/XSN
무기	무기/NNG
판매로	판매/NNG+로/JKB
수위를	수위/NNG+를/JKO
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.126.6.3
이번 계약에는 미국 록히드마틴이 주계약자로 참여하며, 레이저 유도폭탄을 비롯한 첨단 무기와 부품, 훈련, 조달지원 등이 포함된 것으로 알려졌다.

이번	이번/NNG
계약에는	계약/NNG+에/JKB+는/JX
미국	미국/NNP
록히드마틴이	록히드마틴/NNP+이/JKS
주계약자로	주계약자/NNG+로/JKB
참여하며,	참여/NNG+하/XSV+며/EC+,/SP
레이저	레이저/NNG
유도폭탄을	유도/NNG+폭탄/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
첨단	첨단/NNG
무기와	무기/NNG+와/JC
부품,	부품/NNG+,/SP
훈련,	훈련/NNG+,/SP
조달지원	조달/NNG+지원/NNG
등이	등/NNB+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.126.7.1
중국 외교부는 22일 곧바로 게리 로크 주중 미국대사를 외교부로 불러 강하게 항의했다.

중국	중국/NNP
외교부는	외교부/NNG+는/JX
22일	22/SN+일/NNB
곧바로	곧바로/MAG
게리	게리/NNP
로크	로크/NNP
주중	주중/NNG
미국대사를	미국/NNP+대사/NNG+를/JKO
외교부로	외교부/NNG+로/JKB
불러	부르/VV+어/EC
강하게	강하/VA+게/EC
항의했다.	항의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.126.7.2
장즈쥔 외교부 상무부부장은 로크 대사에게 “미국의 잘못된 행동으로 미-중 관계가 훼손될 것”이라고 경고했다.

장즈쥔	장즈쥔/NNP
외교부	외교부/NNG
상무부부장은	상무부/NNG+부장/NNG+은/JX
로크	로크/NNP
대사에게	대사/NNG+에게/JKB
“미국의	“/SS+미국/NNP+의/JKG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
행동으로	행동/NNG+으로/JKB
미-중	미/NNP+-/SO+중/NNP
관계가	관계/NNG+가/JKS
훼손될	훼손/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.126.7.3
외교부의 훙레이 대변인은 “미국의 잘못된 행동이 중-미 관계에 피할 수 없는 영향을 주고 군사·안보 영역에 손해를 끼칠 것”이라고 말했다.

외교부의	외교부/NNG+의/JKG
훙레이	훙레이/NNP
대변인은	대변인/NNG+은/JX
“미국의	“/SS+미국/NNP+의/JKG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
행동이	행동/NNG+이/JKS
중-미	중/NNP+-/SO+미/NNP
관계에	관계/NNG+에/JKB
피할	피하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
영향을	영향/NNG+을/JKO
주고	주/VV+고/EC
군사·안보	군사/NNG+·/SP+안보/NNG
영역에	영역/NNG+에/JKB
손해를	손해/NNG+를/JKO
끼칠	끼치/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.126.7.4
아울러 “누구든 어떤 회사든 중국의 주권과 영토보전에 손해를 끼친다면 중국 인민의 결연한 반대에 직면할 것”이라며 대만에 무기를 판매할 록히드마틴을 겨냥한 보복 조처를 시사했다.

아울러	아울러/MAG
“누구든	“/SS+누구/NP+든/JX
어떤	어떤/MMD
회사든	회사/NNG+든/JX
중국의	중국/NNP+의/JKG
주권과	주권/NNG+과/JC
영토보전에	영토/NNG+보전/NNG+에/JKB
손해를	손해/NNG+를/JKO
끼친다면	끼치/VV+ㄴ다면/EC
중국	중국/NNP
인민의	인민/NNG+의/JKG
결연한	결연하/VA+ㄴ/ETM
반대에	반대/NNG+에/JKB
직면할	직면/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
대만에	대만/NNP+에/JKB
무기를	무기/NNG+를/JKO
판매할	판매/NNG+하/XSV+ㄹ/ETM
록히드마틴을	록히드마틴/NNP+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
보복	보복/NNG
조처를	조처/NNG+를/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.126.7.5
중국 국방부도 주중 미국대사관 무관을 초치해 항의했고, 양안관계를 다루는 국무원 대만판공실도 비난 성명을 발표했다.

중국	중국/NNP
국방부도	국방부/NNG+도/JX
주중	주중/NNG
미국대사관	미국/NNP+대사관/NNG
무관을	무관/NNG+을/JKO
초치해	초치/NNG+하/XSV+아/EC
항의했고,	항의/NNG+하/XSV+았/EP+고/EC+,/SP
양안관계를	양안/NNG+관계/NNG+를/JKO
다루는	다루/VV+는/ETM
국무원	국무원/NNG
대만판공실도	대만/NNP+판공실/NNG+도/JX
비난	비난/NNG
성명을	성명/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.126.8.1
하지만 ‘예정된 반발’이 지난해처럼 양국관계의 전면적 악화로 번지지는 않을 것이란 전망이 많다.

하지만	하지만/MAJ
‘예정된	‘/SS+예정/NNG+되/XSV+ㄴ/ETM
