# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.35
metadata : {}


# id : NWRW1800000046.35.1.1
힐러리, 망가져야 산다

힐러리,	힐러리/NNP+,/SP
망가져야	망가지/VV+어야/EC
산다	살/VV+ㄴ다/EF


# id : NWRW1800000046.35.2.1
샌더스에 밀려 대세론 삐걱… "인간적 매력 부족이 원인"

샌더스에	샌더스/NNP+에/JKB
밀려	밀리/VV+어/EC
대세론	대세/NNG+론/XSN
삐걱…	삐걱/MAG+…/SE
"인간적	"/SS+인간/NNG+적/XSN
매력	매력/NNG
부족이	부족/NNG+이/JKS
원인"	원인/NNG+"/SS


# id : NWRW1800000046.35.3.1
힐러리 클린턴 전 국무장관이 '2008년의 악몽'을 떨쳐 내기 위해 안간힘을 쓰고 있다.

힐러리	힐러리/NNP
클린턴	클린턴/NNP
전	전/MMD
국무장관이	국무/NNG+장관/NNG+이/JKS
'2008년의	'/SS+2008/SN+년/NNB+의/JKG
악몽'을	악몽/NNG+'/SS+을/JKO
떨쳐	떨치/VV+어/EC
내기	내/VX+기/ETN
위해	위하/VV+아/EC
안간힘을	안간힘/NNG+을/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.35.3.2
힐러리는 2008년 버락 오바마 당시 일리노이주 상원 의원과 치열하게 민주당 대선 후보 자리를 놓고 다투다 첫 경선지인 아이오와 코커스(당원대회)에서 패하면서 대세론이 꺾였던 뼈아픈 기억을 갖고 있다.

힐러리는	힐러리/NNP+는/JX
2008년	2008/SN+년/NNB
버락	버락/NNP
오바마	오바마/NNP
당시	당시/NNG
일리노이주	일리노이주/NNP
상원	상원/NNG
의원과	의원/NNG+과/JKB
치열하게	치열/NNG+하/XSA+게/EC
민주당	민주당/NNP
대선	대선/NNG
후보	후보/NNG
자리를	자리/NNG+를/JKO
놓고	놓/VV+고/EC
다투다	다투/VV+다/EC
첫	첫/MMN
경선지인	경선지/NNG+이/VCP+ㄴ/ETM
아이오와	아이오와/NNP
코커스(당원대회)에서	코커스/NNG+(/SS+당원/NNG+대회/NNG+)/SS+에서/JKB
패하면서	패/NNG+하/XSV+면서/EC
대세론이	대세/NNG+론/XSN+이/JKS
꺾였던	꺾이/VV+었/EP+던/ETM
뼈아픈	뼈아프/VA+ㄴ/ETM
기억을	기억/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.35.3.3
이번엔 절대 같은 실수를 반복하지 않겠다는 각오였다.

이번엔	이번/NNG+에/JKB+ㄴ/JX
절대	절대/MAG
같은	같/VA+은/ETM
실수를	실수/NNG+를/JKO
반복하지	반복/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
각오였다.	각오/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.35.3.4
엘리트 이미지를 벗고 친(親)서민 정책을 강조했다.

엘리트	엘리트/NNG
이미지를	이미지/NNG+를/JKO
벗고	벗/VV+고/EC
친(親)서민	친/XPN+(/SS+親/SH+)/SS+서민/NNG
정책을	정책/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.3.5
초반엔 대세론이 먹히는 듯했다.

초반엔	초반/NNG+에/JKB+ㄴ/JX
대세론이	대세/NNG+론/XSN+이/JKS
먹히는	먹히/VV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.35.3.6
그러나 오래가지 않았다.

그러나	그러나/MAJ
오래가지	오래가/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.35.4.1
힐러리는 10일 발표한 퀴니피악대의 아이오와주(州) 민주당원 여론조사에서 처음으로 버니 샌더스 상원 의원에게 40% 대 41%로 뒤졌다.

힐러리는	힐러리/NNP+는/JX
10일	10/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
퀴니피악대의	퀴니피악대/NNP+의/JKG
아이오와주(州)	아이오와주/NNP+(/SS+州/SH+)/SS
민주당원	민주당원/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
버니	버니/NNP
샌더스	샌더스/NNP
상원	상원/NNG
의원에게	의원/NNG+에게/JKB
40%	40/SN+%/SW
대	대/NNB
41%로	41/SN+%/SW+로/JKB
뒤졌다.	뒤지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.35.4.2
7월 초만 해도 힐러리는 52%, 샌더스는 33%였다.

7월	7/SN+월/NNB
초만	초/NNB+만/JX
해도	하/VV+아도/EC
힐러리는	힐러리/NNP+는/JX
52%,	52/SN+%/SW+,/SP
샌더스는	샌더스/NNP+는/JX
33%였다.	33/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.35.5.1
힐러리 캠프는 위기감에 휩싸였다.

힐러리	힐러리/NNP
캠프는	캠프/NNG+는/JX
위기감에	위기감/NNG+에/JKB
휩싸였다.	휩싸이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.35.5.2
참모들이 꼽은 원인은 '인간적인 매력 부족'이었다.

참모들이	참모/NNG+들/XSN+이/JKS
꼽은	꼽/VV+은/ETM
원인은	원인/NNG+은/JX
'인간적인	'/SS+인간/NNG+적/XSN+이/VCP+ㄴ/ETM
매력	매력/NNG
부족'이었다.	부족/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.35.5.3
뉴욕타임스는 유머 감각과 '진심을 담는 능력'을 보좌진이 원했다고 보도했다.

뉴욕타임스는	뉴욕타임스/NNP+는/JX
유머	유머/NNG
감각과	감각/NNG+과/JC
'진심을	'/SS+진심/NNG+을/JKO
담는	담/VV+는/ETM
능력'을	능력/NNG+'/SS+을/JKO
보좌진이	보좌진/NNG+이/JKS
원했다고	원/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.5.4
'이메일 게이트'에 대한 본인의 냉소적 태도부터가 문제였다.

'이메일	'/SS+이메일/NNG
게이트'에	게이트/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
본인의	본인/NNG+의/JKG
냉소적	냉소/NNG+적/XSN
태도부터가	태도/NNG+부터/JX+가/JKS
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.35.5.5
자료 일부를 삭제했다는 지적에 "컴퓨터 서버를 지운다(wipe)는 게 무슨 뜻이냐. 헝겊으로 닦는다(wipe)는 소리냐"라고 불통(不通) 개그를 한 것이 대표적이다.

자료	자료/NNG
일부를	일부/NNG+를/JKO
삭제했다는	삭제/NNG+하/XSV+았/EP+다는/ETM
지적에	지적/NNG+에/JKB
"컴퓨터	"/SS+컴퓨터/NNG
서버를	서버/NNG+를/JKO
지운다(wipe)는	지우/VV+ㄴ다/EF+(/SS+wipe/SL+)/SS+는/JX
게	거/NNB+이/JKS
무슨	무슨/MMD
뜻이냐.	뜻/NNG+이/VCP+냐/EF+./SF
헝겊으로	헝겊/NNG+으로/JKB
닦는다(wipe)는	닦/VV+는다/EF+(/SS+wipe/SL+)/SS+는/JX
소리냐"라고	소리/NNG+이/VCP+냐/EF+"/SS+라고/JKQ
불통(不通)	불통/NNG+(/SS+不通/SH+)/SS
개그를	개그/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.35.5.6
국민적 의혹을 남의 일인 양 농담한 게 여론을 악화시켰다.

국민적	국민/NNG+적/XSN
의혹을	의혹/NNG+을/JKO
남의	남/NNG+의/JKG
일인	일/NNG+이/VCP+ㄴ/ETM
양	양/NNB
농담한	농담/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
여론을	여론/NNG+을/JKO
악화시켰다.	악화/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.35.5.7
능글능글한 표정으로 메신저 서비스의 일종인 스냅챗을 사용한다고 말해 또 비호감을 샀다.

능글능글한	능글능글/MAG+하/XSA+ㄴ/ETM
표정으로	표정/NNG+으로/JKB
메신저	메신저/NNG
서비스의	서비스/NNG+의/JKG
일종인	일종/NNG+이/VCP+ㄴ/ETM
스냅챗을	스냅챗/NNP+을/JKO
사용한다고	사용/NNG+하/XSV+ㄴ다고/EC
말해	말/NNG+하/XSV+아/EC
또	또/MAG
비호감을	비/XPN+호감/NNG+을/JKO
샀다.	사/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.5.8
그는 "스냅챗을 쓰기 시작했는데, 좋은 점은 저절로 사라진다는 것"이라고 말했다.

그는	그/NP+는/JX
"스냅챗을	"/SS+스냅챗/NNP+을/JKO
쓰기	쓰/VV+기/ETN
시작했는데,	시작/NNG+하/XSV+았/EP+는데/EC+,/SP
좋은	좋/VA+은/ETM
점은	점/NNG+은/JX
저절로	저절로/MAG
사라진다는	사라지/VV+ㄴ다는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.35.5.9
이메일 삭제 의혹에 대한 비난 여론을 우회적으로 역(逆)비난한 것이었다.

이메일	이메일/NNG
삭제	삭제/NNG
의혹에	의혹/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
비난	비난/NNG
여론을	여론/NNG+을/JKO
우회적으로	우회/NNG+적/XSN+으로/JKB
역(逆)비난한	역/NNG+(/SS+逆/SH+)/SS+비난/NNG+하/XSV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.35.6.1
귀족·불통의 이미지도 여전히 걸림돌이었다.

귀족·불통의	귀족/NNG+·/SP+불통/NNG+의/JKG
