# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.54
metadata : {}


# id : NWRW1800000029.54.1.1
재개발때 임대주택 건설 절반으로 준다

재개발때	재/XPN+개발/NNG+때/NNG
임대주택	임대/NNG+주택/NNG
건설	건설/NNG
절반으로	절반/NNG+으로/JKB
준다	줄/VV+ㄴ다/EF


# id : NWRW1800000029.54.2.1
■국토부,재개발-재건축-뉴타운 활성화대책

■국토부,재개발-재건축-뉴타운	■/SW+국토부/NNG+,/SP+재/XPN+개발/NNG+-/SO+재/XPN+건축/NNG+-/SO+뉴타운/NNG
활성화대책	활성/NNG+화/XSN+대책/NNG


# id : NWRW1800000029.54.3.1
보금자리주택을 많이 짓는 경기 과천 광명 하남시 등지에서 재개발을 할 때 의무적으로 지어야 할 임대주택 수가 지금의 절반 수준으로 줄어든다.

보금자리주택을	보금자리/NNG+주택/NNG+을/JKO
많이	많이/MAG
짓는	짓/VV+는/ETM
경기	경기/NNP
과천	과천/NNP
광명	광명/NNP
하남시	하남시/NNP
등지에서	등지/NNB+에서/JKB
재개발을	재/XPN+개발/NNG+을/JKO
할	하/VX+ㄹ/ETM
때	때/NNG
의무적으로	의무/NNG+적/XSN+으로/JKB
지어야	짓/VV+어야/EC
임대주택	임대/NNG+주택/NNG
수가	수/NNG+가/JKS
지금의	지금/NNG+의/JKG
절반	절반/NNG
수준으로	수준/NNG+으로/JKB
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.54.3.2
또 경기 파주 이천 등지에서 재개발사업을 벌일 때도 관할지역 지방자치단체장이 의무적으로 지어야 할 임대주택 비율을 현재보다 최대 절반까지 낮출 수 있다.

또	또/MAG
경기	경기/NNP
파주	파주/NNP
이천	이천/NNP
등지에서	등지/NNB+에서/JKB
재개발사업을	재/XPN+개발/NNG+사업/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
때도	때/NNG+도/JX
관할지역	관할/NNG+지역/NNG
지방자치단체장이	지방/NNG+자치/NNG+단체장/NNG+이/JKS
의무적으로	의무/NNG+적/XSN+으로/JKB
지어야	짓/VV+어야/EC
할	하/VX+ㄹ/ETM
임대주택	임대/NNG+주택/NNG
비율을	비율/NNG+을/JKO
현재보다	현재/NNG+보다/JKB
최대	최대/NNG
절반까지	절반/NNG+까지/JX
낮출	낮추/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.54.4.1
국토해양부는 이런 내용의 ‘도시재정비 및 주거환경정비 제도 개선안’을 확정하고 관련 법령 제정안 및 관련 법 시행령을 만들어 이번 주에 입법 예고한 뒤 올해 하반기부터 단계적으로 시행할 계획이라고 8일 밝혔다.

국토해양부는	국토/NNG+해양부/NNG+는/JX
이런	이런/MMD
내용의	내용/NNG+의/JKG
‘도시재정비	‘/SS+도시/NNG+재/XPN+정비/NNG
및	및/MAG
주거환경정비	주거/NNG+환경/NNG+정비/NNG
제도	제도/NNG
개선안’을	개선안/NNG+’/SS+을/JKO
확정하고	확정/NNG+하/XSV+고/EC
관련	관련/NNG
법령	법령/NNG
제정안	제정안/NNG
법	법/NNG
시행령을	시행령/NNG+을/JKO
만들어	만들/VV+어/EC
이번	이번/NNG
주에	주/NNG+에/JKB
입법	입법/NNG
예고한	예고/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
올해	올해/NNG
하반기부터	하반기/NNG+부터/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
시행할	시행/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.54.5.1
이번 조치는 경기 침체와 과도한 임대주택 사업 비율 등으로 수익성이 떨어지자 사업 추진이 장기간 중단돼 있는 재개발·재건축 사업과 뉴타운 사업을 활성화하는 데 초점이 맞춰졌다.

이번	이번/NNG
조치는	조치/NNG+는/JX
경기	경기/NNG
침체와	침체/NNG+와/JC
과도한	과도/NNG+하/XSA+ㄴ/ETM
임대주택	임대/NNG+주택/NNG
사업	사업/NNG
비율	비율/NNG
등으로	등/NNB+으로/JKB
수익성이	수익/NNG+성/XSN+이/JKS
떨어지자	떨어지/VV+자/EC
추진이	추진/NNG+이/JKS
장기간	장기간/NNG
중단돼	중단/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
사업과	사업/NNG+과/JC
뉴타운	뉴타운/NNG
사업을	사업/NNG+을/JKO
활성화하는	활성/NNG+화/XSN+하/XSV+는/ETM
데	데/NNB
초점이	초점/NNG+이/JKS
맞춰졌다.	맞추/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.54.5.2
