# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.47
metadata : {}


# id : NWRW1800000048.47.1.1
300억대 재산 숨겨놓고 빚 탕감받은 회장님

300억대	300/SN+억/NR+대/XSN
재산	재산/NNG
숨겨놓고	숨기/VV+어/EC+놓/VX+고/EC
빚	빚/NNG
탕감받은	탕감/NNG+받/XSV+은/ETM
회장님	회장/NNG+님/XSN


# id : NWRW1800000048.47.2.1
박성철 신원 회장 구속기소

박성철	박성철/NNP
신원	신원/NNP
회장	회장/NNG
구속기소	구속/NNG+기소/NNG


# id : NWRW1800000048.47.3.1
차남이 회삿돈으로 주식 투자

차남이	차남/NNG+이/JKS
회삿돈으로	회삿돈/NNG+으로/JKB
주식	주식/NNG
투자	투자/NNG


# id : NWRW1800000048.47.4.1
대신 갚아줬다 ‘차명재산’ 들통

대신	대신/NNG
갚아줬다	갚/VV+아/EC+주/VX+었/EP+다/EF
‘차명재산’	‘/SS+차명/NNG+재산/NNG+’/SS
들통	들통/NNG


# id : NWRW1800000048.47.5.1
롯데그룹 경영권 분쟁으로 재벌가의 난맥상이 드러나고 있는 가운데, 수백억원의 재산을 숨겨둔 채 무일푼이라고 주장해 빚을 탕감받은 박성철(75) 신원그룹 회장이 구속 기소됐다.

롯데그룹	롯데그룹/NNP
경영권	경영/NNG+권/XSN
분쟁으로	분쟁/NNG+으로/JKB
재벌가의	재벌가/NNG+의/JKG
난맥상이	난맥상/NNG+이/JKS
드러나고	드러나/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
수백억원의	수백억/NR+원/NNB+의/JKG
재산을	재산/NNG+을/JKO
숨겨둔	숨기/VV+어/EC+두/VX+ㄴ/ETM
채	채/NNB
무일푼이라고	무일푼/NNG+이/VCP+라고/EC
주장해	주장/NNG+하/XSV+아/EC
빚을	빚/NNG+을/JKO
탕감받은	탕감/NNG+받/XSV+은/ETM
박성철(75)	박성철/NNP+(/SS+75/SN+)/SS
신원그룹	신원그룹/NNP
회장이	회장/NNG+이/JKS
구속	구속/NNG
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.47.6.1
서울중앙지검 공정거래조세조사부(부장 한동훈)는 300억원대 차명 주식과 부동산을 갖고 있으면서도 빚 갚을 능력이 없다고 법원과 채권단을 속여 채무를 면책받은 혐의(특정경제범죄 가중처벌법의 사기 등)로 박 회장을 구속 기소했다고 30일 밝혔다.

서울중앙지검	서울중앙지검/NNP
공정거래조세조사부(부장	공정/NNG+거래/NNG+조세/NNG+조사부/NNG+(/SS+부장/NNG
한동훈)는	한동훈/NNP+)/SS+는/JX
300억원대	300/SN+억/NR+원/NNB+대/XSN
차명	차명/NNG
주식과	주식/NNG+과/JC
부동산을	부동산/NNG+을/JKO
갖고	갖/VV+고/EC
있으면서도	있/VX+으면서/EC+도/JX
빚	빚/NNG
갚을	갚/VV+을/ETM
능력이	능력/NNG+이/JKS
없다고	없/VA+다고/EC
법원과	법원/NNG+과/JC
채권단을	채권단/NNG+을/JKO
속여	속이/VV+어/EC
채무를	채무/NNG+를/JKO
면책받은	면책/NNG+받/XSV+은/ETM
혐의(특정경제범죄	혐의/NNG+(/SS+특정/NNG+경제/NNG+범죄/NNG
가중처벌법의	가중/NNG+처벌법/NNG+의/JKG
사기	사기/NNG
등)로	등/NNB+)/SS+로/JKB
박	박/NNP
회장을	회장/NNG+을/JKO
구속	구속/NNG
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.47.6.2
박 회장은 2007~2011년 개인파산면책과 일반회생 과정에서 “재산이 전혀 없다”고 주장해 법원에서 채무 250억여원을 면책받은 혐의를 사고 있다.

박	박/NNP
회장은	회장/NNG+은/JX
2007~2011년	2007/SN+~/SO+2011/SN+년/NNB
개인파산면책과	개인/NNG+파산/NNG+면책/NNG+과/JC
일반회생	일반/NNG+회생/NNG
과정에서	과정/NNG+에서/JKB
“재산이	“/SS+재산/NNG+이/JKS
전혀	전혀/MAG
없다”고	없/VA+다/EF+”/SS+고/JKQ
주장해	주장/NNG+하/XSV+아/EC
법원에서	법원/NNG+에서/JKB
채무	채무/NNG
250억여원을	250/SN+억/NR+여/XSN+원/NNB+을/JKO
면책받은	면책/NNG+받/XSV+은/ETM
혐의를	혐의/NNG+를/JKO
사고	사/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.47.6.3
