# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.190
metadata : {}


# id : NWRW1800000056.190.1.1
무법자 같은 ‘노조파괴’ 유성기업 회장

무법자	무법자/NNG
같은	같/VA+은/ETM
‘노조파괴’	‘/SS+노조/NNG+파괴/NNG+’/SS
유성기업	유성기업/NNP
회장	회장/NNG


# id : NWRW1800000056.190.2.1
임직원 담화문 이어 항소장 제출

임직원	임직원/NNG
담화문	담화문/NNG
이어	잇/VV+어/EC
항소장	항소장/NNG
제출	제출/NNG


# id : NWRW1800000056.190.3.1
“법원, 다중 폭력 의한 정무적 판단

“법원,	“/SS+법원/NNG+,/SP
다중	다중/NNG
폭력	폭력/NNG
의한	의하/VV+ㄴ/ETM
정무적	정무/NNG+적/XSN
판단	판단/NNG


# id : NWRW1800000056.190.4.1
부당한 판결에 불복할 것” 밝혀

부당한	부당/NNG+하/XSA+ㄴ/ETM
판결에	판결/NNG+에/JKB
불복할	불복/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS
밝혀	밝히/VV+어/EF


# id : NWRW1800000056.190.5.1
‘노조 파괴’로 실형을 선고받은 현대자동차 부품업체 유성기업 유시영 회장이 “다중이라는 폭력에 의한 정무적 판단”이라며 1심 판결을 비판해 2심 결과가 주목된다.

‘노조	‘/SS+노조/NNG
파괴’로	파괴/NNG+’/SS+로/JKB
실형을	실형/NNG+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
현대자동차	현대자동차/NNP
부품업체	부품업체/NNG
유성기업	유성기업/NNP
유시영	유시영/NNP
회장이	회장/NNG+이/JKS
“다중이라는	“/SS+다중/NNG+이/VCP+라는/ETM
폭력에	폭력/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
정무적	정무/NNG+적/XSN
판단”이라며	판단/NNG+”/SS+이/VCP+라며/EC
1심	1심/NNG
판결을	판결/NNG+을/JKO
비판해	비판/NNG+하/XSV+아/EC
2심	2심/NNG
결과가	결과/NNG+가/JKS
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.190.5.2
앞서 지난달 17일 대전지법 천안지원은 어용노조를 설립하고 노조를 파괴하려 한 혐의로 기소된 유 회장에게 징역 1년6월과 벌금 200만원을 선고하고 법정구속했다.

앞서	앞서/MAG
지난달	지난달/NNG
17일	17/SN+일/NNB
대전지법	대전지법/NNP
천안지원은	천안/NNP+지원/NNG+은/JX
어용노조를	어용/NNG+노조/NNG+를/JKO
설립하고	설립/NNG+하/XSV+고/EC
노조를	노조/NNG+를/JKO
파괴하려	파괴/NNG+하/XSV+려/EC
한	하/VX+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
유	유/NNP
회장에게	회장/NNG+에게/JKB
징역	징역/NNG
1년6월과	1/SN+년/NNB+6/SN+월/NNB+과/JC
벌금	벌금/NNG
200만원을	200/SN+만/NR+원/NNB+을/JKO
선고하고	선고/NNG+하/XSV+고/EC
법정구속했다.	법정/NNG+구속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.190.6.1
유 회장은 판결 직후인 2월17일 유성기업 임직원에게 보낸 ‘담화문’을 통해 “법원 판결에 따라 달라지는 것은 아무 것도 없다.

유	유/NNP
회장은	회장/NNG+은/JX
판결	판결/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
2월17일	2/SN+월/NNB+17/SN+일/NNB
유성기업	유성기업/NNP
임직원에게	임직원/NNG+에게/JKB
보낸	보내/VV+ㄴ/ETM
‘담화문’을	‘/SS+담화문/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
“법원	“/SS+법원/NNG
판결에	판결/NNG+에/JKB
따라	따르/VV+아/EC
달라지는	달라지/VV+는/ETM
것은	것/NNB+은/JX
아무	아무/MMD
것도	것/NNB+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.190.6.2
법과 원칙에 따라 기업이 운영될 때 기업은 생존할 수 있다는 것을 알기에 부당한 판결에 대해 법적으로 2심에서 다툴 것”이라고 밝힌 것으로 6일 확인됐다.

법과	법/NNG+과/JC
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
기업이	기업/NNG+이/JKS
운영될	운영/NNG+되/XSV+ㄹ/ETM
때	때/NNG
기업은	기업/NNG+은/JX
생존할	생존/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
알기에	알/VV+기에/EC
부당한	부당/NNG+하/XSA+ㄴ/ETM
판결에	판결/NNG+에/JKB
대해	대하/VV+아/EC
법적으로	법/NNG+적/XSN+으로/JKB
2심에서	2심/NNG+에서/JKB
다툴	다투/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
6일	6/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.190.6.3
실제로 유 회장은 사흘 뒤인 20일에 법원에 항소장을 제출했다.

실제로	실제로/MAG
유	유/NNP
회장은	회장/NNG+은/JX
사흘	사흘/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
20일에	20/SN+일/NNB+에/JKB
법원에	법원/NNG+에/JKB
항소장을	항소장/NNG+을/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.190.6.4
특히 유 회장은 1심 판결이 “법의 잣대가 아닌 다중이라는 폭력에 위한(의한) 정무적 판단이라는 것이 결국 (2심 판결에서) 밝혀질 것”이라고 주장했다.

특히	특히/MAG
유	유/NNP
회장은	회장/NNG+은/JX
1심	1심/NNG
판결이	판결/NNG+이/JKS
“법의	“/SS+법/NNG+의/JKG
잣대가	잣대/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
다중이라는	다중/NNG+이/VCP+라는/ETM
폭력에	폭력/NNG+에/JKB
위한(의한)	위하/VV+ㄴ/ETM+(/SS+의하/VV+ㄴ/ETM+)/SS
정무적	정무/NNG+적/XSN
판단이라는	판단/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
결국	결국/MAG
(2심	(/SS+2심/NNG
판결에서)	판결/NNG+에서/JKB+)/SS
밝혀질	밝히/VV+어/EC+지/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
