# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.294
metadata : {}


# id : NWRW1800000024.294.1.1
미 아마골프 새 여왕 /송민영 활짝 웃었다

미	미/NNP
아마골프	아마/NNG+골프/NNG
새	새/MMA
여왕	여왕/NNG
/송민영	//SP+송민영/NNP
활짝	활짝/MAG
웃었다	웃/VV+었/EP+다/EF


# id : NWRW1800000024.294.2.1
36홀 매치플레이 방식으로 진행된 유에스 여자아마추어 골프 챔피언십 결승전에서 송민영(20·제니퍼 송)은 10번 홀까지 제니퍼 존슨(18)에게 4홀 차로 뒤졌다.

36홀	36/SN+홀/NNG
매치플레이	매치플레이/NNG
방식으로	방식/NNG+으로/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
유에스	유에스/NNP
여자아마추어	여자/NNG+아마추어/NNG
골프	골프/NNG
챔피언십	챔피언십/NNG
결승전에서	결승전/NNG+에서/JKB
송민영(20·제니퍼	송민영/NNP+(/SS+20/SN+·/SP+제니퍼/NNP
송)은	송/NNP+)/SS+은/JX
10번	10/SN+번/NNB
홀까지	홀/NNG+까지/JX
제니퍼	제니퍼/NNP
존슨(18)에게	존슨/NNP+(/SS+18/SN+)/SS+에게/JKB
4홀	4/SN+홀/NNG
차로	차/NNG+로/JKB
뒤졌다.	뒤지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.294.2.2
위기 상황에서 버팀목이 돼준 이는 캐디로 나선 아버지였다.

위기	위기/NNG
상황에서	상황/NNG+에서/JKB
버팀목이	버팀목/NNG+이/JKC
돼준	되/VV+어/EC+주/VX+ㄴ/ETM
이는	이/NNB+는/JX
캐디로	캐디/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
아버지였다.	아버지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.294.2.3
“아빠가 계속 옆에서 ‘제니퍼, 넌 이길 거야.

“아빠가	“/SS+아빠/NNG+가/JKS
계속	계속/MAG
옆에서	옆/NNG+에서/JKB
‘제니퍼,	‘/SS+제니퍼/NNP+,/SP
넌	너/NP+ㄴ/JX
이길	이기/VV+ㄹ/ETM
거야.	거/NNB+이/VCP+야/EF+./SF


# id : NWRW1800000024.294.2.4
넌 훌륭한 선수야’라고 격려를 해주셨다.

넌	너/NP+ㄴ/JX
훌륭한	훌륭하/VA+ㄴ/ETM
선수야’라고	선수/NNG+이/VCP+야/EF+’/SS+라고/JKQ
격려를	격려/NNG+를/JKO
해주셨다.	하/VV+아/EC+주/VX+시/EP+었/EP+다/EF+./SF


# id : NWRW1800000024.294.2.5
경기 내내 그는 나에게 긍정적인 마음을 갖게 해줬고, 계속 웃게 만들어줬다.”

경기	경기/NNG
내내	내내/MAG
그는	그/NP+는/JX
나에게	나/NP+에게/JKB
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
마음을	마음/NNG+을/JKO
갖게	갖/VV+게/EC
해줬고,	하/VX+아/EC+주/VX+었/EP+고/EC+,/SP
계속	계속/MAG
웃게	웃/VV+게/EC
만들어줬다.”	만들/VV+어/EC+주/VX+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000024.294.2.6
그는 18번 홀에서 극적인 동점을 만든 뒤, 35홀에서 3홀 차 우승을 확정지었다.

그는	그/NP+는/JX
18번	18/SN+번/NNB
홀에서	홀/NNG+에서/JKB
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
동점을	동점/NNG+을/JKO
만든	만들/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
35홀에서	35/SN+홀/NNG+에서/JKB
3홀	3/SN+홀/NNG
차	차/NNG
우승을	우승/NNG+을/JKO
확정지었다.	확정/NNG+짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.294.3.1
우승이 확정된 뒤 아버지와 껴안으며 환한 미소만 짓던 송민영은, 갤러리 사이에 서 있던 어머니(궁지연씨)와 눈이 마주치고는 기어이 눈물을 쏟아냈다.

우승이	우승/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
아버지와	아버지/NNG+와/JKB
껴안으며	껴안/VV+으며/EC
환한	환하/VA+ㄴ/ETM
미소만	미소/NNG+만/JX
짓던	짓/VV+던/ETM
송민영은,	송민영/NNP+은/JX+,/SP
갤러리	갤러리/NNG
사이에	사이/NNG+에/JKB
서	서/VV+어/EC
있던	있/VX+던/ETM
어머니(궁지연씨)와	어머니/NNG+(/SS+궁지연/NNP+씨/NNB+)/SS+와/JKB
눈이	눈/NNG+이/JKS
마주치고는	마주치/VV+고/EC+는/JX
기어이	기어이/MAG
눈물을	눈물/NNG+을/JKO
쏟아냈다.	쏟/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.294.3.2
그는 “엄마는 내가 우승하는 모습을 한동안 보지 못하셨다.

그는	그/NP+는/JX
“엄마는	“/SS+엄마/NNG+는/JX
내가	내/NP+가/JKS
우승하는	우승/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
한동안	한/XPN+동안/NNG
보지	보/VV+지/EC
못하셨다.	못하/VX+시/EP+었/EP+다/EF+./SF


# id : NWRW1800000024.294.3.3
아빠 품에 안겨 있을 때는 담담했는데, 엄마를 보니 왈칵 눈물이 나왔다”고 했다.

아빠	아빠/NNG
품에	품/NNG+에/JKB
안겨	안기/VV+어/EC
있을	있/VX+을/ETM
때는	때/NNG+는/JX
담담했는데,	담담하/VA+았/EP+는데/EC+,/SP
엄마를	엄마/NNG+를/JKO
보니	보/VV+니/EC
왈칵	왈칵/MAG
눈물이	눈물/NNG+이/JKS
나왔다”고	나오/VV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.294.4.1
미국 미시간주에서 태어난 송민영이 골프채를 처음 잡은 것은 9살 때였다.

미국	미국/NNP
미시간주에서	미시간주/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
송민영이	송민영/NNP+이/JKS
골프채를	골프채/NNG+를/JKO
처음	처음/NNG
잡은	잡/VV+은/ETM
것은	것/NNB+은/JX
9살	9/SN+살/NNB
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.294.4.2
아버지 송무석 홍익대 조선해양학과 교수가 1998년 미국에서 연구원 생활을 할 때였다.

아버지	아버지/NNG
송무석	송무석/NNP
홍익대	홍익대/NNP
조선해양학과	조선/NNG+해양학과/NNG
교수가	교수/NNG+가/JKS
1998년	1998/SN+년/NNB
미국에서	미국/NNP+에서/JKB
연구원	연구원/NNG
생활을	생활/NNG+을/JKO
할	하/VV+ㄹ/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.294.4.3
지역대회에 나가 우승할 정도로 잠재력이 있었지만, 부모를 따라 귀국한 뒤에는 골프채를 놓았다.

지역대회에	지역/NNG+대회/NNG+에/JKB
나가	나가/VV+아/EC
우승할	우승/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
잠재력이	잠재력/NNG+이/JKS
있었지만,	있/VA+었/EP+지만/EC+,/SP
부모를	부모/NNG+를/JKO
따라	따르/VV+아/EC
귀국한	귀국/NNG+하/XSV+ㄴ/ETM
뒤에는	뒤/NNG+에/JKB+는/JX
골프채를	골프채/NNG+를/JKO
놓았다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.294.5.1
하지만 녹색 그린의 유혹은 쉽게 떨쳐낼 수 있는 게 아니었다.

하지만	하지만/MAJ
녹색	녹색/NNG
그린의	그린/NNG+의/JKG
유혹은	유혹/NNG+은/JX
쉽게	쉽/VA+게/EC
떨쳐낼	떨치/VV+어/EC+내/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000024.294.5.2
그는 부모를 졸라 국내에서도 골프를 이어갔다.

그는	그/NP+는/JX
부모를	부모/NNG+를/JKO
졸라	조르/VV+아/EC
국내에서도	국내/NNG+에서/JKB+도/JX
골프를	골프/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.294.5.3
그렇다고 공부를 게을리한 것도 아니었다.

그렇다고	그렇/VA+다고/EC
공부를	공부/NNG+를/JKO
게을리한	게을리/MAG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000024.294.5.4
대전국제고에 진학했고, 성적 우수 장학금을 받기도 했다.

대전국제고에	대전국제고/NNP+에/JKB
진학했고,	진학/NNG+하/XSV+았/EP+고/EC+,/SP
성적	성적/NNG
우수	우수/NNG
장학금을	장학금/NNG+을/JKO
받기도	받/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.294.5.5
2007년에는 국가대표로도 선발됐다.

2007년에는	2007/SN+년/NNB+에/JKB+는/JX
국가대표로도	국가/NNG+대표/NNG+로/JKB+도/JX
선발됐다.	선발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.294.5.6
‘엄친딸’이 따로 없었다.

‘엄친딸’이	‘/SS+엄친딸/NNG+’/SS+이/JKS
따로	따로/MAG
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000024.294.6.1
그는 지난해 9월 서던캘리포니아대학(USC)에 입학해 학업과 골프를 이어갔다.

그는	그/NP+는/JX
지난해	지난해/NNG
9월	9/SN+월/NNB
서던캘리포니아대학(USC)에	서던캘리포니아대학/NNP+(/SS+USC/SL+)/SS+에/JKB
입학해	입학/NNG+하/XSV+아/EC
학업과	학업/NNG+과/JC
골프를	골프/NNG+를/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.294.6.2
첫해에는 유에스 여자아마추어 퍼블릭링크스대회에서 준우승을 했다.

첫해에는	첫해/NNG+에/JKB+는/JX
유에스	유에스/NNP
여자아마추어	여자/NNG+아마추어/NNG
퍼블릭링크스대회에서	퍼블릭링크스/NNG+대회/NNG+에서/JKB
준우승을	준/XPN+우승/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.294.6.3
하지만 올해에는 퍼블릭링크스는 물론이고 10일(한국시각) 끝난 유에스 여자아마추어 골프 챔피언십까지 휩쓸었다.

하지만	하지만/MAJ
올해에는	올해/NNG+에/JKB+는/JX
퍼블릭링크스는	퍼블릭링크스/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
10일(한국시각)	10/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
끝난	끝나/VV+ㄴ/ETM
유에스	유에스/NNP
여자아마추어	여자/NNG+아마추어/NNG
골프	골프/NNG
챔피언십까지	챔피언십/NNG+까지/JX
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.294.6.4
한 해 동안 미국골프협회(USGA)에서 주최하는 두 대회를 동시에 석권한 여자 선수는 1988년 재미동포 펄 신 이후 21년 만에 처음이다.

한	한/MMN
해	해/NNG
동안	동안/NNG
미국골프협회(USGA)에서	미국골프협회/NNP+(/SS+USGA/SL+)/SS+에서/JKB
주최하는	주최/NNG+하/XSV+는/ETM
두	두/MMN
대회를	대회/NNG+를/JKO
동시에	동시/NNG+에/JKB
석권한	석권/NNG+하/XSV+ㄴ/ETM
여자	여자/NNG
선수는	선수/NNG+는/JX
1988년	1988/SN+년/NNB
재미동포	재미/NNG+동포/NNG
펄	펄/NNP
신	신/NNP
이후	이후/NNG
21년	21/SN+년/NNB
만에	만/NNB+에/JKB
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.294.7.1
송민영은 “1988년이라면 내가 태어나기 1년 전이다.

송민영은	송민영/NNP+은/JX
“1988년이라면	“/SS+1988/SN+년/NNB+이/VCP+라면/EC
내가	내/NP+가/JKS
태어나기	태어나/VV+기/ETN
1년	1/SN+년/NNB
전이다.	전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.294.7.2
너무 영광스러워서 어떤 말을 해야 할지 모르겠다”며 감격스러워했다.

너무	너무/MAG
영광스러워서	영광/NNG+스럽/XSA+어서/EC
어떤	어떤/MMD
말을	말/NNG+을/JKO
해야	하/VV+아야/EC
할지	하/VX+ㄹ지/EC
모르겠다”며	모르/VV+겠/EP+다/EF+”/SS+며/EC
감격스러워했다.	감격/NNG+스럽/XSA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.294.7.3
두 대회 우승 중 어느 쪽이 더 기쁘냐는 질문에는 “우승은 어떤 것과도 바꿀 수 없다.

두	두/MMN
대회	대회/NNG
우승	우승/NNG
중	중/NNB
어느	어느/MMD
쪽이	쪽/NNB+이/JKS
더	더/MAG
기쁘냐는	기쁘/VA+냐는/ETM
질문에는	질문/NNG+에/JKB+는/JX
“우승은	“/SS+우승/NNG+은/JX
어떤	어떤/MMD
것과도	것/NNB+과/JKB+도/JX
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.294.7.4
두 대회 모두 특별하다”고 했다.

두	두/MMN
대회	대회/NNG
모두	모두/MAG
특별하다”고	특별/NNG+하/XSA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.294.7.5
7월 열렸던 유에스 여자오픈에서 공동 12위에 오르는 등의 성적을 냈던 그는 프로 전향에 대해서는 “아직 부족한 것이 많아 생각해보지 않고 있다”며 신중한 자세를 보였다.

7월	7/SN+월/NNB
열렸던	열리/VV+었/EP+던/ETM
유에스	유에스/NNP
여자오픈에서	여자/NNG+오픈/NNG+에서/JKB
공동	공동/NNG
12위에	12/SN+위/NNB+에/JKB
오르는	오르/VV+는/ETM
등의	등/NNB+의/JKG
성적을	성적/NNG+을/JKO
냈던	내/VV+었/EP+던/ETM
그는	그/NP+는/JX
프로	프로/NNG
전향에	전향/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“아직	“/SS+아직/MAG
부족한	부족/NNG+하/XSA+ㄴ/ETM
것이	것/NNB+이/JKS
많아	많/VA+아/EC
생각해보지	생각/NNG+하/XSV+아/EC+보/VX+지/EC
않고	않/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
신중한	신중/NNG+하/XSA+ㄴ/ETM
자세를	자세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


