# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.70
metadata : {}


# id : NWRW1800000045.70.1.1
[골든걸]르네상스 서울 호텔 정승조 셰프가 플로리다 내추럴 주스로 만들었어요!

[골든걸]르네상스	[/SS+골든걸/NNG+]/SS+르네상스/NNG
서울	서울/NNP
호텔	호텔/NNG
정승조	정승조/NNP
셰프가	셰프/NNG+가/JKS
플로리다	플로리다/NNP
내추럴	내추럴/NNG
주스로	주스/NNG+로/JKB
만들었어요!	만들/VV+었/EP+어요/EF+!/SF


# id : NWRW1800000045.70.2.1
■Goldengirl Cooking Creative

■Goldengirl	■/SW+Goldengirl/SL
Cooking	Cooking/SL
Creative	Creative/SL


# id : NWRW1800000045.70.3.1
향긋하면서도 진한 맛∼ 오렌지 뉴욕 치즈케이크

향긋하면서도	향긋하/VA+면서/EC+도/JX
진한	진하/VA+ㄴ/ETM
맛∼	맛/NNG+∼/SO
오렌지	오렌지/NNG
뉴욕	뉴욕/NNP
치즈케이크	치즈케이크/NNG


# id : NWRW1800000045.70.4.1
재료 오렌지 토핑 소스(플로리다 내추럴 오렌지 주스 90mL, 설탕 90g, 옥수수전분 10g), 크림치즈 340g, 설탕 100g, 달걀 2개, 생크림 25mL, 버터 30g

재료	재료/NNG
오렌지	오렌지/NNG
토핑	토핑/NNG
소스(플로리다	소스/NNG+(/SS+플로리다/NNP
내추럴	내추럴/NNG
주스	주스/NNG
90mL,	90/SN+mL/SW+,/SP
설탕	설탕/NNG
90g,	90/SN+g/SW+,/SP
옥수수전분	옥수수/NNG+전분/NNG
10g),	10/SN+g/SW+)/SS+,/SP
크림치즈	크림치즈/NNG
340g,	340/SN+g/SW+,/SP
100g,	100/SN+g/SW+,/SP
달걀	달걀/NNG
2개,	2/SN+개/NNB+,/SP
생크림	생/XPN+크림/NNG
25mL,	25/SN+mL/SW+,/SP
버터	버터/NNG
30g	30/SN+g/SW


# id : NWRW1800000045.70.5.1
만드는 법

만드는	만들/VV+는/ETM
법	법/NNB


# id : NWRW1800000045.70.6.1
1.약불을 사용해서, 냄비에 플로리다 내추럴 오렌지 주스에 설탕을 넣고 녹이다가 물에 갠 옥수수 전분을 넣어 오렌지 토핑 소스를 만든 뒤 식힌다.

1.약불을	1/SN+./SF+약불/NNG+을/JKO
사용해서,	사용/NNG+하/XSV+아서/EC+,/SP
냄비에	냄비/NNG+에/JKB
플로리다	플로리다/NNP
내추럴	내추럴/NNG
오렌지	오렌지/NNG
주스에	주스/NNG+에/JKB
설탕을	설탕/NNG+을/JKO
넣고	넣/VV+고/EC
녹이다가	녹이/VV+다가/EC
물에	물/NNG+에/JKB
갠	개/VV+ㄴ/ETM
옥수수	옥수수/NNG
전분을	전분/NNG+을/JKO
넣어	넣/VV+어/EC
토핑	토핑/NNG
소스를	소스/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
뒤	뒤/NNG
식힌다.	식히/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.7.1
2.실온에 녹인 크림치즈에 설탕을 가볍게 섞는다.

2.실온에	2/SN+./SF+실온/NNG+에/JKB
녹인	녹이/VV+ㄴ/ETM
크림치즈에	크림치즈/NNG+에/JKB
설탕을	설탕/NNG+을/JKO
가볍게	가볍/VA+게/EC
섞는다.	섞/VV+는다/EF+./SF


# id : NWRW1800000045.70.8.1
3.2에 달걀과 따뜻하게 데운 생크림을 섞다가 녹인 버터를 넣어 잘 저어준다.

3.2에	3/SN+./SF+2/SN+에/JKB
달걀과	달걀/NNG+과/JC
따뜻하게	따뜻하/VA+게/EC
데운	데우/VV+ㄴ/ETM
생크림을	생/XPN+크림/NNG+을/JKO
섞다가	섞/VV+다가/EC
녹인	녹이/VV+ㄴ/ETM
버터를	버터/NNG+를/JKO
넣어	넣/VV+어/EC
잘	잘/MAG
저어준다.	젓/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.70.9.1
4.3을 틀에 넣어 180℃ 오븐에서 40분 중탕으로 구운 뒤 윗면에 1을 바른다.

4.3을	4/SN+./SF+3/SN+을/JKO
틀에	틀/NNG+에/JKB
넣어	넣/VV+어/EC
180℃	180/SN+℃/SW
오븐에서	오븐/NNG+에서/JKB
40분	40/SN+분/NNB
중탕으로	중탕/NNG+으로/JKB
구운	굽/VV+ㄴ/ETM
뒤	뒤/NNG
윗면에	윗면/NNG+에/JKB
1을	1/SN+을/JKO
바른다.	바르/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.10.1
Comment

Comment	Comment/SL


# id : NWRW1800000045.70.11.1
송지유 흔히 치즈케이크에는 레몬이 많이 들어가는데, 오렌지 맛과 향이 풍부해 새로웠어요.

송지유	송지유/NNP
흔히	흔히/MAG
치즈케이크에는	치즈케이크/NNG+에/JKB+는/JX
레몬이	레몬/NNG+이/JKS
많이	많이/MAG
들어가는데,	들어가/VV+는데/EC+,/SP
오렌지	오렌지/NNG
맛과	맛/NNG+과/JC
향이	향/NNG+이/JKS
풍부해	풍부하/VA+아/EC
새로웠어요.	새롭/VA+었/EP+어요/EF+./SF


# id : NWRW1800000045.70.12.1
신경아 오렌지향이 크림치즈의 느끼함을 잘 잡아줘서 먹기가 편해요.

신경아	신경아/NNP
오렌지향이	오렌지/NNG+향/NNG+이/JKS
크림치즈의	크림치즈/NNG+의/JKG
느끼함을	느끼하/VA+ㅁ/ETN+을/JKO
잘	잘/MAG
잡아줘서	잡/VV+아/EC+주/VX+어서/EC
먹기가	먹/VV+기/ETN+가/JKS
편해요.	편하/VA+아요/EF+./SF


# id : NWRW1800000045.70.13.1
부드러운 식감과 상큼한 크림의 조화… 오렌지 바나나 컵케이크

부드러운	부드럽/VA+ㄴ/ETM
식감과	식감/NNG+과/JC
상큼한	상큼하/VA+ㄴ/ETM
크림의	크림/NNG+의/JKG
조화…	조화/NNG+…/SE
오렌지	오렌지/NNG
바나나	바나나/NNG
컵케이크	컵케이크/NNG


# id : NWRW1800000045.70.14.1
재료 플로리다 내추럴 오렌지 주스 60mL, 우유·식용유 각 60g, 바나나 2개, 달걀 1개, 박력분 240g, 베이킹파우더 6g, 설탕 180g, 소금 2g, 오렌지 프로스팅(플로리다 내추럴 오렌지 주스 30mL, 버터 · 슈가파우더 각 240g, 시나몬파우더 5g)

재료	재료/NNG
플로리다	플로리다/NNP
내추럴	내추럴/NNG
오렌지	오렌지/NNG
주스	주스/NNG
60mL,	60/SN+mL/SW+,/SP
우유·식용유	우유/NNG+·/SP+식용유/NNG
각	각/MMD
60g,	60/SN+g/SW+,/SP
바나나	바나나/NNG
2개,	2/SN+개/NNB+,/SP
달걀	달걀/NNG
1개,	1/SN+개/NNB+,/SP
박력분	박력분/NNG
240g,	240/SN+g/SW+,/SP
베이킹파우더	베이킹파우더/NNG
6g,	6/SN+g/SW+,/SP
설탕	설탕/NNG
180g,	180/SN+g/SW+,/SP
소금	소금/NNG
2g,	2/SN+g/SW+,/SP
프로스팅(플로리다	프로스팅/NNG+(/SS+플로리다/NNP
30mL,	30/SN+mL/SW+,/SP
버터	버터/NNG
·	·/SP
슈가파우더	슈가/NNG+파우더/NNG
시나몬파우더	시나몬/NNG+파우더/NNG
5g)	5/SN+g/SW+)/SS


# id : NWRW1800000045.70.15.1
만드는 법

만드는	만들/VV+는/ETM
법	법/NNB


# id : NWRW1800000045.70.16.1
1.플로리다 내추럴 오렌지 주스와 우유, 식용유, 으깬 바나나, 달걀을 넣고 섞는다.

1.플로리다	1/SN+./SF+플로리다/NNP
내추럴	내추럴/NNG
오렌지	오렌지/NNG
주스와	주스/NNG+와/JC
우유,	우유/NNG+,/SP
식용유,	식용유/NNG+,/SP
으깬	으깨/VV+ㄴ/ETM
바나나,	바나나/NNG+,/SP
달걀을	달걀/NNG+을/JKO
넣고	넣/VV+고/EC
섞는다.	섞/VV+는다/EF+./SF


# id : NWRW1800000045.70.17.1
2.박력분, 베이킹파우더, 설탕, 소금을 넣고 섞는다.

2.박력분,	2/SN+./SF+박력분/NNG+,/SP
베이킹파우더,	베이킹파우더/NNG+,/SP
설탕,	설탕/NNG+,/SP
소금을	소금/NNG+을/JKO
넣고	넣/VV+고/EC
섞는다.	섞/VV+는다/EF+./SF


# id : NWRW1800000045.70.18.1
3.1과 2를 섞은 반죽을 틀에 70% 정도 채워서 180℃ 오븐에서 20분 정도 굽는다.

3.1과	3/SN+./SF+1/SN+과/JC
2를	2/SN+를/JKO
섞은	섞/VV+은/ETM
반죽을	반죽/NNG+을/JKO
틀에	틀/NNG+에/JKB
70%	70/SN+%/SW
정도	정도/NNG
채워서	채우/VV+어서/EC
180℃	180/SN+℃/SW
오븐에서	오븐/NNG+에서/JKB
20분	20/SN+분/NNB
굽는다.	굽/VV+는다/EF+./SF


# id : NWRW1800000045.70.19.1
4.플로리다 내추럴 오렌지 주스, 버터, 슈가파우더, 시나몬파우더를 섞어 오렌지 프로스팅을 만들어 3 위에 올린다.

4.플로리다	4/SN+./SF+플로리다/NNP
내추럴	내추럴/NNG
오렌지	오렌지/NNG
주스,	주스/NNG+,/SP
버터,	버터/NNG+,/SP
슈가파우더,	슈가/NNG+파우더/NNG+,/SP
시나몬파우더를	시나몬/NNG+파우더/NNG+를/JKO
섞어	섞/VV+어/EC
프로스팅을	프로스팅/NNG+을/JKO
만들어	만들/VV+어/EC
3	3/SN
위에	위/NNB+에/JKB
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.70.20.1
Comment

Comment	Comment/SL


# id : NWRW1800000045.70.21.1
송지유 부드러운 컵케이크의 식감과 오렌지가 들어간 크림이 잘 어울려요.

송지유	송지유/NNP
부드러운	부드럽/VA+ㄴ/ETM
컵케이크의	컵케이크/NNG+의/JKG
식감과	식감/NNG+과/JC
오렌지가	오렌지/NNG+가/JKS
들어간	들어가/VV+ㄴ/ETM
크림이	크림/NNG+이/JKS
잘	잘/MAG
어울려요.	어울리/VV+어요/EF+./SF


# id : NWRW1800000045.70.22.1
신경아 오렌지와 바나나가 의외로 잘 어울려 향긋한 케이크가 완성되네요.

신경아	신경아/NNP
오렌지와	오렌지/NNG+와/JC
바나나가	바나나/NNG+가/JKS
의외로	의외로/MAG
잘	잘/MAG
어울려	어울리/VV+어/EC
향긋한	향긋하/VA+ㄴ/ETM
케이크가	케이크/NNG+가/JKS
완성되네요.	완성/NNG+되/XSV+네/EF+요/JX+./SF


# id : NWRW1800000045.70.23.1
한 입 크기의 예쁜 디저트… 자몽 베리 타르틴

한	한/MMN
입	입/NNG
크기의	크기/NNG+의/JKG
예쁜	예쁘/VA+ㄴ/ETM
디저트…	디저트/NNG+…/SE
자몽	자몽/NNG
베리	베리/NNG
타르틴	타르틴/NNG


# id : NWRW1800000045.70.24.1
재료 자몽 바닐라 크림(플로리다 내추럴 자몽 주스 100mL, 옥수수전분 30g, 달걀 노른자 2개, 우유 150g, 설탕 60g, 소금 약간), 크림치즈 340g, 슈가파우더 30g, 타르트쉘 1개, 초콜릿 · 각종 베리류 약간

재료	재료/NNG
자몽	자몽/NNG
바닐라	바닐라/NNG
크림(플로리다	크림/NNG+(/SS+플로리다/NNP
내추럴	내추럴/NNG
주스	주스/NNG
100mL,	100/SN+mL/SW+,/SP
옥수수전분	옥수수/NNG+전분/NNG
30g,	30/SN+g/SW+,/SP
달걀	달걀/NNG
노른자	노른자/NNG
2개,	2/SN+개/NNB+,/SP
우유	우유/NNG
150g,	150/SN+g/SW+,/SP
설탕	설탕/NNG
60g,	60/SN+g/SW+,/SP
소금	소금/NNG
약간),	약간/NNG+)/SS+,/SP
크림치즈	크림치즈/NNG
340g,	340/SN+g/SW+,/SP
슈가파우더	슈가/NNG+파우더/NNG
타르트쉘	타르트쉘/NNG
1개,	1/SN+개/NNB+,/SP
초콜릿	초콜릿/NNG
·	·/SP
각종	각종/NNG
베리류	베리/NNG+류/XSN
약간	약간/MAG


# id : NWRW1800000045.70.25.1
만드는 법

만드는	만들/VV+는/ETM
법	법/NNB


# id : NWRW1800000045.70.26.1
1.플로리다 내추럴 자몽 주스에 옥수수전분을 갠 후 달걀 노른자를 섞는다.

1.플로리다	1/SN+./SF+플로리다/NNP
내추럴	내추럴/NNG
자몽	자몽/NNG
주스에	주스/NNG+에/JKB
옥수수전분을	옥수수/NNG+전분/NNG+을/JKO
갠	개/VV+ㄴ/ETM
후	후/NNG
달걀	달걀/NNG
노른자를	노른자/NNG+를/JKO
섞는다.	섞/VV+는다/EF+./SF


# id : NWRW1800000045.70.27.1
2.냄비에 우유, 설탕을 넣고 끓이다가 1과 소금을 섞어 자몽 바닐라 크림을 만들어 식힌다.

2.냄비에	2/SN+./SF+냄비/NNG+에/JKB
우유,	우유/NNG+,/SP
설탕을	설탕/NNG+을/JKO
넣고	넣/VV+고/EC
