# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.296
metadata : {}


# id : NWRW1800000038.296.1.1
[김영수의 경제포커스] 운동권 노래에 잠 깨는 아침

[김영수의	[/SS+김영수/NNP+의/JKG
경제포커스]	경제/NNG+포커스/NNG+]/SS
운동권	운동/NNG+권/XSN
노래에	노래/NNG+에/JKB
잠	잠/NNG
깨는	깨/VV+는/ETM
아침	아침/NNG


# id : NWRW1800000038.296.2.1
내가 사는 아파트에는 아침 7시가 되면 '임을 위한 행진곡'이 울려 퍼진다.

내가	내/NP+가/JKS
사는	살/VV+는/ETM
아파트에는	아파트/NNG+에/JKB+는/JX
아침	아침/NNG
7시가	7/SN+시/NNB+가/JKC
되면	되/VV+면/EC
'임을	'/SS+임/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
행진곡'이	행진곡/NNG+'/SS+이/JKS
울려	울리/VV+어/EC
퍼진다.	퍼지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.2.2
한 시간 동안 각종 운동 가요가 메들리로 대형 스피커를 통해 쩌렁쩌렁 울려 퍼진다.

한	한/MMN
시간	시간/NNB
동안	동안/NNG
각종	각종/NNG
운동	운동/NNG
가요가	가요/NNG+가/JKS
메들리로	메들리/NNG+로/JKB
대형	대형/NNG
스피커를	스피커/NNG+를/JKO
통해	통하/VV+아/EC
쩌렁쩌렁	쩌렁쩌렁/MAG
울려	울리/VV+어/EC
퍼진다.	퍼지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.2.3
처음 하루 이틀은 '근처에서 무슨 시위가 있나 보다' 하고 넘어갔다.

처음	처음/NNG
하루	하루/NNG
이틀은	이틀/NNG+은/JX
'근처에서	'/SS+근처/NNG+에서/JKB
무슨	무슨/MMD
시위가	시위/NNG+가/JKS
있나	있/VA+나/EF
보다'	보/VX+다/EF+'/SS
하고	하/VV+고/EC
넘어갔다.	넘어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.296.2.4
그런데 한 달째 이어지길래 사정을 알아보니 아파트 주민 중 한 분이 운영하는 회사에 노사 분쟁이 발생했는데, 이에 불만을 품은 민주노총 소속 노조원들이 정문 앞에서 매일 아침 시위를 벌인다는 것이다.

그런데	그런데/MAJ
한	한/MMN
달째	달/NNB+째/XSN
이어지길래	이어지/VV+길래/EC
사정을	사정/NNG+을/JKO
알아보니	알아보/VV+니/EC
아파트	아파트/NNG
주민	주민/NNG
중	중/NNB
분이	분/NNB+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
회사에	회사/NNG+에/JKB
노사	노사/NNG
분쟁이	분쟁/NNG+이/JKS
발생했는데,	발생/NNG+하/XSV+았/EP+는데/EC+,/SP
이에	이/NP+에/JKB
불만을	불만/NNG+을/JKO
품은	품/VV+은/ETM
민주노총	민주노총/NNP
소속	소속/NNG
노조원들이	노조원/NNG+들/XSN+이/JKS
정문	정문/NNG
앞에서	앞/NNG+에서/JKB
매일	매일/MAG
아침	아침/NNG
시위를	시위/NNG+를/JKO
벌인다는	벌이/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.296.2.5
관리소 측은 분당경찰서장이 집회와 시위 허가를 내주었기 때문에 '어쩔 수 없다'고 했다.

관리소	관리소/NNG
측은	측/NNB+은/JX
분당경찰서장이	분당경찰서장/NNG+이/JKS
집회와	집회/NNG+와/JC
시위	시위/NNG
허가를	허가/NNG+를/JKO
내주었기	내주/VV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
'어쩔	'/SS+어쩌/VV+ㄹ/ETM
수	수/NNB
없다'고	없/VA+다/EF+'/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.296.2.6
견디다 못한 주민은 며칠 전부터 '시끄러워 못 살겠다'며 '집회를 불허해달라'는 탄원서에 서명을 받고 있다.

견디다	견디/VV+다/EC
못한	못하/VX+ㄴ/ETM
주민은	주민/NNG+은/JX
며칠	며칠/NNG
전부터	전/NNG+부터/JX
'시끄러워	'/SS+시끄럽/VA+어/EC
못	못/MAG
살겠다'며	살/VV+겠/EP+다/EF+'/SS+며/EC
'집회를	'/SS+집회/NNG+를/JKO
불허해달라'는	불허/NNG+하/XSV+아/EC+달/VX+라/EF+'/SS+는/ETM
탄원서에	탄원서/NNG+에/JKB
서명을	서명/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.296.3.1
아침마다 거친 소음으로 수천 가구 주민을 괴롭히는 사람이 합법적이라고 한다면 법이 잘못됐거나 법을 집행하는 공권력에 문제가 있다.

아침마다	아침/NNG+마다/JX
거친	거칠/VA+ㄴ/ETM
소음으로	소음/NNG+으로/JKB
수천	수천/NR
가구	가구/NNG
주민을	주민/NNG+을/JKO
괴롭히는	괴롭히/VV+는/ETM
사람이	사람/NNG+이/JKS
합법적이라고	합법/NNG+적/XSN+이/VCP+라고/EC
한다면	하/VV+ㄴ다면/EC
법이	법/NNG+이/JKS
잘못됐거나	잘못/MAG+되/XSV+었/EP+거나/EC
법을	법/NNG+을/JKO
집행하는	집행/NNG+하/XSV+는/ETM
공권력에	공권력/NNG+에/JKB
문제가	문제/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.296.3.2
민주사회라면 누구든 억울함을 하소연할 수 있고, 공개적으로 자기주장을 할 수 있다.

민주사회라면	민주/NNG+사회/NNG+이/VCP+라면/EC
누구든	누구/NP+이/VCP+든/EC
억울함을	억울/NNG+하/XSA+ㅁ/ETN+을/JKO
하소연할	하소연/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
공개적으로	공개/NNG+적/XSN+으로/JKB
자기주장을	자기주장/NNG+을/JKO
할	하/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.296.3.3
하지만 그 방식이 폭력적이고, 무고한 사람에게 피해를 준다면 폭력배 난동과 다를 게 없다.

하지만	하지만/MAJ
그	그/MMD
방식이	방식/NNG+이/JKS
폭력적이고,	폭력/NNG+적/XSN+이/VCP+고/EC+,/SP
무고한	무고하/VA+ㄴ/ETM
사람에게	사람/NNG+에게/JKB
피해를	피해/NNG+를/JKO
준다면	주/VV+ㄴ다면/EC
폭력배	폭력배/NNG
난동과	난동/NNG+과/JKB
다를	다르/VA+ㄹ/ETM
게	거/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.296.3.4
경찰이 이런 '폭력적' 인권만 보호하고, 운동 가요를 강제로 들어야 하는 주민은 '나 몰라라' 한다면 누굴 믿고 살아야 하나?

경찰이	경찰/NNG+이/JKS
이런	이런/MMD
'폭력적'	'/SS+폭력/NNG+적/XSN+'/SS
인권만	인권/NNG+만/JX
보호하고,	보호/NNG+하/XSV+고/EC+,/SP
운동	운동/NNG
가요를	가요/NNG+를/JKO
강제로	강제/NNG+로/JKB
들어야	듣/VV+어야/EC
하는	하/VX+는/ETM
주민은	주민/NNG+은/JX
'나	'/SS+나/NP
몰라라'	모르/VV+아라/EF+'/SS
한다면	하/VV+ㄴ다면/EC
누굴	누구/NP+ㄹ/JKO
믿고	믿/VV+고/EC
살아야	살/VV+아야/EC
하나?	하/VX+나/EF+?/SF


# id : NWRW1800000038.296.4.1
지금 이 시각에도 곳곳에서 불법과 '떼법'이 판친다.

지금	지금/MAG
이	이/MMD
시각에도	시각/NNG+에/JKB+도/JX
곳곳에서	곳곳/NNG+에서/JKB
불법과	불법/NNG+과/JC
'떼법'이	'/SS+떼법/NNG+'/SS+이/JKS
판친다.	판치/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.296.4.2
서울 덕수궁 대한문 앞에서 1년이 넘게 아직도 불법 농성이 이어지고 있다.

서울	서울/NNP
덕수궁	덕수궁/NNP
대한문	대한문/NNP
앞에서	앞/NNG+에서/JKB
1년이	1/SN+년/NNB+이/JKS
넘게	넘/VV+게/EC
아직도	아직/MAG+도/JX
불법	불법/NNG
농성이	농성/NNG+이/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.296.4.3
제주 해군기지 건설 현장에서는 경찰들이 시위대에 억류돼서 각서를 쓰고 풀려나는 진풍경이 벌어진다.

제주	제주/NNP
해군기지	해군/NNG+기지/NNG
건설	건설/NNG
