# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.93
metadata : {}


# id : NWRW1800000038.93.1.1
1만명의 선택… 정보석 '햄릿(연극)'·시아준수 '디셈버(뮤지컬)'

1만명의	1/SN+만/NR+명/NNB+의/JKG
선택…	선택/NNG+…/SE
정보석	정보석/NNP
'햄릿(연극)'·시아준수	'/SS+햄릿/NNP+(/SS+연극/NNG+)/SS+'/SS+·/SP+시아준수/NNP
'디셈버(뮤지컬)'	'/SS+디셈버/NNP+(/SS+뮤지컬/NNG+)/SS+'/SS


# id : NWRW1800000038.93.2.1
본지·인터파크, 연말 기대작 설문

본지·인터파크,	본지/NNG+·/SP+인터파크/NNP+,/SP
연말	연말/NNG
기대작	기대작/NNG
설문	설문/NNG


# id : NWRW1800000038.93.3.1
김광석, 김준수, 장진 삼총사가 힘을 합친 '디셈버'가 연말 공연계 가장 뜨거운 '태풍'의 조합으로 인증받았다.

김광석,	김광석/NNP+,/SP
김준수,	김준수/NNP+,/SP
장진	장진/NNP
삼총사가	삼총사/NNG+가/JKS
힘을	힘/NNG+을/JKO
합친	합치/VV+ㄴ/ETM
'디셈버'가	'/SS+디셈버/NNP+'/SS+가/JKS
연말	연말/NNG
공연계	공연/NNG+계/XSN
가장	가장/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
'태풍'의	'/SS+태풍/NNG+'/SS+의/JKG
조합으로	조합/NNG+으로/JKB
인증받았다.	인증/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.93.3.2
정보석의 '햄릿'은 공연 정보가 알려지기도 전에 가장 보고 싶은 연극으로 떠올랐다.

정보석의	정보석/NNP+의/JKG
'햄릿'은	'/SS+햄릿/NNP+'/SS+은/JX
공연	공연/NNG
정보가	정보/NNG+가/JKS
알려지기도	알려지/VV+기/ETN+도/JX
전에	전/NNG+에/JKB
가장	가장/MAG
보고	보/VV+고/EC
싶은	싶/VX+은/ETM
연극으로	연극/NNG+으로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.93.4.1
본지와 예매 사이트 인터파크가 지난 8~20일 공동으로 실시한 '연말 뮤지컬·연극 최대 기대작' 설문 조사 결과, 뮤지컬 '디셈버: 끝나지 않은 이야기'(3101명)와 연극 '햄릿'(2569명)이 각각 1위에 올랐다.

본지와	본지/NNG+와/JC
예매	예매/NNG
사이트	사이트/NNG
인터파크가	인터파크/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
8~20일	8/SN+~/SO+20/SN+일/NNB
공동으로	공동/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
'연말	'/SS+연말/NNG
뮤지컬·연극	뮤지컬/NNG+·/SP+연극/NNG
최대	최대/NNG
기대작'	기대작/NNG+'/SS
설문	설문/NNG
조사	조사/NNG
결과,	결과/NNG+,/SP
뮤지컬	뮤지컬/NNG
'디셈버:	'/SS+디셈버/NNP+:/SP
끝나지	끝나/VV+지/EC
않은	않/VX+은/ETM
이야기'(3101명)와	이야기/NNG+'/SS+(/SS+3101/SN+명/NNB+)/SS+와/JC
연극	연극/NNG
'햄릿'(2569명)이	'/SS+햄릿/NNP+'/SS+(/SS+2569/SN+명/NNB+)/SS+이/JKS
각각	각각/MAG
1위에	1/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.93.4.2
총 응답자는 1만182명이었다.

총	총/MMA
응답자는	응답자/NNG+는/JX
1만182명이었다.	1/SN+만/NR+182/SN+명/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.93.5.1
뮤지컬 '디셈버'는 '모차르트!'와 '엘리자벳'으로 매진 행진을 이어간 배우 김준수(시아준수)가 주연하고, 극본과 연출을 장진이 맡은 김광석 주크박스 뮤지컬이라는 점이 기대를 증폭시킨 것으로 보인다.

뮤지컬	뮤지컬/NNG
'디셈버'는	'/SS+디셈버/NNP+'/SS+는/JX
'모차르트!'와	'/SS+모차르트/NNP+!/SF+'/SS+와/JC
'엘리자벳'으로	'/SS+엘리자벳/NNP+'/SS+으로/JKB
매진	매진/NNG
행진을	행진/NNG+을/JKO
이어간	잇/VV+어/EC+가/VX+ㄴ/ETM
배우	배우/NNG
김준수(시아준수)가	김준수/NNP+(/SS+시아준수/NNP+)/SS+가/JKS
주연하고,	주연/NNG+하/XSV+고/EC+,/SP
극본과	극본/NNG+과/JC
연출을	연출/NNG+을/JKO
장진이	장진/NNP+이/JKS
맡은	맡/VV+은/ETM
김광석	김광석/NNP
