# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.82
metadata : {}


# id : NWRW1800000022.82.1.1
수당 줄이고 해외연수 보류… 군포시 잡셰어링 동참

수당	수당/NNG
줄이고	줄이/VV+고/EC
해외연수	해외/NNG+연수/NNG
보류…	보류/NNG+…/SE
군포시	군포시/NNP
잡셰어링	잡셰어링/NNG
동참	동참/NNG


# id : NWRW1800000022.82.2.1
현재 공공기관과 금융기관·대기업 등을 중심으로 확산되고 있는 잡셰어링(job sharing·일자리 나누기)에 군포시도 동참한다.

현재	현재/MAG
공공기관과	공공/NNG+기관/NNG+과/JC
금융기관·대기업	금융/NNG+기관/NNG+·/SP+대/XPN+기업/NNG
등을	등/NNB+을/JKO
중심으로	중심/NNG+으로/JKB
확산되고	확산/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
잡셰어링(job	잡셰어링/NNG+(/SS+job/SL
sharing·일자리	sharing/SL+·/SP+일자리/NNG
나누기)에	나누/VV+기/ETN+)/SS+에/JKB
군포시도	군포시/NNP+도/JX
동참한다.	동참/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.82.3.1
군포시는 총 30억3000만원의 재원을 마련, 이를 일자리 나누기와 경제활성화에 모두 투입할 방침이라고 밝혔다.

군포시는	군포시/NNP+는/JX
총	총/MMA
30억3000만원의	30/SN+억/NR+3000/SN+만/NR+원/NNB+의/JKG
재원을	재원/NNG+을/JKO
마련,	마련/NNG+,/SP
이를	이/NP+를/JKO
일자리	일자리/NNG
나누기와	나누/VV+기/ETN+와/JC
경제활성화에	경제/NNG+활성/NNG+화/XSN+에/JKB
모두	모두/MAG
투입할	투입/NNG+하/XSV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.82.4.1
군포시는 시민의 날 전야제 행사비 1억원과 공직자 해외연수비·한마음연수비 2억3000만원을 전액 삭감하고 직원복리후생 성격의 성과상여금·연가보상금 등도 절감해 이 같은 재원을 마련할 예정이다.

군포시는	군포시/NNP+는/JX
시민의	시민/NNG+의/JKG
날	날/NNG
전야제	전야제/NNG
행사비	행사비/NNG
1억원과	1/SN+억/NR+원/NNB+과/JC
공직자	공직자/NNG
해외연수비·한마음연수비	해외/NNG+연수비/NNG+·/SP+한마음/NNG+연수비/NNG
2억3000만원을	2/SN+억/NR+3000/SN+만/NR+원/NNB+을/JKO
전액	전액/NNG
삭감하고	삭감/NNG+하/XSV+고/EC
직원복리후생	직원/NNG+복리/NNG+후생/NNG
성격의	성격/NNG+의/JKG
성과상여금·연가보상금	성과/NNG+상여금/NNG+·/SP+연가/NNG+보상금/NNG
등도	등/NNB+도/JX
절감해	절감/NNG+하/XSV+아/EC
이	이/NP
같은	같/VA+은/ETM
재원을	재원/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.82.5.1
군포시는 이 재원을 통해 중소기업지원사업에 7억원을 추가 지원하고, 청년인턴사원 25명·신빈곤층 저소득근로자 320명의 일자리를 만든다.

군포시는	군포시/NNP+는/JX
이	이/MMD
재원을	재원/NNG+을/JKO
통해	통하/VV+아/EC
중소기업지원사업에	중소기업/NNG+지원/NNG+사업/NNG+에/JKB
7억원을	7/SN+억/NR+원/NNB+을/JKO
추가	추가/NNG
지원하고,	지원/NNG+하/XSV+고/EC+,/SP
청년인턴사원	청년/NNG+인턴사원/NNG
25명·신빈곤층	25/SN+명/NNB+·/SP+신/XPN+빈곤/NNG+층/XSN
저소득근로자	저/XPN+소득/NNG+근로자/NNG
320명의	320/SN+명/NNB+의/JKG
일자리를	일자리/NNG+를/JKO
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.82.5.2
이들은 1년간 일한 뒤 효과를 분석해 내년에도 시행하는 방안을 마련하기로 했다.

이들은	이/NP+들/XSN+은/JX
1년간	1/SN+년/NNB+간/XSN
일한	일/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
효과를	효과/NNG+를/JKO
분석해	분석/NNG+하/XSV+아/EC
내년에도	내년/NNG+에/JKB+도/JX
시행하는	시행/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.82.6.1
또 지역 실업·실직 인구의 일자리 창출을 위해 우선 일손이 필요한 '사랑의 집' 등 사회봉사시설과 노인요양시설 등에 인력을 배치해 봉사활동을 할 방침이다.

또	또/MAG
지역	지역/NNG
실업·실직	실업/NNG+·/SP+실직/NNG
인구의	인구/NNG+의/JKG
일자리	일자리/NNG
창출을	창출/NNG+을/JKO
위해	위하/VV+아/EC
우선	우선/MAG
일손이	일손/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
'사랑의	'/SS+사랑/NNG+의/JKG
집'	집/NNG+'/SS
등	등/NNB
사회봉사시설과	사회봉사/NNG+시설/NNG+과/JC
노인요양시설	노인/NNG+요양/NNG+시설/NNG
등에	등/NNB+에/JKB
인력을	인력/NNG+을/JKO
배치해	배치/NNG+하/XSV+아/EC
봉사활동을	봉사/NNG+활동/NNG+을/JKO
할	하/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.82.7.1
노재영 군포시장은 "경제회복에 대한 전망이 어두운 지금 공무원들의 일자리 나누기 동참이 어려운 이웃들에게 조금이라도 보탬이 됐으면 한다"며 "강요에 의한 반납이 아닌 모두의 자발적인 뜻이 모인 이번 일을 시작으로 온 시민과 함께하는 '나눔 행정'을 펴나갈 계획"이라고 말했다.

노재영	노재영/NNP
군포시장은	군포시장/NNG+은/JX
"경제회복에	"/SS+경제/NNG+회복/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
전망이	전망/NNG+이/JKS
어두운	어둡/VA+ㄴ/ETM
지금	지금/NNG
공무원들의	공무원/NNG+들/XSN+의/JKG
일자리	일자리/NNG
나누기	나누/VV+기/ETN
동참이	동참/NNG+이/JKS
어려운	어렵/VA+ㄴ/ETM
이웃들에게	이웃/NNG+들/XSN+에게/JKB
조금이라도	조금/NNG+이라도/JX
보탬이	보탬/NNG+이/JKC
됐으면	되/VV+었/EP+으면/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"강요에	"/SS+강요/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
반납이	반납/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
모두의	모두/NNG+의/JKG
자발적인	자발/NNG+적/XSN+이/VCP+ㄴ/ETM
뜻이	뜻/NNG+이/JKS
모인	모이/VV+ㄴ/ETM
이번	이번/NNG
일을	일/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
온	온/MMN
시민과	시민/NNG+과/JKB
함께하는	함께/MAG+하/XSV+는/ETM
'나눔	'/SS+나누/VV+ㅁ/ETN
행정'을	행정/NNG+'/SS+을/JKO
펴나갈	펴/VV+어/EC+나가/VX+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.82.8.1
군포시는 또 43억원의 예산으로 노인일자리사업(910명), 장애인일자리사업(147명), 자활근로사업(101명), 공공근로사업(140명) 등도 추진 중이다.

군포시는	군포시/NNP+는/JX
또	또/MAG
43억원의	43/SN+억/NR+원/NNB+의/JKG
예산으로	예산/NNG+으로/JKB
노인일자리사업(910명),	노인/NNG+일자리/NNG+사업/NNG+(/SS+910/SN+명/NNB+)/SS+,/SP
장애인일자리사업(147명),	장애인/NNG+일자리/NNG+사업/NNG+(/SS+147/SN+명/NNB+)/SS+,/SP
자활근로사업(101명),	자활/NNG+근로/NNG+사업/NNG+(/SS+101/SN+명/NNB+)/SS+,/SP
공공근로사업(140명)	공공/NNG+근로/NNG+사업/NNG+(/SS+140/SN+명/NNB+)/SS
등도	등/NNB+도/JX
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


