# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.145
metadata : {}


# id : NWRW1800000056.145.1.1
예술명가 강세황 집안 6대 초상화 한자리에 모았다

예술명가	예술/NNG+명가/NNG
강세황	강세황/NNP
집안	집안/NNG
6대	6/SN+대/NNB
초상화	초상화/NNG
한자리에	한자리/NNG+에/JKB
모았다	모으/VV+았/EP+다/EF


# id : NWRW1800000056.145.2.1
[한겨레] 국외재단 미국서 강세황 증손 강노 초상 환수

[한겨레]	[/SS+한겨레/NNP+]/SS
국외재단	국외/NNG+재단/NNG
미국서	미국/NNP+서/JKB
강세황	강세황/NNP
증손	증손/NNG
강노	강노/NNP
초상	초상/NNG
환수	환수/NNG


# id : NWRW1800000056.145.3.1
미국 소장자 경매 출품작 사들여

미국	미국/NNP
소장자	소장자/NNG
경매	경매/NNG
출품작	출품작/NNG
사들여	사들이/VV+어/EC


# id : NWRW1800000056.145.4.1
원래 교회 소장품 반출 시점은 몰라

원래	원래/NNG
교회	교회/NNG
소장품	소장품/NNG
반출	반출/NNG
시점은	시점/NNG+은/JX
몰라	모르/VV+아/EC


# id : NWRW1800000056.145.5.1
9월엔 강세황 아들 강인 초상 국내 경매서 입수

9월엔	9/SN+월/NNB+에/JKB+ㄴ/JX
강세황	강세황/NNP
아들	아들/NNG
강인	강인/NNP
초상	초상/NNG
국내	국내/NNG
경매서	경매/NNG+서/JKB
입수	입수/NNG


# id : NWRW1800000056.145.6.1
국내 유일한 가문 6대 초상화 내년 전시

국내	국내/NNG
유일한	유일/NNG+하/XSA+ㄴ/ETM
가문	가문/NNG
6대	6/SN+대/NNB
초상화	초상화/NNG
내년	내년/NNG
전시	전시/NNG


# id : NWRW1800000056.145.7.1
18세기 대화가 단원 김홍도의 스승이었고, 당대 문화예술계 최고 실력자(영수)로 추앙받은 문인화가 표암 강세황(1713~1791)은 원숭이상을 떠올리게 하는 독특한 풍모의 자화상, 초상화로도 이름 높다.

18세기	18/SN+세기/NNG
대화가	대/XPN+화가/NNG
단원	단원/NNP
김홍도의	김홍도/NNP+의/JKG
스승이었고,	스승/NNG+이/VCP+었/EP+고/EC+,/SP
당대	당대/NNG
문화예술계	문화/NNG+예술/NNG+계/XSN
최고	최고/NNG
실력자(영수)로	실력자/NNG+(/SS+영수/NNG+)/SS+로/JKB
추앙받은	추앙/NNG+받/XSV+은/ETM
문인화가	문인화가/NNG
표암	표암/NNP
강세황(1713~1791)은	강세황/NNP+(/SS+1713/SN+~/SO+1791/SN+)/SS+은/JX
원숭이상을	원숭이/NNG+상/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
하는	하/VX+는/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
풍모의	풍모/NNG+의/JKG
자화상,	자화상/NNG+,/SP
초상화로도	초상화/NNG+로/JKB+도/JX
이름	이름/NNG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000056.145.7.2
이 표암의 초상을 포함해 그가 속한 진주 강씨 은열공파 가문의 시조 및 선조, 후손 6대에 이어진 초상화가 국내외에 흩어졌다가 처음 한자리에서 만나게 됐다.

이	이/MMD
표암의	표암/NNP+의/JKG
초상을	초상/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
그가	그/NP+가/JKS
속한	속하/VV+ㄴ/ETM
진주	진주/NNP
강씨	강/NNP+씨/NNB
은열공파	은열공파/NNP
가문의	가문/NNG+의/JKG
시조	시조/NNG
및	및/MAG
선조,	선조/NNG+,/SP
후손	후손/NNG
6대에	6/SN+대/NNB+에/JKB
이어진	이어지/VV+ㄴ/ETM
초상화가	초상화/NNG+가/JKS
국내외에	국내외/NNG+에/JKB
흩어졌다가	흩어지/VV+었/EP+다가/EC
처음	처음/NNG
한자리에서	한자리/NNG+에서/JKB
만나게	만나/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.145.8.1
문화재청 국외소재문화재재단은 지난 10월 미국 현지 경매를 통해 표암의 증손 강노(1809~1886)의 초상화를 환수했다며 19일 작품을 공개했다.

문화재청	문화재청/NNG
국외소재문화재재단은	국외소재문화재재단/NNP+은/JX
지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
미국	미국/NNP
현지	현지/NNG
경매를	경매/NNG+를/JKO
통해	통하/VV+아/EC
표암의	표암/NNP+의/JKG
증손	증손/NNG
