# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.114
metadata : {}


# id : NWRW1800000038.114.1.1
"北의 국군포로 억류, 국제사회에 꾸준히 알려야죠"

"北의	"/SS+北/SH+의/JKG
국군포로	국군/NNG+포로/NNG
억류,	억류/NNG+,/SP
국제사회에	국제/NNG+사회/NNG+에/JKB
꾸준히	꾸준히/MAG
알려야죠"	알리/VV+어야지/EF+요/JX+"/SS


# id : NWRW1800000038.114.2.1
아웅산 테러로 숨진 故김재익 경제수석의 아들 김한회 변호사

아웅산	아웅산/NNP
테러로	테러/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
故김재익	故/SH+김재익/NNP
경제수석의	경제/NNG+수석/NNG+의/JKG
아들	아들/NNG
김한회	김한회/NNP
변호사	변호사/NNG


# id : NWRW1800000038.114.3.1
"아버지의 일 때문에 제가 북한 인권 문제나 국군 포로 문제에 관심을 갖게 된 것은 아닙니다.

"아버지의	"/SS+아버지/NNG+의/JKG
일	일/NNG
때문에	때문/NNB+에/JKB
제가	제/NP+가/JKS
북한	북한/NNP
인권	인권/NNG
문제나	문제/NNG+나/JC
국군	국군/NNG
포로	포로/NNG
문제에	문제/NNG+에/JKB
관심을	관심/NNG+을/JKO
갖게	갖/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000038.114.3.2
그건 제 개인사죠."

그건	그거/NP+ㄴ/JX
제	저/NP+의/JKG
개인사죠."	개인사/NNG+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000038.114.4.1
미국 캘리포니아에 거주하고 있는 김한회(50) 변호사는 1983년 북한의 아웅산 폭탄 테러로 숨진 고(故) 김재익 청와대 경제수석의 아들이다.

미국	미국/NNP
캘리포니아에	캘리포니아/NNP+에/JKB
거주하고	거주/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
김한회(50)	김한회/NNP+(/SS+50/SN+)/SS
변호사는	변호사/NNG+는/JX
1983년	1983/SN+년/NNB
북한의	북한/NNP+의/JKG
아웅산	아웅산/NNP
폭탄	폭탄/NNG
테러로	테러/NNG+로/JKB
숨진	숨지/VV+ㄴ/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
김재익	김재익/NNP
청와대	청와대/NNP
경제수석의	경제/NNG+수석/NNG+의/JKG
아들이다.	아들/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.114.4.2
미국에 유학 온 이후 20여년간 미국 IT 업계에서 일했던 그는 "경력을 바꿔 보고 싶어서" 2009년 산타클라라대 로스쿨에 들어갔다.

미국에	미국/NNP+에/JKB
유학	유학/NNG
온	오/VV+ㄴ/ETM
이후	이후/NNG
20여년간	20/SN+여/XSN+년/NNB+간/XSN
미국	미국/NNP
IT	IT/SL
업계에서	업계/NNG+에서/JKB
일했던	일/NNG+하/XSV+았/EP+던/ETM
그는	그/NP+는/JX
"경력을	"/SS+경력/NNG+을/JKO
바꿔	바꾸/VV+어/EC
보고	보/VX+고/EC
싶어서"	싶/VX+어서/EC+"/SS
2009년	2009/SN+년/NNB
산타클라라대	산타클라라대/NNP
로스쿨에	로스쿨/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.114.5.1
