# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.71
metadata : {}


# id : NWRW1800000040.71.1.1
후난성서 ‘중국판 밀양송전탑 사건’ 강제이주 저항…주민 4명 연쇄자살

후난성서	후난성/NNP+서/JKB
‘중국판	‘/SS+중국판/NNG
밀양송전탑	밀양/NNP+송전탑/NNG
사건’	사건/NNG+’/SS
강제이주	강제/NNG+이주/NNG
저항…주민	저항/NNG+…/SE+주민/NNG
4명	4/SN+명/NNB
연쇄자살	연쇄/NNG+자살/NNG


# id : NWRW1800000040.71.2.1
발전소 이주 보상안돼 삶 터전 막막

발전소	발전소/NNG
이주	이주/NNG
보상안돼	보상/NNG+안/MAG+되/XSV+어/EC
삶	삶/NNG
터전	터전/NNG
막막	막막/XR


# id : NWRW1800000040.71.3.1
협박·괴롭힘 당하자 잇단 극단 선택

협박·괴롭힘	협박/NNG+·/SP+괴롭힘/NNG
당하자	당하/VV+자/EC
잇단	잇달/VV+ㄴ/ETM
극단	극단/NNG
선택	선택/NNG


# id : NWRW1800000040.71.4.1
중국 후난성의 한 마을에서 지난 연말 닷새 동안 농민 4명이 스스로 목숨을 끊었다.

중국	중국/NNP
후난성의	후난성/NNP+의/JKG
한	한/MMN
마을에서	마을/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
연말	연말/NNG
닷새	닷새/NNG
동안	동안/NNG
농민	농민/NNG
4명이	4/SN+명/NNB+이/JKS
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.71.4.2
이들은 마을 인근에 들어선 대규모 수력발전소 가동을 위해 이주하라는 관리들의 협박과 괴롭힘을 견디다 못해 죽음을 택한 것으로 드러났다.

이들은	이/NP+들/XSN+은/JX
마을	마을/NNG
인근에	인근/NNG+에/JKB
들어선	들어서/VV+ㄴ/ETM
대규모	대/XPN+규모/NNG
수력발전소	수력/NNG+발전소/NNG
가동을	가동/NNG+을/JKO
위해	위하/VV+아/EC
이주하라는	이주/NNG+하/XSV+라는/ETM
관리들의	관리/NNG+들/XSN+의/JKG
협박과	협박/NNG+과/JC
괴롭힘을	괴롭힘/NNG+을/JKO
견디다	견디/VV+다/EC
못해	못하/VX+아/EC
죽음을	죽음/NNG+을/JKO
택한	택하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.71.5.1
후난성 서부 훙장시 퉈커우진에 지난해 성탄절 오전 지방정부 관계자 10여명이 마을 주민 쩡칭푸의 집에 찾아가 발전소 가동을 위한 이주 동의서에 서명하도록 강요했다.

후난성	후난성/NNP
서부	서부/NNG
훙장시	훙장시/NNP
퉈커우진에	퉈커우진/NNP+에/JKB
지난해	지난해/NNG
성탄절	성탄절/NNG
오전	오전/NNG
지방정부	지방/NNG+정부/NNG
관계자	관계자/NNG
10여명이	10/SN+여/XSN+명/NNB+이/JKS
마을	마을/NNG
주민	주민/NNG
쩡칭푸의	쩡칭푸/NNP+의/JKG
집에	집/NNG+에/JKB
찾아가	찾아가/VV+아/EC
발전소	발전소/NNG
가동을	가동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
이주	이주/NNG
동의서에	동의서/NNG+에/JKB
서명하도록	서명/NNG+하/XSV+도록/EC
강요했다.	강요/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.71.5.2
서명을 거부한 쩡칭푸는 관리들이 떠난 뒤 집 기둥에 목을 매 자살했다고 홍콩 <명보>가 3일 보도했다.

서명을	서명/NNG+을/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
쩡칭푸는	쩡칭푸/NNP+는/JX
관리들이	관리/NNG+들/XSN+이/JKS
떠난	떠나/VV+ㄴ/ETM
뒤	뒤/NNG
집	집/NNG
기둥에	기둥/NNG+에/JKB
목을	목/NNG+을/JKO
매	매/VV+어/EC
자살했다고	자살/NNG+하/XSV+았/EP+다고/EC
홍콩	홍콩/NNP
<명보>가	</SS+명보/NNP+>/SS+가/JKS
3일	3/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.71.5.3
이날 오후에는 인근 마을 주민 리원루이가 서명을 거부한 뒤 옥상에서 투신 자살했다.

이날	이날/NNG
오후에는	오후/NNG+에/JKB+는/JX
인근	인근/NNG
마을	마을/NNG
주민	주민/NNG
리원루이가	리원루이/NNP+가/JKS
