# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.250
metadata : {}


# id : NWRW1800000038.250.1.1
[오늘의 스타] 청주高 황영국

[오늘의	[/SS+오늘/NNG+의/JKG
스타]	스타/NNG+]/SS
청주高	청주/NNP+高/SH
황영국	황영국/NNP


# id : NWRW1800000038.250.2.1
'면도날 제구'로 8과 3분의 1이닝 무실점… 팔꿈치 부상 완전히 떨쳐

'면도날	'/SS+면도날/NNG
제구'로	제구/NNG+'/SS+로/JKB
8과	8/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
1이닝	1/SN+이닝/NNG
무실점…	무/XPN+실점/NNG+…/SE
팔꿈치	팔꿈치/NNG
부상	부상/NNG
완전히	완전히/MAG
떨쳐	떨치/VV+어/EF


# id : NWRW1800000038.250.3.1
"완봉승이요?

"완봉승이요?	"/SS+완봉/NNG+승/NNG+이요/JX+?/SF


# id : NWRW1800000038.250.3.2
아쉽지만 팀이 이겨서 기쁩니다."

아쉽지만	아쉽/VA+지만/EC
팀이	팀/NNG+이/JKS
이겨서	이기/VV+어서/EC
기쁩니다."	기쁘/VA+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.250.4.1
청주고 좌완투수 황영국(18·3학년)은 자신의 전국대회 첫 완봉승 기회를 놓치고도 씩씩한 표정을 지었다.

청주고	청주고/NNP
좌완투수	좌완/NNG+투수/NNG
황영국(18·3학년)은	황영국/NNP+(/SS+18/SN+·/SP+3/SN+학년/NNG+)/SS+은/JX
자신의	자신/NNG+의/JKG
전국대회	전국/NNG+대회/NNG
첫	첫/MMN
완봉승	완봉/NNG+승/NNG
기회를	기회/NNG+를/JKO
놓치고도	놓치/VV+고/EC+도/JX
씩씩한	씩씩하/VA+ㄴ/ETM
표정을	표정/NNG+을/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.250.4.2
황영국은 1일 군산상고와 벌인 청룡기 16강전에서 8과 3분의 1이닝 동안 무실점(3피안타 6탈삼진)으로 호투하며 청룡기 무대 첫 선발 승리를 잡았다.

황영국은	황영국/NNP+은/JX
1일	1/SN+일/NNB
군산상고와	군산상고/NNP+와/JKB
벌인	벌이/VV+ㄴ/ETM
청룡기	청룡기/NNG
16강전에서	16/SN+강전/NNB+에서/JKB
8과	8/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
1이닝	1/SN+이닝/NNG
동안	동안/NNG
무실점(3피안타	무/XPN+실점/NNG+(/SS+3/SN+피/XPN+안타/NNG
6탈삼진)으로	6/SN+탈삼진/NNG+)/SS+으로/JKB
호투하며	호투/NNG+하/XSV+며/EC
무대	무대/NNG
첫	첫/MMN
선발	선발/NNG
승리를	승리/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.250.4.3
두 타자만 더 잡으면 완봉승의 주인공이 될 수 있었지만 투구 수가 142개가 되며 9회 1사에 교체됐다.

두	두/MMN
타자만	타자/NNG+만/JX
더	더/MAG
잡으면	잡/VV+으면/EC
완봉승의	완봉/NNG+승/NNG+의/JKG
주인공이	주인공/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있었지만	있/VA+었/EP+지만/EC
투구	투구/NNG
수가	수/NNG+가/JKS
142개가	142/SN+개/NNB+가/JKC
되며	되/VV+며/EC
9회	9/SN+회/NNB
1사에	1/SN+사/NNG+에/JKB
교체됐다.	교체/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.250.4.4
황영국은 "남은 경기에서 반드시 완봉승을 노리겠다"고 말했다.

황영국은	황영국/NNP+은/JX
"남은	"/SS+남/VV+은/ETM
경기에서	경기/NNG+에서/JKB
반드시	반드시/MAG
완봉승을	완봉/NNG+승/NNG+을/JKO
노리겠다"고	노리/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.250.5.1
황영국은 2014프로야구 신인 1차 지명에서 연고지 우선 지명으로 한화의 선택을 받았다.

황영국은	황영국/NNP+은/JX
2014프로야구	2014/SN+프로/NNG+야구/NNG
신인	신인/NNG
1차	1/SN+차/NNB
지명에서	지명/NNG+에서/JKB
연고지	연고지/NNG
우선	우선/MAG
지명으로	지명/NNG+으로/JKB
한화의	한화/NNP+의/JKG
선택을	선택/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.250.5.2
최근 청소년 대표팀에도 뽑힌 그는 청주중학교 시절부터 각종 대회에서 우수투수상을 휩쓴 좌완 유망주였다.

최근	최근/MAG
청소년	청소년/NNG
대표팀에도	대표/NNG+팀/NNG+에/JKB+도/JX
뽑힌	뽑히/VV+ㄴ/ETM
그는	그/NP+는/JX
청주중학교	청주중학교/NNP
시절부터	시절/NNG+부터/JX
각종	각종/NNG
대회에서	대회/NNG+에서/JKB
우수투수상을	우수/NNG+투수/NNG+상/NNG+을/JKO
휩쓴	휩쓸/VV+ㄴ/ETM
좌완	좌완/NNG
유망주였다.	유망주/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.250.5.3
'면도날 제구력'을 자랑하는 그는 같은 충청도 출신 좌완 구대성(44)을 이을 재목이라는 평가를 받았다.

'면도날	'/SS+면도날/NNG
제구력'을	제구력/NNG+'/SS+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
그는	그/NP+는/JX
같은	같/VA+은/ETM
충청도	충청도/NNP
출신	출신/NNG
좌완	좌완/NNG
구대성(44)을	구대성/NNP+(/SS+44/SN+)/SS+을/JKO
이을	잇/VV+을/ETM
재목이라는	재목/NNG+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.250.6.1
하지만 중학교 졸업 무렵 뜻밖의 팔꿈치 인대 부상으로 슬럼프를 겪었다.

하지만	하지만/MAJ
중학교	중학교/NNG
졸업	졸업/NNG
무렵	무렵/NNB
뜻밖의	뜻밖/NNG+의/JKG
팔꿈치	팔꿈치/NNG
인대	인대/NNG
부상으로	부상/NNG+으로/JKB
슬럼프를	슬럼프/NNG+를/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.250.6.2
투구 때마다 심한 팔꿈치 통증 탓에 지난해까지 전국 고교 야구 대회에서 한 경기 4이닝 이상 던져보지 못했다.

투구	투구/NNG
때마다	때/NNG+마다/JX
심한	심하/VA+ㄴ/ETM
팔꿈치	팔꿈치/NNG
통증	통증/NNG
탓에	탓/NNG+에/JKB
지난해까지	지난해/NNG+까지/JX
전국	전국/NNG
고교	고교/NNG
야구	야구/NNG
대회에서	대회/NNG+에서/JKB
한	한/MMN
경기	경기/NNG
4이닝	4/SN+이닝/NNG
이상	이상/NNG
던져보지	던지/VV+어/EC+보/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.250.7.1
황영국은 좌절하지 않고 지난 1년간 재활에 매달렸다.

황영국은	황영국/NNP+은/JX
좌절하지	좌절/NNG+하/XSV+지/EC
않고	않/VX+고/EC
지난	지나/VV+ㄴ/ETM
1년간	1/SN+년/NNB+간/XSN
재활에	재활/NNG+에/JKB
매달렸다.	매달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.250.7.2
황영국은 올해 초 120㎞대였던 구속을 최근 140㎞까지 끌어올렸다.

황영국은	황영국/NNP+은/JX
올해	올해/NNG
초	초/NNB
120㎞대였던	120/SN+㎞/SW+대/XSN+이/VCP+었/EP+던/ETM
구속을	구속/NNG+을/JKO
최근	최근/MAG
140㎞까지	140/SN+㎞/SW+까지/JX
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.250.7.3
후기 주말리그에서는 8경기 3승1패(평균자책점 1.29)로 부활을 알렸다.

후기	후기/NNG
주말리그에서는	주말/NNG+리그/NNG+에서/JKB+는/JX
8경기	8/SN+경기/NNG
