# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.321
metadata : {}


# id : NWRW1800000022.321.1.1
[대구·경북] 우리문화를 아끼고 사랑하는 사람들이 모였다;국제로타리 3700지구 내 아리랑로타리클럽

[대구·경북]	[/SS+대구/NNP+·/SP+경북/NNP+]/SS
우리문화를	우리/NP+문화/NNG+를/JKO
아끼고	아끼/VV+고/EC
사랑하는	사랑/NNG+하/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
모였다;국제로타리	모이/VV+었/EP+다/EF+;/SW+국제로타리/NNP
3700지구	3700/SN+지구/NNG
내	내/NNB
아리랑로타리클럽	아리랑로타리클럽/NNP


# id : NWRW1800000022.321.2.1
우리의 소리, 우리의 문화를 사랑하고 아끼는 사람들이 모인 로타리클럽이 만들어졌다.

우리의	우리/NP+의/JKG
소리,	소리/NNG+,/SP
문화를	문화/NNG+를/JKO
사랑하고	사랑/NNG+하/XSV+고/EC
아끼는	아끼/VV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
모인	모이/VV+ㄴ/ETM
로타리클럽이	로타리클럽/NNG+이/JKS
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.321.3.1
국제로타리 3700지구 산하 아리랑로타리클럽(회장 최순희)이 화제의 모임.

국제로타리	국제로타리/NNP
3700지구	3700/SN+지구/NNG
산하	산하/NNG
아리랑로타리클럽(회장	아리랑로타리클럽/NNP+(/SS+회장/NNG
최순희)이	최순희/NNP+)/SS+이/JKS
화제의	화제/NNG+의/JKG
모임.	모임/NNG+./SF


# id : NWRW1800000022.321.3.2
여기에는 국악 연주자, 우리춤꾼, 한복명장, 우리문화 애호가 등 다양한 사람들이 모였다.

여기에는	여기/NP+에/JKB+는/JX
국악	국악/NNG
연주자,	연주자/NNG+,/SP
우리춤꾼,	우리/NNP+춤/NNG+꾼/XSN+,/SP
한복명장,	한복/NNG+명장/NNG+,/SP
우리문화	우리/NP+문화/NNG
애호가	애호가/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
사람들이	사람/NNG+들/XSN+이/JKS
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.321.3.3
하는 일은 다르고 지향하는 곳도 다르지만 우리 문화를 아끼고 사랑하는 마음은 똑같다.

하는	하/VV+는/ETM
일은	일/NNG+은/JX
다르고	다르/VA+고/EC
지향하는	지향/NNG+하/XSV+는/ETM
곳도	곳/NNG+도/JX
다르지만	다르/VA+지만/EC
우리	우리/NP
문화를	문화/NNG+를/JKO
아끼고	아끼/VV+고/EC
사랑하는	사랑/NNG+하/XSV+는/ETM
마음은	마음/NNG+은/JX
똑같다.	똑같/VA+다/EF+./SF


# id : NWRW1800000022.321.3.4
송화영 살풀이 이수자인 회장 최순희씨를 비롯, 미술치료사이면서 여러 대학에 강의를 나가는 도희숙씨, 가야금 연주자 이미경씨, 대금 연주자 이수준씨, 타악 연주자 최병길씨, 우리 춤꾼이면서 대구시립국악단 안무자 김죽엽씨 등 이름만 들으면 고개를 끄덕일 사람들이 50명이 넘는다.

송화영	송화영/NNP
살풀이	살풀이/NNG
이수자인	이수자/NNG+이/VCP+ㄴ/ETM
회장	회장/NNG
최순희씨를	최순희/NNP+씨/NNB+를/JKO
비롯,	비롯/XR+,/SP
미술치료사이면서	미술/NNG+치료사/NNG+이/VCP+면서/EC
여러	여러/MMN
대학에	대학/NNG+에/JKB
강의를	강의/NNG+를/JKO
나가는	나가/VV+는/ETM
도희숙씨,	도희숙/NNP+씨/NNB+,/SP
가야금	가야금/NNG
연주자	연주자/NNG
이미경씨,	이미경/NNP+씨/NNB+,/SP
대금	대금/NNG
이수준씨,	이수준/NNP+씨/NNB+,/SP
타악	타악/NNG
최병길씨,	최병길/NNP+씨/NNB+,/SP
우리	우리/NP
춤꾼이면서	춤/NNG+꾼/XSN+이/VCP+면서/EC
대구시립국악단	대구시립국악단/NNP
안무자	안무자/NNG
