# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.219
metadata : {}


# id : NWRW1800000041.219.1.1
故신해철씨 수술한 S병원, 3년전에도 수술환자 사망

故신해철씨	故/SH+신해철/NNP+씨/NNB
수술한	수술/NNG+하/XSV+ㄴ/ETM
S병원,	S/SL+병원/NNG+,/SP
3년전에도	3/SN+년/NNB+전/NNG+에/JKB+도/JX
수술환자	수술/NNG+환자/NNG
사망	사망/NNG


# id : NWRW1800000041.219.2.1
과실 증거부족으로 소송은 이겨

과실	과실/NNG
증거부족으로	증거/NNG+부족/NNG+으로/JKB
소송은	소송/NNG+은/JX
이겨	이기/VV+어/EF


# id : NWRW1800000041.219.3.1
가수 신해철 씨의 사망 원인을 놓고 의료 과실 의혹이 제기되는 가운데 신 씨의 위 밴드 수술을 집도했던 서울 S병원 K 원장(44)이 3년 전 비슷한 사고로 소송에 휘말렸던 것으로 확인됐다.

가수	가수/NNG
신해철	신해철/NNP
씨의	씨/NNB+의/JKG
사망	사망/NNG
원인을	원인/NNG+을/JKO
놓고	놓/VV+고/EC
의료	의료/NNG
과실	과실/NNG
의혹이	의혹/NNG+이/JKS
제기되는	제기/NNG+되/XSV+는/ETM
가운데	가운데/NNG
신	신/NNP
위	위/NNG
밴드	밴드/NNG
수술을	수술/NNG+을/JKO
집도했던	집도/NNG+하/XSV+았/EP+던/ETM
서울	서울/NNP
S병원	S/SL+병원/NNG
K	K/SL
원장(44)이	원장/NNG+(/SS+44/SN+)/SS+이/JKS
3년	3/SN+년/NNB
전	전/NNG
비슷한	비슷하/VA+ㄴ/ETM
사고로	사고/NNG+로/JKB
소송에	소송/NNG+에/JKB
휘말렸던	휘말리/VV+었/EP+던/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.219.4.1
이 사건 판결문에 따르면 2011년 4월 29일 송모 씨(사망 당시 46세·여)는 K 원장으로부터 위 밴드 재수술을 받았다.

이	이/MMD
사건	사건/NNG
판결문에	판결문/NNG+에/JKB
따르면	따르/VV+면/EC
2011년	2011/SN+년/NNB
4월	4/SN+월/NNB
29일	29/SN+일/NNB
송모	송/NNP+모/NP
씨(사망	씨/NNB+(/SS+사망/NNG
당시	당시/NNG
46세·여)는	46/SN+세/NNB+·/SP+여/NNG+)/SS+는/JX
K	K/SL
원장으로부터	원장/NNG+으로부터/JKB
위	위/NNG
밴드	밴드/NNG
재수술을	재/XPN+수술/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.219.4.2
그는 이미 1년 전 다른 병원에서 한 차례 같은 수술을 받고 위 밴드 제거 수술까지 받은 상태였다.

그는	그/NP+는/JX
이미	이미/MAG
1년	1/SN+년/NNB
전	전/NNG
다른	다른/MMD
병원에서	병원/NNG+에서/JKB
한	한/MMN
차례	차례/NNG
같은	같/VA+은/ETM
수술을	수술/NNG+을/JKO
받고	받/VV+고/EC
위	위/NNG
밴드	밴드/NNG
제거	제거/NNG
수술까지	수술/NNG+까지/JX
받은	받/VV+은/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.219.4.3
그러나 송 씨는 S병원에서 재수술을 받은 후 통증을 호소했고 K 원장은 송 씨에게 마약성 진통제 주사를 놔 줬다.

그러나	그러나/MAJ
송	송/NNP
씨는	씨/NNB+는/JX
S병원에서	S/SL+병원/NNG+에서/JKB
재수술을	재/XPN+수술/NNG+을/JKO
받은	받/VV+은/ETM
후	후/NNG
통증을	통증/NNG+을/JKO
호소했고	호소/NNG+하/XSV+았/EP+고/EC
K	K/SL
원장은	원장/NNG+은/JX
씨에게	씨/NNB+에게/JKB
마약성	마약/NNG+성/XSN
진통제	진통제/NNG
주사를	주사/NNG+를/JKO
놔	놓/VV+아/EC
줬다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.219.4.4
