# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.292
metadata : {}


# id : NWRW1800000040.292.1.1
이청용 2도움, 볼턴 1부리그 복귀 불씨 살려

이청용	이청용/NNP
2도움,	2/SN+도움/NNG+,/SP
볼턴	볼턴/NNP
1부리그	1/SN+부/NNB+리그/NNG
복귀	복귀/NNG
불씨	불씨/NNG
살려	살리/VV+어/EF


# id : NWRW1800000040.292.2.1
미들즈브러전 2-1 승리 밑돌

미들즈브러전	미들즈브러전/NNG
2-1	2/SN+-/SO+1/SN
승리	승리/NNG
밑돌	밑돌/NNG


# id : NWRW1800000040.292.3.1
이청용(25)이 눈부신 활약을 선보이며 볼턴 원더러스의 1부 리그 재진입에 희망의 불을 켰다.

이청용(25)이	이청용/NNP+(/SS+25/SN+)/SS+이/JKS
눈부신	눈부시/VA+ㄴ/ETM
활약을	활약/NNG+을/JKO
선보이며	선보이/VV+며/EC
볼턴	볼턴/NNP
원더러스의	원더러스/NNP+의/JKG
1부	1/SN+부/NNB
리그	리그/NNG
재진입에	재/XPN+진입/NNG+에/JKB
희망의	희망/NNG+의/JKG
불을	불/NNG+을/JKO
켰다.	켜/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.292.4.1
볼턴은 20일(현지시각) 리복 스타디움에서 열린 미들즈브러와의 2012~2013 잉글랜드 챔피언십(2부 리그) 44라운드 안방경기에서 2-1로 승리했다.

볼턴은	볼턴/NNP+은/JX
20일(현지시각)	20/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
리복	리복/NNP
스타디움에서	스타디움/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
미들즈브러와의	미들즈브러/NNP+와/JKB+의/JKG
2012~2013	2012/SN+~/SO+2013/SN
잉글랜드	잉글랜드/NNP
챔피언십(2부	챔피언십/NNG+(/SS+2/SN+부/NNB
리그)	리그/NNG+)/SS
44라운드	44/SN+라운드/NNG
안방경기에서	안방/NNG+경기/NNG+에서/JKB
2-1로	2/SN+-/SO+1/SN+로/JKB
승리했다.	승리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.292.4.2
