# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.121
metadata : {}


# id : NWRW1800000038.121.1.1
"한국에서 찾은 눈… 그 빛 세상에 돌려줄게요"

"한국에서	"/SS+한국/NNP+에서/JKB
찾은	찾/VV+은/ETM
눈…	눈/NNG+…/SE
그	그/MMD
빛	빛/NNG
세상에	세상/NNG+에/JKB
돌려줄게요"	돌려주/VV+ㄹ게/EF+요/JX+"/SS


# id : NWRW1800000038.121.2.1
한양대서 의안수술받는 짜끄리야씨

한양대서	한양대/NNP+서/JKB
의안수술받는	의안/NNG+수술/NNG+받/XSV+는/ETM
짜끄리야씨	짜끄리야/NNP+씨/NNB


# id : NWRW1800000038.121.3.1
"도와주고 싶다고 말하는 사람은 많았지만, 다들 그때뿐이었어요.

"도와주고	"/SS+도와주/VV+고/EC
싶다고	싶/VX+다고/EC
말하는	말/NNG+하/XSV+는/ETM
사람은	사람/NNG+은/JX
많았지만,	많/VA+았/EP+지만/EC+,/SP
다들	다/NNG+들/XSN
그때뿐이었어요.	그때/NNG+뿐/JX+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000038.121.3.2
그런데 한국에서 눈을 치료해주겠다고 연락이 오고, 곧이어 비행기표를 보내왔을 땐 정말 꿈을 꾸는 것 같았습니다."

그런데	그런데/MAJ
한국에서	한국/NNP+에서/JKB
눈을	눈/NNG+을/JKO
치료해주겠다고	치료/NNG+하/XSV+아/EC+주/VX+겠/EP+다고/EC
연락이	연락/NNG+이/JKS
오고,	오/VV+고/EC+,/SP
곧이어	곧이어/MAG
비행기표를	비행기표/NNG+를/JKO
보내왔을	보내오/VV+았/EP+을/ETM
땐	때/NNG+ㄴ/JX
정말	정말/MAG
꿈을	꿈/NNG+을/JKO
꾸는	꾸/VV+는/ETM
것	것/NNB
같았습니다."	같/VA+았/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000038.121.4.1
캄보디아에서 온 유 짜끄리야(You Chakriya·18)는 이번 달 말 서울 성동구 한양대병원에서 의안(義眼) 이식수술을 받는다.

캄보디아에서	캄보디아/NNP+에서/JKB
온	오/VV+ㄴ/ETM
유	유/NNP
짜끄리야(You	짜끄리야/NNP+(/SS+You/SL
Chakriya·18)는	Chakriya/SL+·/SP+18/SN+)/SS+는/JX
이번	이번/NNG
달	달/NNG
말	말/NNB
서울	서울/NNP
성동구	성동구/NNP
한양대병원에서	한양대병원/NNP+에서/JKB
의안(義眼)	의안/NNG+(/SS+義眼/SH+)/SS
이식수술을	이식/NNG+수술/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000038.121.4.2
8세 때 날카로운 못에 눈을 찔려 실명한 짜끄리야에겐 10년 만에 새로운 눈이 생기는 것이다.

8세	8/SN+세/NNB
때	때/NNG
날카로운	날카롭/VA+ㄴ/ETM
못에	못/NNG+에/JKB
눈을	눈/NNG+을/JKO
찔려	찔리/VV+어/EC
실명한	실명/NNG+하/XSV+ㄴ/ETM
짜끄리야에겐	짜끄리야/NNP+에게/JKB+ㄴ/JX
10년	10/SN+년/NNB
만에	만/NNB+에/JKB
새로운	새롭/VA+ㄴ/ETM
눈이	눈/NNG+이/JKS
생기는	생기/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.121.5.1
짜끄리야가 멀리 한국에서 수술을 받게 된 건 한양대 동문사회봉사단 '함께한대'와의 인연 때문이다.

짜끄리야가	짜끄리야/NNP+가/JKS
멀리	멀리/MAG
한국에서	한국/NNP+에서/JKB
수술을	수술/NNG+을/JKO
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
한양대	한양대/NNP
동문사회봉사단	동문/NNG+사회/NNG+봉사단/NNG
'함께한대'와의	'/SS+함께한대/NNP+'/SS+와/JKB+의/JKG
인연	인연/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.121.5.2
지난 7월 캄보디아로 봉사 활동을 간 함께한대 봉사단원들은 현지 숙소로 사용한 라이프대학교 기숙사에서 간호학과 학생 짜끄리야를 처음 만났다.

지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
캄보디아로	캄보디아/NNP+로/JKB
봉사	봉사/NNG
활동을	활동/NNG+을/JKO
간	가/VV+ㄴ/ETM
함께한대	함께한대/NNP
봉사단원들은	봉사단원/NNG+들/XSN+은/JX
현지	현지/NNG
숙소로	숙소/NNG+로/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
라이프대학교	라이프대학교/NNP
기숙사에서	기숙사/NNG+에서/JKB
간호학과	간호학과/NNG
학생	학생/NNG
짜끄리야를	짜끄리야/NNP+를/JKO
처음	처음/NNG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.121.5.3
짜끄리야로부터 현지 적응에 많은 도움을 받은 봉사단원들은 한국에 돌아가면 실명 뒤 생긴 염증으로 고생하는 짜끄리야를 도울 방법을 찾아보겠다고 약속했다.

짜끄리야로부터	짜끄리야/NNP+로부터/JKB
현지	현지/NNG
적응에	적응/NNG+에/JKB
많은	많/VA+은/ETM
도움을	도움/NNG+을/JKO
받은	받/VV+은/ETM
봉사단원들은	봉사단원/NNG+들/XSN+은/JX
한국에	한국/NNP+에/JKB
돌아가면	돌아가/VV+면/EC
실명	실명/NNG
뒤	뒤/NNG
생긴	생기/VV+ㄴ/ETM
염증으로	염증/NNG+으로/JKB
고생하는	고생/NNG+하/XSV+는/ETM
짜끄리야를	짜끄리야/NNP+를/JKO
도울	돕/VV+ㄹ/ETM
방법을	방법/NNG+을/JKO
찾아보겠다고	찾/VV+아/EC+보/VX+겠/EP+다고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.121.6.1
한국에 돌아온 봉사단원들은 한양대병원과 함께 짜끄리야를 한국보건산업진흥원의 '메디컬코리아 나눔의료사업' 대상자로 신청했다.

한국에	한국/NNP+에/JKB
돌아온	돌아오/VV+ㄴ/ETM
봉사단원들은	봉사단원/NNG+들/XSN+은/JX
한양대병원과	한양대병원/NNP+과/JKB
함께	함께/MAG
짜끄리야를	짜끄리야/NNP+를/JKO
한국보건산업진흥원의	한국보건산업진흥원/NNP+의/JKG
'메디컬코리아	'/SS+메디컬코리아/NNG
나눔의료사업'	나눔/NNG+의료/NNG+사업/NNG+'/SS
대상자로	대상자/NNG+로/JKB
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.121.6.2
메디컬코리아 나눔의료사업은 매년 2회 해외에 거주하는 환자의 국내 치료를 돕는 사업이다.

메디컬코리아	메디컬코리아/NNG
나눔의료사업은	나눔/NNG+의료/NNG+사업/NNG+은/JX
매년	매년/MAG
2회	2/SN+회/NNB
해외에	해외/NNG+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
환자의	환자/NNG+의/JKG
국내	국내/NNG
치료를	치료/NNG+를/JKO
돕는	돕/VV+는/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.121.6.3
짜끄리야는 최종 수혜자로 선정돼 항공료와 체재비를 지원받게 됐다.

짜끄리야는	짜끄리야/NNP+는/JX
최종	최종/NNG
수혜자로	수혜자/NNG+로/JKB
선정돼	선정/NNG+되/XSV+어/EC
항공료와	항공료/NNG+와/JC
체재비를	체재비/NNG+를/JKO
지원받게	지원/NNG+받/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.121.6.4
짜끄리야는 "어린 시절 아이를 낳다 제대로 된 의료 지원을 받지 못해 하늘로 간 언니를 보고 간호사가 되기로 결심했다"며 "책을 오래 보면 오른쪽 눈이 많이 시리고 아팠는데, 이제는 마음껏 공부할 수 있을 것 같다"고 말했다.

짜끄리야는	짜끄리야/NNP+는/JX
"어린	"/SS+어리/VA+ㄴ/ETM
시절	시절/NNG
아이를	아이/NNG+를/JKO
낳다	낳/VV+다/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
의료	의료/NNG
지원을	지원/NNG+을/JKO
받지	받/VV+지/EC
못해	못하/VX+아/EC
하늘로	하늘/NNG+로/JKB
간	가/VV+ㄴ/ETM
언니를	언니/NNG+를/JKO
보고	보/VV+고/EC
간호사가	간호사/NNG+가/JKS
되기로	되/VV+기/ETN+로/JKB
결심했다"며	결심/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"책을	"/SS+책/NNG+을/JKO
오래	오래/MAG
보면	보/VV+면/EC
오른쪽	오른쪽/NNG
눈이	눈/NNG+이/JKS
많이	많이/MAG
시리고	시리/VA+고/EC
아팠는데,	아프/VA+았/EP+는데/EC+,/SP
이제는	이제/NNG+는/JX
마음껏	마음껏/MAG
공부할	공부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.121.6.5
짜끄리야는 "한국 친구들이 내게 준 사랑을 잊지 않겠다"며 "한국 친구들이 나를 도와준 것처럼, 나도 다른 사람들을 도우며 살겠다"고 말했다.

짜끄리야는	짜끄리야/NNP+는/JX
"한국	"/SS+한국/NNP
친구들이	친구/NNG+들/XSN+이/JKS
내게	나/NP+에게/JKB
준	주/VV+ㄴ/ETM
사랑을	사랑/NNG+을/JKO
잊지	잊/VV+지/EC
않겠다"며	않/VX+겠/EP+다/EF+"/SS+며/EC
나를	나/NP+를/JKO
도와준	도와주/VV+ㄴ/ETM
것처럼,	것/NNB+처럼/JKB+,/SP
나도	나/NP+도/JX
다른	다른/MMD
사람들을	사람/NNG+들/XSN+을/JKO
도우며	돕/VV+으며/EC
살겠다"고	살/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


