# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.253
metadata : {}


# id : NWRW1800000040.253.1.1
제주 해파리 비상

제주	제주/NNP
해파리	해파리/NNG
비상	비상/NNG


# id : NWRW1800000040.253.2.1
피서객 130명 응급치료

피서객	피서객/NNG
130명	130/SN+명/NNB
응급치료	응급/NNG+치료/NNG


# id : NWRW1800000040.253.3.1
제주지역 해수욕장에서 130명이 독성 해파리에 쏘여 응급치료를 받았다.

제주지역	제주지역/NNP
해수욕장에서	해수욕장/NNG+에서/JKB
130명이	130/SN+명/NNB+이/JKS
독성	독성/NNG
해파리에	해파리/NNG+에/JKB
쏘여	쏘이/VV+어/EC
응급치료를	응급/NNG+치료/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.253.4.1
제주해양경찰서는 지난 10일 오후 2시20분부터 저녁 8시 사이에 제주시 함덕서우봉 해변에서 황아무개(44·서울)씨 등 26명이 물놀이를 하다 해파리에 쏘여 응급처치를 받았다고 11일 밝혔다.

제주해양경찰서는	제주해양경찰서/NNP+는/JX
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
오후	오후/NNG
2시20분부터	2/SN+시/NNB+20/SN+분/NNB+부터/JX
저녁	저녁/NNG
8시	8/SN+시/NNB
사이에	사이/NNG+에/JKB
제주시	제주시/NNP
함덕서우봉	함덕서우봉/NNP
해변에서	해변/NNG+에서/JKB
황아무개(44·서울)씨	황/NNP+아무개/NP+(/SS+44/SN+·/SP+서울/NNP+)/SS+씨/NNB
등	등/NNB
26명이	26/SN+명/NNB+이/JKS
물놀이를	물놀이/NNG+를/JKO
하다	하/VV+다/EC
해파리에	해파리/NNG+에/JKB
쏘여	쏘이/VV+어/EC
응급처치를	응급/NNG+처치/NNG+를/JKO
받았다고	받/VV+았/EP+다고/EC
11일	11/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.253.4.2
비슷한 시간대에 이호에서 16명, 김녕 10명, 협재 5명, 삼양 3명, 금능 1명 등 제주지역 6개 해수욕장에서 모두 61명이 해파리에 쏘였다.

비슷한	비슷하/VA+ㄴ/ETM
시간대에	시간대/NNG+에/JKB
이호에서	이호/NNP+에서/JKB
16명,	16/SN+명/NNB+,/SP
김녕	김녕/NNP
10명,	10/SN+명/NNB+,/SP
협재	협재/NNP
5명,	5/SN+명/NNB+,/SP
삼양	삼양/NNP
3명,	3/SN+명/NNB+,/SP
금능	금능/NNP
1명	1/SN+명/NNB
등	등/NNB
제주지역	제주지역/NNP
6개	6/SN+개/NNB
해수욕장에서	해수욕장/NNG+에서/JKB
모두	모두/MAG
61명이	61/SN+명/NNB+이/JKS
해파리에	해파리/NNG+에/JKB
쏘였다.	쏘이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.253.4.3
11일에도 함덕 40명, 김녕 15명, 이호 14명 등 69명이 해파리에 쏘여 이틀 동안 130명이 피해를 입었다.

11일에도	11/SN+일/NNB+에/JKB+도/JX
함덕	함덕/NNP
40명,	40/SN+명/NNB+,/SP
김녕	김녕/NNP
15명,	15/SN+명/NNB+,/SP
이호	이호/NNP
14명	14/SN+명/NNB
등	등/NNB
69명이	69/SN+명/NNB+이/JKS
해파리에	해파리/NNG+에/JKB
쏘여	쏘이/VV+어/EC
이틀	이틀/NNG
동안	동안/NNG
130명이	130/SN+명/NNB+이/JKS
피해를	피해/NNG+를/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.253.5.1
피해를 입힌 해파리는 대부분 라스톤입방해파리이다.

피해를	피해/NNG+를/JKO
입힌	입히/VV+ㄴ/ETM
해파리는	해파리/NNG+는/JX
대부분	대/XPN+부분/NNG
라스톤입방해파리이다.	라스톤입방해파리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.253.5.2
이 해파리는 3㎝ 안팎의 소형 해파리류로 작고 연약해 보이지만 독성은 높은 것으로 알려졌다.

이	이/MMD
해파리는	해파리/NNG+는/JX
3㎝	3/SN+㎝/SW
안팎의	안팎/NNG+의/JKG
소형	소형/NNG
해파리류로	해파리/NNG+류/XSN+로/JKB
작고	작/VA+고/EC
연약해	연약하/VA+아/EC
보이지만	보이/VV+지만/EC
독성은	독성/NNG+은/JX
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.253.5.3
쏘이면 모기에 물린 것처럼 주변이 부어오르는 증상이 나타난다.

쏘이면	쏘이/VV+면/EC
모기에	모기/NNG+에/JKB
물린	물리/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
주변이	주변/NNG+이/JKS
부어오르는	부어오르/VV+는/ETM
증상이	증상/NNG+이/JKS
