# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.193
metadata : {}


# id : NWRW1800000038.193.1.1
12조5000억원 빚진 SH공사, 서울시가 직접 경영 나선다

12조5000억원	12/SN+조/NR+5000/SN+억/NR+원/NNB
빚진	빚지/VV+ㄴ/ETM
SH공사,	SH공사/NNP+,/SP
서울시가	서울시/NNP+가/JKS
직접	직접/MAG
경영	경영/NNG
나선다	나서/VV+ㄴ다/EF


# id : NWRW1800000038.193.2.1
市, 고위 관계자 등 TF 구성

市,	市/SH+,/SP
고위	고위/NNG
관계자	관계자/NNG
등	등/NNB
TF	TF/SL
구성	구성/NNG


# id : NWRW1800000038.193.3.1
서울시가 SH공사 경영을 정상화하고자 직접 경영에 참여하기로 결정하고 TF(태스크포스)를 구성한 것으로 8일 확인됐다.

서울시가	서울시/NNP+가/JKS
SH공사	SH공사/NNP
경영을	경영/NNG+을/JKO
정상화하고자	정상/NNG+화/XSN+하/XSV+고자/EC
직접	직접/MAG
경영에	경영/NNG+에/JKB
참여하기로	참여/NNG+하/XSV+기/ETN+로/JKB
결정하고	결정/NNG+하/XSV+고/EC
TF(태스크포스)를	TF/SL+(/SS+태스크포스/NNG+)/SS+를/JKO
구성한	구성/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
8일	8/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.193.3.2
SH공사는 서울시가 지분을 100% 가진 공기업으로, 채무가 12조5000억원에 이르는 등 심각한 경영 부실 상태에 빠져 있으며 한 달 이자만 322억원을 물고 있다.

SH공사는	SH공사/NNP+는/JX
서울시가	서울시/NNP+가/JKS
지분을	지분/NNG+을/JKO
100%	100/SN+%/SW
가진	가지/VV+ㄴ/ETM
공기업으로,	공기업/NNG+으로/JKB+,/SP
채무가	채무/NNG+가/JKS
12조5000억원에	12/SN+조/NR+5000/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
등	등/NNB
심각한	심각하/VA+ㄴ/ETM
경영	경영/NNG
부실	부실/NNG
상태에	상태/NNG+에/JKB
빠져	빠지/VV+어/EC
있으며	있/VX+으며/EC
한	한/MMN
달	달/NNB
이자만	이자/NNG+만/JX
322억원을	322/SN+억/NR+원/NNB+을/JKO
물고	물/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.193.3.3
서울시가 구성한 TF에는 서울시 고위 관계자와 SH공사 경영진이 참가하고 있다.

서울시가	서울시/NNP+가/JKS
구성한	구성/NNG+하/XSV+ㄴ/ETM
TF에는	TF/SL+에/JKB+는/JX
서울시	서울시/NNP
고위	고위/NNG
관계자와	관계자/NNG+와/JC
SH공사	SH공사/NNP
경영진이	경영진/NNG+이/JKS
참가하고	참가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.193.3.4
서울시는 본부급 조직을 신설하는 방안도 고려 중이다.

서울시는	서울시/NNP+는/JX
본부급	본부급/NNG
조직을	조직/NNG+을/JKO
신설하는	신설/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
고려	고려/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.193.3.5
지방자치단체가 지방 공기업의 경영에 직접 참여하는 것은 강원도 태백의 오투리조트 이후 처음으로 알려졌다.

지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
지방	지방/NNG
공기업의	공기업/NNG+의/JKG
경영에	경영/NNG+에/JKB
직접	직접/MAG
참여하는	참여/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
강원도	강원도/NNP
태백의	태백/NNP+의/JKG
오투리조트	오투리조트/NNP
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.193.4.1
서울시는 작년 막대한 손실을 가져온 은평 알파로스 사업, 용산 개발 사업 실패 원인을 ▲컨트롤타워의 부재 ▲업무 조정 기능의 악화 ▲내외 시장 환경 파악 실패 등으로 본다.

서울시는	서울시/NNP+는/JX
작년	작년/NNG
막대한	막대하/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
가져온	가져오/VV+ㄴ/ETM
은평	은평/NNP
알파로스	알파로스/NNP
사업,	사업/NNG+,/SP
용산	용산/NNP
개발	개발/NNG
사업	사업/NNG
실패	실패/NNG
원인을	원인/NNG+을/JKO
▲컨트롤타워의	▲/SW+컨트롤/NNG+타워/NNG+의/JKG
부재	부재/NNG
▲업무	▲/SW+업무/NNG
조정	조정/NNG
기능의	기능/NNG+의/JKG
악화	악화/NNG
▲내외	▲/SW+내외/NNG
시장	시장/NNG
환경	환경/NNG
파악	파악/NNG
등으로	등/NNB+으로/JKB
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.193.4.2
서울시는 이를 해결하기 위해 SH공사의 경영 관리부터 사업 운영까지 직접 관리할 방침이다.

서울시는	서울시/NNP+는/JX
이를	이/NP+를/JKO
해결하기	해결/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
SH공사의	SH공사/NNP+의/JKG
경영	경영/NNG
관리부터	관리/NNG+부터/JX
사업	사업/NNG
운영까지	운영/NNG+까지/JX
직접	직접/MAG
관리할	관리/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.193.4.3
SH공사의 신규 사업비 조달부터 채무 관리, 사업 관리 등 경영 전반에 직접 개입해 구조조정을 단행하겠다는 것이다.

SH공사의	SH공사/NNP+의/JKG
신규	신규/NNG
사업비	사업비/NNG
조달부터	조달/NNG+부터/JX
채무	채무/NNG
관리,	관리/NNG+,/SP
사업	사업/NNG
관리	관리/NNG
등	등/NNB
경영	경영/NNG
전반에	전반/NNG+에/JKB
직접	직접/MAG
개입해	개입/NNG+하/XSV+아/EC
구조조정을	구조/NNG+조정/NNG+을/JKO
단행하겠다는	단행/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.193.5.1
서울시는 SH공사 경영 정상화를 위해 현재 서울 시내 최대 산업·주택 복합 단지 개발 사업인 마곡지구 개발 사업을 SH공사로부터 인수하는 방안도 고려 중이다.

서울시는	서울시/NNP+는/JX
SH공사	SH공사/NNP
경영	경영/NNG
정상화를	정상/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
현재	현재/MAG
서울	서울/NNP
시내	시내/NNG
최대	최대/NNG
산업·주택	산업/NNG+·/SP+주택/NNG
복합	복합/NNG
단지	단지/NNG
개발	개발/NNG
사업인	사업/NNG+이/VCP+ㄴ/ETM
마곡지구	마곡지구/NNP
사업을	사업/NNG+을/JKO
SH공사로부터	SH공사/NNP+로부터/JKB
인수하는	인수/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
고려	고려/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.193.5.2
마곡지구는 부동산 시장이 정점을 찍던 2007년 구역 지정을 해 2008년 본격 개발을 시작했다.

마곡지구는	마곡지구/NNP+는/JX
부동산	부동산/NNG
시장이	시장/NNG+이/JKS
정점을	정점/NNG+을/JKO
찍던	찍/VV+던/ETM
2007년	2007/SN+년/NNB
구역	구역/NNG
지정을	지정/NNG+을/JKO
해	하/VV+아/EC
2008년	2008/SN+년/NNB
본격	본격/NNG
개발을	개발/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.193.5.3
