# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.132
metadata : {}


# id : NWRW1800000026.132.1.1
[2010 충청 방문의 해][2010세계대백제전] 1400년 동안 잠들었던 '백제'가 부활한다;기마군단 행렬·백제문화단지… 역사·문화 생생하게 재현

[2010	[/SS+2010/SN
충청	충청/NNP
방문의	방문/NNG+의/JKG
해][2010세계대백제전]	해/NNG+]/SS+[/SS+2010/SN+세계/NNG+대/XPN+백제전/NNG+]/SS
1400년	1400/SN+년/NNB
동안	동안/NNG
잠들었던	잠들/VV+었/EP+던/ETM
'백제'가	'/SS+백제/NNP+'/SS+가/JKS
부활한다;기마군단	부활/NNG+하/XSV+ㄴ다/EF+;/SW+기마/NNG+군단/NNG
행렬·백제문화단지…	행렬/NNG+·/SP+백제/NNP+문화/NNG+단지/NNG+…/SE
역사·문화	역사/NNG+·/SP+문화/NNG
생생하게	생생하/VA+게/EC
재현	재현/NNG


# id : NWRW1800000026.132.2.1
더 이상 패망의 역사가 아닙니다.

더	더/MAG
이상	이상/NNG
패망의	패망/NNG+의/JKG
역사가	역사/NNG+가/JKC
아닙니다.	아니/VCN+ㅂ니다/EF+./SF


# id : NWRW1800000026.132.2.2
1400년 전 화려했던 문화강국 백제의 부활을 두 눈으로 확인하세요!

1400년	1400/SN+년/NNB
전	전/NNG
화려했던	화려하/VA+았/EP+던/ETM
문화강국	문화/NNG+강국/NNG
백제의	백제/NNP+의/JKG
부활을	부활/NNG+을/JKO
두	두/MMN
눈으로	눈/NNG+으로/JKB
확인하세요!	확인/NNG+하/XSV+시/EP+어요/EF+!/SF


# id : NWRW1800000026.132.3.1
서기 660년 나·당 연합군의 공격으로 사비성(부여)이 불타며 백제는 역사의 뒤안길로 사라졌다.

서기	서기/NNG
660년	660/SN+년/NNB
나·당	나·당/NNP
연합군의	연합군/NNG+의/JKG
공격으로	공격/NNG+으로/JKB
사비성(부여)이	사비성/NNP+(/SS+부여/NNP+)/SS+이/JKS
불타며	불타/VV+며/EC
백제는	백제/NNP+는/JX
역사의	역사/NNG+의/JKG
뒤안길로	뒤안길/NNG+로/JKB
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.132.3.2
'패망한 역사'란 굴레 속에 화려했던 백제는 제대로 조명받지 못했다.

'패망한	'/SS+패망/NNG+하/XSV+ㄴ/ETM
역사'란	역사/NNG+'/SS+이/VCP+란/ETM
굴레	굴레/NNG
속에	속/NNG+에/JKB
화려했던	화려하/VA+았/EP+던/ETM
백제는	백제/NNP+는/JX
제대로	제대로/MAG
조명받지	조명/NNG+받/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.132.3.3
올가을 백제의 옛 수도였던 충남 부여와 공주에서 문화왕국 백제가 화려하게 되살아난다.

올가을	올가을/NNG
백제의	백제/NNP+의/JKG
옛	옛/MMA
수도였던	수도/NNG+이/VCP+었/EP+던/ETM
충남	충남/NNP
부여와	부여/NNP+와/JC
공주에서	공주/NNP+에서/JKB
문화왕국	문화/NNG+왕국/NNG
백제가	백제/NNP+가/JKS
화려하게	화려하/VA+게/EC
되살아난다.	되살아나/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.132.3.4
'1400년 전 백제의 부활'을 슬로건으로 9월 18일부터 한달간 열리는 '2010 세계대백제전'을 통해서다.

'1400년	'/SS+1400/SN+년/NNB
전	전/NNG
백제의	백제/NNP+의/JKG
부활'을	부활/NNG+'/SS+을/JKO
슬로건으로	슬로건/NNG+으로/JKB
9월	9/SN+월/NNB
18일부터	18/SN+일/NNB+부터/JX
한달간	한/MMN+달/NNB+간/XSN
열리는	열리/VV+는/ETM
'2010	'/SS+2010/SN
세계대백제전'을	세계/NNG+대/XPN+백제전/NNG+'/SS+을/JKO
통해서다.	통하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000026.132.4.1
세계대백제전은 충남에서 '2010 대충청방문의 해'에 열리는 최대 행사.

세계대백제전은	세계/NNG+대/XPN+백제전/NNG+은/JX
충남에서	충남/NNP+에서/JKB
'2010	'/SS+2010/SN
대충청방문의	대/XPN+충청/NNP+방문/NNG+의/JKG
해'에	해/NNG+'/SS+에/JKB
열리는	열리/VV+는/ETM
최대	최대/NNG
행사.	행사/NNG+./SF


# id : NWRW1800000026.132.4.2
240억원을 들여 22개 대형 프로그램과 도내 16개 시·군이 마련한 70개 등 모두 92개 프로그램이 펼쳐진다.

240억원을	240/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
22개	22/SN+개/NNB
대형	대형/NNG
프로그램과	프로그램/NNG+과/JC
도내	도내/NNG
16개	16/SN+개/NNB
시·군이	시·군/NNG+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
70개	70/SN+개/NNB
등	등/NNB
모두	모두/MAG
92개	92/SN+개/NNB
프로그램이	프로그램/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.132.4.3
내·외국인 등 260만명의 관람객 유치를 목표로 잡은 이번 대백제전은 세계 20여개국이 참여하는 국제행사로 치러진다.

내·외국인	내·외국인/NNG
등	등/NNB
260만명의	260/SN+만/NR+명/NNB+의/JKG
관람객	관람객/NNG
유치를	유치/NNG+를/JKO
목표로	목표/NNG+로/JKB
잡은	잡/VV+은/ETM
이번	이번/NNG
대백제전은	대/XPN+백제전/NNG+은/JX
세계	세계/NNG
