# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.383
metadata : {}


# id : NWRW1800000041.383.1.1
[수도권] ‘국공립 어린이집 1000개 확충’ 첫해부터 삐끗

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
‘국공립	‘/SS+국공립/NNG
어린이집	어린이집/NNG
1000개	1000/SN+개/NNB
확충’	확충/NNG+’/SS
첫해부터	첫해/NNG+부터/JX
삐끗	삐끗/MAG


# id : NWRW1800000041.383.2.1
박원순 시장 핵심공약 ‘空約’ 우려

박원순	박원순/NNP
시장	시장/NNG
핵심공약	핵심/NNG+공약/NNG
‘空約’	‘/SS+空約/SH+’/SS
우려	우려/NNG


# id : NWRW1800000041.383.3.1
“국공립 어린이집 1000곳을 신설하겠다.”

“국공립	“/SS+국공립/NNG
어린이집	어린이집/NNG
1000곳을	1000/SN+곳/NNG+을/JKO
신설하겠다.”	신설/NNG+하/XSV+겠/EP+다/EF+./SF+”/SS


# id : NWRW1800000041.383.4.1
박원순 서울시장(58)이 올해 6·4 지방선거에서 내건 핵심 공약이다.

박원순	박원순/NNP
서울시장(58)이	서울시장/NNG+(/SS+58/SN+)/SS+이/JKS
올해	올해/NNG
6·4	6/SN+·/SP+4/SN
지방선거에서	지방/NNG+선거/NNG+에서/JKB
내건	내걸/VV+ㄴ/ETM
핵심	핵심/NNG
공약이다.	공약/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.383.4.2
그는 당선 직후 서울시 공무원들에게 내려 보낸 시장요청(지시)사항에서 담당 부서에 “국공립 어린이집 1000곳 추가 확충 공약은 반드시 지켜질 수 있도록 집중 추진해 달라”고 강조했다.

그는	그/NP+는/JX
당선	당선/NNG
직후	직후/NNG
서울시	서울시/NNP
공무원들에게	공무원/NNG+들/XSN+에게/JKB
내려	내리/VV+어/EC
보낸	보내/VV+ㄴ/ETM
시장요청(지시)사항에서	시장/NNG+요청/NNG+(/SS+지시/NNG+)/SS+사항/NNG+에서/JKB
담당	담당/NNG
