# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.227
metadata : {}


# id : NWRW1800000046.227.1.1
강정호 5호포, 산뜻한 출발

강정호	강정호/NNP
5호포,	5/SN+호/NNB+포/NNG+,/SP
산뜻한	산뜻/MAG+하/XSA+ㄴ/ETM
출발	출발/NNG


# id : NWRW1800000046.227.2.1
MLB 후반기 첫 경기서 '쾅'… 다음날엔 5경기 연속 안타

MLB	MLB/SL
후반기	후반기/NNG
첫	첫/MMN
경기서	경기/NNG+서/JKB
'쾅'…	'/SS+쾅/MAG+'/SS+…/SE
다음날엔	다음날/NNG+에/JKB+ㄴ/JX
5경기	5/SN+경기/NNG
연속	연속/NNG
안타	안타/NNG


# id : NWRW1800000046.227.3.1
강정호(28·피츠버그 파이리츠)가 2015시즌 메이저리그 후반기를 산뜻하게 출발했다.

강정호(28·피츠버그	강정호/NNP+(/SS+28/SN+·/SP+피츠버그/NNP
파이리츠)가	파이리츠/NNP+)/SS+가/JKS
2015시즌	2015/SN+시즌/NNG
메이저리그	메이저리그/NNG
후반기를	후반기/NNG+를/JKO
산뜻하게	산뜻/MAG+하/XSA+게/EC
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.227.4.1
강정호는 19일(한국 시각) 밀워키 브루어스와 벌인 원정 경기에 5번 타자 겸 3루수로 선발 출전해 2타수 1안타(1볼넷)를 기록했다.

강정호는	강정호/NNP+는/JX
19일(한국	19/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
밀워키	밀워키/NNP
브루어스와	브루어스/NNP+와/JKB
벌인	벌이/VV+ㄴ/ETM
원정	원정/NNG
경기에	경기/NNG+에/JKB
5번	5/SN+번/NNB
타자	타자/NNG
겸	겸/NNB
3루수로	3루수/NNG+로/JKB
선발	선발/NNG
출전해	출전/NNG+하/XSV+아/EC
2타수	2/SN+타수/NNG
1안타(1볼넷)를	1/SN+안타/NNG+(/SS+1/SN+볼넷/NNG+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.227.4.2
그는 2―0으로 앞서던 1회초 무사 1·2루에서 유격수 오른쪽 깊숙한 방향으로 땅볼을 쳤다.

그는	그/NP+는/JX
2―0으로	2/SN+―/SS+0/SN+으로/JKB
앞서던	앞서/VV+던/ETM
1회초	1/SN+회/NNB+초/NNB
무사	무사/NNG
1·2루에서	1/SN+·/SP+2루/NNG+에서/JKB
유격수	유격수/NNG
오른쪽	오른쪽/NNG
깊숙한	깊숙하/VA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
땅볼을	땅볼/NNG+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.227.4.3
상대 유격수가 1루에서 2루로 뛰던 주자를 잡으려고 2루에 송구했는데, 공이 뒤로 빠졌다.

상대	상대/NNG
유격수가	유격수/NNG+가/JKS
1루에서	1루/NNG+에서/JKB
2루로	2루/NNG+로/JKB
뛰던	뛰/VV+던/ETM
주자를	주자/NNG+를/JKO
잡으려고	잡/VV+으려고/EC
2루에	2루/NNG+에/JKB
송구했는데,	송구/NNG+하/XSV+았/EP+는데/EC+,/SP
공이	공/NNG+이/JKS
뒤로	뒤/NNG+로/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.227.4.4
강정호의 타구는 내야 안타로 인정됐다.

강정호의	강정호/NNP+의/JKG
타구는	타구/NNG+는/JX
내야	내야/NNG
안타로	안타/NNG+로/JKB
인정됐다.	인정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.227.4.5
파이리츠는 이 상황에서 1점을 추가했다.

파이리츠는	파이리츠/NNP+는/JX
이	이/MMD
상황에서	상황/NNG+에서/JKB
1점을	1/SN+점/NNB+을/JKO
추가했다.	추가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.227.4.6
강정호는 3회 볼넷을 골랐고, 5회 삼진으로 물러나면서 교체됐다.

강정호는	강정호/NNP+는/JX
3회	3/SN+회/NNB
볼넷을	볼넷/NNG+을/JKO
골랐고,	고르/VV+았/EP+고/EC+,/SP
5회	5/SN+회/NNB
삼진으로	삼진/NNG+으로/JKB
물러나면서	물러나/VV+면서/EC
교체됐다.	교체/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.227.5.1
그는 올스타 휴식기를 마치고 치른 첫 경기였던 전날 브루어스전에선 1점짜리 홈런(시즌 5호)을 터뜨렸다.

그는	그/NP+는/JX
올스타	올스타/NNG
휴식기를	휴식기/NNG+를/JKO
마치고	마치/VV+고/EC
치른	치르/VV+ㄴ/ETM
첫	첫/MMN
경기였던	경기/NNG+이/VCP+었/EP+던/ETM
전날	전날/NNG
브루어스전에선	브루어스전/NNG+에서/JKB+ㄴ/JX
1점짜리	1/SN+점/NNB+짜리/XSN
홈런(시즌	홈런/NNG+(/SS+시즌/NNG
5호)을	5/SN+호/NNB+)/SS+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.227.5.2
브루어스의 선발투수 마이크 파이어스가 던진 시속 143㎞짜리 직구를 받아쳐 좌중간 담장을 넘겼다.

브루어스의	브루어스/NNP+의/JKG
선발투수	선발/NNG+투수/NNG
마이크	마이크/NNG
파이어스가	파이어스/NNP+가/JKS
던진	던지/VV+ㄴ/ETM
시속	시속/NNG
143㎞짜리	143/SN+㎞/SW+짜리/XSN
직구를	직구/NNG+를/JKO
받아쳐	받아치/VV+어/EC
좌중간	좌중간/NNG
담장을	담장/NNG+을/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.227.5.3
비거리는 119m.

비거리는	비거리/NNG+는/JX
119m.	119/SN+m/SW+./SF


# id : NWRW1800000046.227.5.4
지난달 18일 시카고 화이트삭스전의 홈런 이후 한 달 만에 쏜 대포였다.

지난달	지난달/NNG
18일	18/SN+일/NNB
시카고	시카고/NNP
화이트삭스전의	화이트삭스전/NNG+의/JKG
홈런	홈런/NNG
이후	이후/NNG
한	한/MMN
달	달/NNB
만에	만/NNB+에/JKB
쏜	쏘/VV+ㄴ/ETM
대포였다.	대포/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.227.5.5
강정호는 지난달부터 타율을 조금씩 까먹었다.

강정호는	강정호/NNP+는/JX
지난달부터	지난달/NNG+부터/JX
타율을	타율/NNG+을/JKO
조금씩	조금/NNG+씩/XSN
까먹었다.	까먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.227.5.6
5월 한때 3할3푼까지 올라갔던 타율이 한 달 만에 2할6푼대로 밀렸고, 이달 초엔 2할5푼대까지 내려갔다.

5월	5/SN+월/NNB
한때	한때/MAG
3할3푼까지	3/SN+할/NNB+3/SN+푼/NNB+까지/JX
올라갔던	올라가/VV+았/EP+던/ETM
타율이	타율/NNG+이/JKS
한	한/MMN
달	달/NNB
만에	만/NNB+에/JKB
2할6푼대로	2/SN+할/NNB+6/SN+푼/NNB+대/XSN+로/JKB
밀렸고,	밀리/VV+었/EP+고/EC+,/SP
이달	이달/NNG
초엔	초/NNB+에/JKB+ㄴ/JX
2할5푼대까지	2/SN+할/NNB+5/SN+푼/NNB+대/XSN+까지/JX
내려갔다.	내려가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.227.5.7
하지만 올스타전 휴식기를 전후해 5경기 연속 안타(17타수 7안타·타율 0.411)로 활약하며 타율을 0.271까지 다시 끌어올렸다.

하지만	하지만/MAJ
올스타전	올스타전/NNG
휴식기를	휴식기/NNG+를/JKO
전후해	전후/NNG+하/XSV+아/EC
5경기	5/SN+경기/NNG
연속	연속/NNG
안타(17타수	안타/NNG+(/SS+17/SN+타수/NNG
7안타·타율	7/SN+안타/NNG+·/SP+타율/NNG
0.411)로	0/SN+./SP+411/SN+)/SS+로/JKB
활약하며	활약/NNG+하/XSV+며/EC
타율을	타율/NNG+을/JKO
0.271까지	0/SN+./SP+271/SN+까지/JX
다시	다시/MAG
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.227.5.8
파이리츠는 18, 19일 브루어스에 2연패를 당했다.

파이리츠는	파이리츠/NNP+는/JX
18,	18/SN+,/SP
19일	19/SN+일/NNB
브루어스에	브루어스/NNP+에/JKB
2연패를	2/SN+연패/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.227.6.1
텍사스 레인저스의 추신수(33)는 후반기 들어 첫 출전이었던 19일 휴스턴 애스트로스 원정 경기에 8번 타자 겸 우익수로 나서 2타수2안타(1타점)를 쳤다.

텍사스	텍사스/NNP
레인저스의	레인저스/NNP+의/JKG
추신수(33)는	추신수/NNP+(/SS+33/SN+)/SS+는/JX
후반기	후반기/NNG
들어	들/VV+어/EC
첫	첫/MMN
출전이었던	출전/NNG+이/VCP+었/EP+던/ETM
19일	19/SN+일/NNB
휴스턴	휴스턴/NNP
애스트로스	애스트로스/NNP
원정	원정/NNG
경기에	경기/NNG+에/JKB
8번	8/SN+번/NNB
타자	타자/NNG
겸	겸/NNB
우익수로	우익수/NNG+로/JKB
나서	나서/VV+어/EC
2타수2안타(1타점)를	2/SN+타수/NNG+2/SN+안타/NNG+(/SS+1/SN+타점/NNG+)/SS+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.227.6.2
4회 두 번째 타석에선 번트안타로 출루한 다음 시즌 첫 도루에 성공했다.

4회	4/SN+회/NNB
두	두/MMN
번째	번/NNB+째/XSN
타석에선	타석/NNG+에서/JKB+ㄴ/JX
번트안타로	번트/NNG+안타/NNG+로/JKB
출루한	출루/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
시즌	시즌/NNG
첫	첫/MMN
도루에	도루/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.227.6.3
0.221이었던 타율은 0.227로 올라갔다.

0.221이었던	0/SN+./SP+221/SN+이/VCP+었/EP+던/ETM
타율은	타율/NNG+은/JX
0.227로	0/SN+./SP+227/SN+로/JKB
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.227.6.4
레인저스는 7대6으로 이겼다.

레인저스는	레인저스/NNP+는/JX
7대6으로	7/SN+대/NNB+6/SN+으로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


