# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.313
metadata : {}


# id : NWRW1800000034.313.1.1
'박희태의 20년 집사' 조정만 사흘째 잠적

'박희태의	'/SS+박희태/NNP+의/JKG
20년	20/SN+년/NNB
집사'	집사/NNG+'/SS
조정만	조정만/NNP
사흘째	사흘/NNG+째/XSN
잠적	잠적/NNG


# id : NWRW1800000034.313.2.1
朴의장의 同鄕으로 정책수석… 全大·보궐선거 때 자금 관리

朴의장의	朴/SH+의장/NNG+의/JKG
同鄕으로	同鄕/SH+으로/JKB
정책수석…	정책/NNG+수석/NNG+…/SE
全大·보궐선거	全大/SH+·/SP+보궐/NNG+선거/NNG
때	때/NNG
자금	자금/NNG
관리	관리/NNG


# id : NWRW1800000034.313.3.1
2008년 한나라당 7·3 전당대회 때 박희태 후보(현 국회의장) 캠프의 재정을 담당했던 조정만(51·사진) 국회의장 정책수석(1급)은 13일에도 국회 사무실에 나오지 않았다.

2008년	2008/SN+년/NNB
한나라당	한나라당/NNP
7·3	7/SN+·/SP+3/SN
전당대회	전당/NNG+대회/NNG
때	때/NNG
박희태	박희태/NNP
후보(현	후보/NNG+(/SS+현/MMD
국회의장)	국회/NNG+의장/NNG+)/SS
캠프의	캠프/NNG+의/JKG
재정을	재정/NNG+을/JKO
담당했던	담당/NNG+하/XSV+았/EP+던/ETM
조정만(51·사진)	조정만/NNP+(/SS+51/SN+·/SP+사진/NNG+)/SS
국회의장	국회/NNG+의장/NNG
정책수석(1급)은	정책/NNG+수석/NNG+(/SS+1/SN+급/NNG+)/SS+은/JX
13일에도	13/SN+일/NNB+에/JKB+도/JX
국회	국회/NNG
사무실에	사무실/NNG+에/JKB
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.313.3.2
언론의 전화도 받지 않았다.

언론의	언론/NNG+의/JKG
전화도	전화/NNG+도/JX
받지	받/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.313.3.3
검찰이 박 의장의 전(前) 비서 고명진씨의 자택에 대한 압수수색에 들어간 지난 11일 이후 사흘째 종적을 감춘 것이다.

검찰이	검찰/NNG+이/JKS
박	박/NNP
