# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.377
metadata : {}


# id : NWRW1800000046.377.1.1
은퇴 1년 손학규 "나는 初心 그대로"

은퇴	은퇴/NNG
1년	1/SN+년/NNB
손학규	손학규/NNP
"나는	"/SS+나/NP+는/JX
初心	初心/SH
그대로"	그대로/MAG+"/SS


# id : NWRW1800000046.377.2.1
전남 강진 흙집서 생활… 일부선 '정계 복귀' 기대도

전남	전남/NNP
강진	강진/NNP
흙집서	흙집/NNG+서/JKB
생활…	생활/NNG+…/SE
일부선	일부/NNG+서/JKB+ㄴ/JX
'정계	'/SS+정계/NNG
복귀'	복귀/NNG+'/SS
기대도	기대/NNG+도/JX


# id : NWRW1800000046.377.3.1
새정치민주연합 손학규〈사진〉 전 대표가 31일로 정계를 은퇴한 지 1년이 됐다.

새정치민주연합	새정치민주연합/NNP
손학규〈사진〉	손학규/NNP+〈/SS+사진/NNG+〉/SS
전	전/MMD
대표가	대표/NNG+가/JKS
31일로	31/SN+일/NNB+로/JKB
정계를	정계/NNG+를/JKO
은퇴한	은퇴/NNG+하/XSV+ㄴ/ETM
지	지/NNB
1년이	1/SN+년/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.377.3.2
손 전 대표는 거취에 대해 측근인 송태호 동아시아미래재단 이사장에게 "나는 초심(初心) 그대로"라고 말한 것으로 알려졌다.

손	손/NNP
전	전/MMD
대표는	대표/NNG+는/JX
거취에	거취/NNG+에/JKB
대해	대하/VV+아/EC
측근인	측근/NNG+이/VCP+ㄴ/ETM
송태호	송태호/NNP
동아시아미래재단	동아시아미래재단/NNP
이사장에게	이사장/NNG+에게/JKB
"나는	"/SS+나/NP+는/JX
초심(初心)	초심/NNG+(/SS+初心/SH+)/SS
그대로"라고	그대로/MAG+"/SS+라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.377.3.3
