# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.340
metadata : {}


# id : NWRW1800000046.340.1.1
朴 대통령·새누리당 지지율 '成 리스트' 파문後 동반하락

朴	朴/SH
대통령·새누리당	대통령/NNG+·/SP+새누리당/NNP
지지율	지지/NNG+율/XSN
'成	'/SS+成/SH
리스트'	리스트/NNG+'/SS
파문後	파문/NNG+後/SH
동반하락	동반/NNG+하락/NNG


# id : NWRW1800000046.340.2.1
리얼미터 여론조사… 朴대통령 39.7% 與 33.8% "재·보선 2주 앞 票心 요동"

리얼미터	리얼미터/NNP
여론조사…	여론/NNG+조사/NNG+…/SE
朴대통령	朴/SH+대통령/NNG
39.7%	39/SN+./SP+7/SN+%/SW
與	與/SH
33.8%	33/SN+./SP+8/SN+%/SW
"재·보선	"/SS+재·보선/NNG
2주	2/SN+주/NNB
앞	앞/NNG
票心	票心/SH
요동"	요동/NNG+"/SS


# id : NWRW1800000046.340.3.1
'성완종 리스트' 파문으로 박근혜 대통령과 새누리당의 지지율이 동반 하락한 것으로 나타났다.

'성완종	'/SS+성완종/NNP
리스트'	리스트/NNG+'/SS
파문으로	파문/NNG+으로/JKB
박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JC
새누리당의	새누리당/NNP+의/JKG
지지율이	지지/NNG+율/XSN+이/JKS
동반	동반/NNG
하락한	하락/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.340.3.2
리얼미터가 지난 6~10일 전국 성인 2500명을 대상으로 실시해 13일 발표한 여론조사에 따르면 새누리당 지지율은 1주일 전 조사에 비해 3.4%포인트 하락한 33.8%였다.

리얼미터가	리얼미터/NNP+가/JKS
지난	지나/VV+ㄴ/ETM
6~10일	6/SN+~/SO+10/SN+일/NNB
전국	전국/NNG
성인	성인/NNG
2500명을	2500/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시해	실시/NNG+하/XSV+아/EC
13일	13/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
여론조사에	여론/NNG+조사/NNG+에/JKB
따르면	따르/VV+면/EC
새누리당	새누리당/NNP
지지율은	지지/NNG+율/XSN+은/JX
1주일	1/SN+주일/NNB
전	전/NNG
조사에	조사/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
3.4%포인트	3/SN+./SP+4/SN+%포인트/NNG
하락한	하락/NNG+하/XSV+ㄴ/ETM
33.8%였다.	33/SN+./SP+8/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.340.3.3
반면 새정치연합 지지율은 29.6%로 1.8%포인트 상승했다.

반면	반면/NNG
새정치연합	새정치연합/NNP
지지율은	지지/NNG+율/XSN+은/JX
29.6%로	29/SN+./SP+6/SN+%/SW+로/JKB
1.8%포인트	1/SN+./SP+8/SN+%포인트/NNG
