# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.385
metadata : {}


# id : NWRW1800000056.385.1.1
“기자는 기사대로 사나” 홍종학 감싸는 청와대의 ‘언론 탓’

“기자는	“/SS+기자/NNG+는/JX
기사대로	기사/NNG+대로/JX
사나”	살/VV+나/EF+”/SS
홍종학	홍종학/NNP
감싸는	감싸/VV+는/ETM
청와대의	청와대/NNP+의/JKG
‘언론	‘/SS+언론/NNG
탓’	탓/NNG+’/SS


# id : NWRW1800000056.385.2.1
“장모가 딸에 하는 증여는 합법적 절세”

“장모가	“/SS+장모/NNG+가/JKS
딸에	딸/NNG+에/JKB
하는	하/VV+는/ETM
증여는	증여/NNG+는/JX
합법적	합법/NNG+적/XSN
절세”	절세/NNG+”/SS


# id : NWRW1800000056.385.3.1
도덕성 논란 보도하는 언론에 불만

도덕성	도덕/NNG+성/XSN
논란	논란/NNG
보도하는	보도/NNG+하/XSV+는/ETM
언론에	언론/NNG+에/JKB
불만	불만/NNG


# id : NWRW1800000056.385.4.1
청와대가 31일 아내와 미성년 딸의 ‘지분 쪼개기 격세 증여’, ‘모녀 계약서’ 등으로 도덕성 논란에 휩싸인 홍종학 중소벤처기업부 장관 후보자에 대해 “(언론이) 자꾸 도덕적으로 보도하는 것이 이해되지 않는다”며 언론에 화살을 돌렸다.

청와대가	청와대/NNP+가/JKS
31일	31/SN+일/NNB
아내와	아내/NNG+와/JC
미성년	미/XPN+성년/NNG
딸의	딸/NNG+의/JKG
‘지분	‘/SS+지분/NNG
쪼개기	쪼개/VV+기/ETN
격세	격세/NNG
증여’,	증여/NNG+’/SS+,/SP
‘모녀	‘/SS+모녀/NNG
계약서’	계약서/NNG+’/SS
등으로	등/NNB+으로/JKB
도덕성	도덕/NNG+성/XSN
논란에	논란/NNG+에/JKB
휩싸인	휩싸이/VV+ㄴ/ETM
홍종학	홍종학/NNP
중소벤처기업부	중소/NNG+벤처/NNG+기업부/NNG
장관	장관/NNG
후보자에	후보자/NNG+에/JKB
대해	대하/VV+아/EC
“(언론이)	“/SS+(/SS+언론/NNG+이/JKS+)/SS
자꾸	자꾸/MAG
도덕적으로	도덕/NNG+적/XSN+으로/JKB
보도하는	보도/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
이해되지	이해/NNG+되/XSV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
언론에	언론/NNG+에/JKB
화살을	화살/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.385.5.1
청와대 고위 관계자는 이날 춘추관에서 기자들과 만나 홍 후보자 딸의 ‘격세 증여’(조부모가 손주에게 바로 증여하는 것) 문제에 관해 “증여세를 다 냈고, 국세청 홈페이지에도 그 방법이 가장 합법적인 절세 방안이라고 소개하고 있다”며 “불법이냐 아니냐 하는 문제에서는 벗어나 있다”고 말했다.

청와대	청와대/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
이날	이날/NNG
춘추관에서	춘추관/NNP+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
홍	홍/NNP
후보자	후보자/NNG
딸의	딸/NNG+의/JKG
‘격세	‘/SS+격세/NNG
증여’(조부모가	증여/NNG+’/SS+(/SS+조부모/NNG+가/JKS
손주에게	손주/NNG+에게/JKB
바로	바로/MAG
증여하는	증여/NNG+하/XSV+는/ETM
것)	것/NNB+)/SS
문제에	문제/NNG+에/JKB
관해	관하/VV+아/EC
“증여세를	“/SS+증여세/NNG+를/JKO
다	다/MAG
냈고,	내/VV+었/EP+고/EC+,/SP
국세청	국세청/NNG
홈페이지에도	홈페이지/NNG+에/JKB+도/JX
그	그/MMD
방법이	방법/NNG+이/JKS
가장	가장/MAG
