# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.294
metadata : {}


# id : NWRW1800000040.294.1.1
놓치면 후회할 빅 매치

놓치면	놓치/VV+면/EC
후회할	후회/NNG+하/XSV+ㄹ/ETM
빅	빅/NNG
매치	매치/NNG


# id : NWRW1800000040.294.2.1
7일 밤 프랑스오픈 준결승 격돌

7일	7/SN+일/NNB
밤	밤/NNG
프랑스오픈	프랑스/NNP+오픈/NNG
준결승	준/XPN+결승/NNG
격돌	격돌/NNG


# id : NWRW1800000040.294.3.1
프랑스오픈 때문에 ‘커리어 그랜드슬램’을 달성하지 못하고 있는 노박 조코비치(26·세르비아).

프랑스오픈	프랑스/NNP+오픈/NNG
때문에	때문/NNB+에/JKB
‘커리어	‘/SS+커리어/NNG
그랜드슬램’을	그랜드슬램/NNG+’/SS+을/JKO
달성하지	달성/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
노박	노박/NNP
조코비치(26·세르비아).	조코비치/NNP+(/SS+26/SN+·/SP+세르비아/NNP+)/SS+./SF


# id : NWRW1800000040.294.3.2
이번에야말로 프랑스오픈에서 우승해 남자단식 역사상 8번째 그랜드슬래머가 되겠다고 벼르고 있지만, 4강 길목에서 ‘프랑스오픈의 사나이’ 라파엘 나달(27·스페인)을 다시 만나게 됐다.

이번에야말로	이번/NNG+에/JKB+야말로/JX
프랑스오픈에서	프랑스/NNP+오픈/NNG+에서/JKB
우승해	우승/NNG+하/XSV+아/EC
남자단식	남자/NNG+단식/NNG
역사상	역사/NNG+상/XSN
8번째	8/SN+번/NNB+째/XSN
그랜드슬래머가	그랜드슬래머/NNG+가/JKC
되겠다고	되/VV+겠/EP+다고/EC
벼르고	벼르/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
4강	4/SN+강/NNB
길목에서	길목/NNG+에서/JKB
‘프랑스오픈의	‘/SS+프랑스/NNP+오픈/NNG+의/JKG
사나이’	사나이/NNG+’/SS
라파엘	라파엘/NNP
나달(27·스페인)을	나달/NNP+(/SS+27/SN+·/SP+스페인/NNP+)/SS+을/JKO
다시	다시/MAG
만나게	만나/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.294.4.1
역대 상대전적에서는 19승15패로 나달의 우세.

역대	역대/NNG
상대전적에서는	상대/NNG+전적/NNG+에서/JKB+는/JX
19승15패로	19/SN+승/NNB+15/SN+패/NNB+로/JKB
나달의	나달/NNP+의/JKG
우세.	우세/NNG+./SF


# id : NWRW1800000040.294.4.2
그러나 조코비치는 올해 4월 모나코에서 열린 ‘몬테카를로 롤렉스 마스터스’ 결승에서는 나달을 2-0으로 물리치고 우승한 바 있다.

그러나	그러나/MAJ
조코비치는	조코비치/NNP+는/JX
올해	올해/NNG
4월	4/SN+월/NNB
모나코에서	모나코/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘몬테카를로	‘/SS+몬테카를로/NNP
롤렉스	롤렉스/NNP
마스터스’	마스터스/NNG+’/SS
결승에서는	결승/NNG+에서/JKB+는/JX
나달을	나달/NNP+을/JKO
2-0으로	2/SN+-/SO+0/SN+으로/JKB
물리치고	물리치/VV+고/EC
우승한	우승/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.294.4.3
나달이 강한 면모를 보인 클레이코트 대회였다.

나달이	나달/NNP+이/JKS
강한	강하/VA+ㄴ/ETM
면모를	면모/NNG+를/JKO
보인	보이/VV+ㄴ/ETM
클레이코트	클레이코트/NNG
대회였다.	대회/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.294.4.4
지난해 프랑스오픈에서는 나달이 결승전에서 조코비치를 누르고 우승했다.

지난해	지난해/NNG
프랑스오픈에서는	프랑스/NNP+오픈/NNG+에서/JKB+는/JX
나달이	나달/NNP+이/JKS
결승전에서	결승전/NNG+에서/JKB
조코비치를	조코비치/NNP+를/JKO
누르고	누르/VV+고/EC
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.294.4.5
이번에 과연 누가 이길까?

이번에	이번/NNG+에/JKB
과연	과연/MAG
누가	누구/NP+가/JKS
이길까?	이기/VV+ㄹ까/EF+?/SF


# id : NWRW1800000040.294.4.6
남자프로테니스(ATP) 투어 누리집은 “세계랭킹 1위 조코비치와 지난해 결승전에서 그를 꺾은 디펜딩 챔피언 나달이 만나 ‘블록버스터’(초대형 폭탄) 준결승을 치른다”며 명승부를 예고했다.

남자프로테니스(ATP)	남자/NNG+프로/NNG+테니스/NNG+(/SS+ATP/SL+)/SS
투어	투어/NNG
누리집은	누리집/NNG+은/JX
“세계랭킹	“/SS+세계/NNG+랭킹/NNG
1위	1/SN+위/NNB
조코비치와	조코비치/NNP+와/JC
지난해	지난해/NNG
결승전에서	결승전/NNG+에서/JKB
그를	그/NP+를/JKO
꺾은	꺾/VV+은/ETM
디펜딩	디펜딩/NNG
챔피언	챔피언/NNG
나달이	나달/NNP+이/JKS
만나	만나/VV+아/EC
‘블록버스터’(초대형	‘/SS+블록버스터/NNG+’/SS+(/SS+초/XPN+대형/NNG
폭탄)	폭탄/NNG+)/SS
준결승을	준/XPN+결승/NNG+을/JKO
치른다”며	치르/VV+ㄴ다/EF+”/SS+며/EC
명승부를	명승부/NNG+를/JKO
예고했다.	예고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.294.5.1
세계랭킹 1위인 조코비치는 5일(현지시각) 파리 롤랑가로스에서 열린 2013 프랑스오픈테니스 남자단식 8강전에서 토미 하스(14위·독일)를 3-0(6:3/7:6<5>/7:5)으로 제압하고 4강에 올랐다.

세계랭킹	세계/NNG+랭킹/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
조코비치는	조코비치/NNP+는/JX
5일(현지시각)	5/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
파리	파리/NNP
롤랑가로스에서	롤랑가로스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2013	2013/SN
프랑스오픈테니스	프랑스/NNP+오픈/NNG+테니스/NNG
남자단식	남자/NNG+단식/NNG
8강전에서	8/SN+강전/NNB+에서/JKB
토미	토미/NNP
하스(14위·독일)를	하스/NNP+(/SS+14/SN+위/NNB+·/SP+독일/NNP+)/SS+를/JKO
3-0(6:3/7:6<5>/7:5)으로	3/SN+-/SO+0/SN+(/SS+6/SN+:/SP+3/SN+//SP+7/SN+:/SP+6/SN+</SS+5/SN+>/SS+//SP+7/SN+:/SP+5/SN+)/SS+으로/JKB
제압하고	제압/NNG+하/XSV+고/EC
4강에	4/SN+강/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.294.5.2
3위 나달은 스타니슬라스 바브링카(10위·스위스)를 3-0(6:2/6:3/6:1)으로 격파했다.

3위	3/SN+위/NNB
나달은	나달/NNP+은/JX
스타니슬라스	스타니슬라스/NNP
바브링카(10위·스위스)를	바브링카/NNP+(/SS+10/SN+위/NNB+·/SP+스위스/NNP+)/SS+를/JKO
3-0(6:2/6:3/6:1)으로	3/SN+-/SO+0/SN+(/SS+6/SN+:/SP+2/SN+//SP+6/SN+:/SP+3/SN+//SP+6/SN+:/SP+1/SN+)/SS+으로/JKB
격파했다.	격파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.294.5.3
이로써 남자단식 4강전에서는 조코비치-나달, 다비드 페레르(5위·스페인)-조윌프리드 총가(8위·프랑스)가 맞붙게 됐다.

이로써	이/NP+로써/JKB
남자단식	남자/NNG+단식/NNG
4강전에서는	4/SN+강전/NNB+에서/JKB+는/JX
조코비치-나달,	조코비치/NNP+-/SO+나달/NNP+,/SP
다비드	다비드/NNP
페레르(5위·스페인)-조윌프리드	페레르/NNP+(/SS+5/SN+위/NNB+·/SP+스페인/NNP+)/SS+-/SO+조윌프리드/NNP
총가(8위·프랑스)가	총가/NNP+(/SS+8/SN+위/NNB+·/SP+프랑스/NNP+)/SS+가/JKS
맞붙게	맞붙/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.294.5.4
4강전은 7일 밤 11시30분 <에스비에스-이에스피엔>(SBS-ESPN)을 통해 볼 수 있다.

4강전은	4/SN+강전/NNB+은/JX
7일	7/SN+일/NNB
밤	밤/NNG
11시30분	11/SN+시/NNB+30/SN+분/NNB
<에스비에스-이에스피엔>(SBS-ESPN)을	</SS+에스비에스/NNP+-/SO+이에스피엔/NNP+>/SS+(/SS+SBS/SL+-/SO+ESPN/SL+)/SS+을/JKO
통해	통하/VV+아/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.294.6.1
조코비치는 시즌 첫 그랜드슬램대회인 호주오픈에서 우승하는 등 절정의 기량을 뽐내고 있다.

조코비치는	조코비치/NNP+는/JX
시즌	시즌/NNG
첫	첫/MMN
그랜드슬램대회인	그랜드슬램/NNG+대회/NNG+이/VCP+ㄴ/ETM
호주오픈에서	호주/NNP+오픈/NNG+에서/JKB
우승하는	우승/NNG+하/XSV+는/ETM
등	등/NNB
절정의	절정/NNG+의/JKG
기량을	기량/NNG+을/JKO
뽐내고	뽐내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.294.6.2
4대 그랜드슬램 대회 중 호주오픈, 유에스(US)오픈, 윔블던을 정복했다.

4대	4/SN+대/NNG
그랜드슬램	그랜드슬램/NNG
대회	대회/NNG
중	중/NNB
호주오픈,	호주/NNP+오픈/NNG+,/SP
유에스(US)오픈,	유에스/NNP+(/SS+US/SL+)/SS+오픈/NNG+,/SP
윔블던을	윔블던/NNP+을/JKO
정복했다.	정복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.294.6.3
프랑스오픈에선 2010년 8강, 2011년 4강, 지난해 2위 등으로 성적이 향상돼 순서대로라면 올해 우승할 차례다.

프랑스오픈에선	프랑스/NNP+오픈/NNG+에서/JKB+ㄴ/JX
2010년	2010/SN+년/NNB
8강,	8/SN+강/NNB+,/SP
2011년	2011/SN+년/NNB
4강,	4/SN+강/NNB+,/SP
지난해	지난해/NNG
2위	2/SN+위/NNB
등으로	등/NNB+으로/JKB
성적이	성적/NNG+이/JKS
향상돼	향상/NNG+되/XSV+어/EC
순서대로라면	순서/NNG+대로/JX+이/VCP+라면/EC
올해	올해/NNG
우승할	우승/NNG+하/XSV+ㄹ/ETM
차례다.	차례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.294.7.1
나달은 프랑스오픈에서만 7차례 우승한 ‘클레이코트의 황제’다.

나달은	나달/NNP+은/JX
프랑스오픈에서만	프랑스/NNP+오픈/NNG+에서/JKB+만/JX
7차례	7/SN+차례/NNG
우승한	우승/NNG+하/XSV+ㄴ/ETM
‘클레이코트의	‘/SS+클레이코트/NNG+의/JKG
황제’다.	황제/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000040.294.7.2
왼쪽 무릎 부상으로 지난해 6월부터 올해 1월까지 결장하는 바람에 세계랭킹이 한때 4위로 밀렸지만 최근 완전히 살아났다.

왼쪽	왼쪽/NNG
무릎	무릎/NNG
부상으로	부상/NNG+으로/JKB
지난해	지난해/NNG
6월부터	6/SN+월/NNB+부터/JX
올해	올해/NNG
1월까지	1/SN+월/NNB+까지/JX
결장하는	결장/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
세계랭킹이	세계/NNG+랭킹/NNG+이/JKS
한때	한때/MAG
4위로	4/SN+위/NNB+로/JKB
밀렸지만	밀리/VV+었/EP+지만/EC
최근	최근/MAG
완전히	완전히/MAG
살아났다.	살아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.294.7.3
프랑스오픈에서는 통산 전적 57승1패를 기록했다.

프랑스오픈에서는	프랑스/NNP+오픈/NNG+에서/JKB+는/JX
통산	통산/NNG
전적	전적/NNG
57승1패를	57/SN+승/NNB+1/SN+패/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.294.7.4
8차례 출전해 7번이나 우승했다.

8차례	8/SN+차례/NNG
출전해	출전/NNG+하/XSV+아/EC
7번이나	7/SN+번/NNB+이나/JX
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.294.7.5
2009년 대회에서만 16강전에서 로빈 쇠델링(스웨덴)에게 일격을 당했다.

2009년	2009/SN+년/NNB
대회에서만	대회/NNG+에서/JKB+만/JX
16강전에서	16/SN+강전/NNB+에서/JKB
로빈	로빈/NNP
쇠델링(스웨덴)에게	쇠델링/NNP+(/SS+스웨덴/NNP+)/SS+에게/JKB
일격을	일격/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


