# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.134
metadata : {}


# id : NWRW1800000032.134.1.1
주춤대는 중국 경제…3분기 성장률 9.1%

주춤대는	주춤대/VV+는/ETM
중국	중국/NNP
경제…3분기	경제/NNG+…/SE+3/SN+분기/NNG
성장률	성장/NNG+률/XSN
9.1%	9/SN+./SP+1/SN+%/SW


# id : NWRW1800000032.134.2.1
“연착륙 상황이지만 비관적”…상하이 증시 2.3%↓

“연착륙	“/SS+연착륙/NNG
상황이지만	상황/NNG+이/VCP+지만/EC
비관적”…상하이	비관/NNG+적/XSN+”/SS+…/SE+상하이/NNP
증시	증시/NNG
2.3%↓	2/SN+./SP+3/SN+%/SW+↓/SW


# id : NWRW1800000032.134.3.1
수출 급감…인플레·부동산 거품에 재정지출 힘들어

수출	수출/NNG
급감…인플레·부동산	급감/NNG+…/SE+인플레/NNG+·/SP+부동산/NNG
거품에	거품/NNG+에/JKB
재정지출	재정/NNG+지출/NNG
힘들어	힘들/VA+어/EF


# id : NWRW1800000032.134.4.1
중국의 3분기 국내총생산(GDP)이 지난해 같은 기간에 비해 9.1% 성장했다.

중국의	중국/NNP+의/JKG
3분기	3/SN+분기/NNG
국내총생산(GDP)이	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+이/JKS
지난해	지난해/NNG
같은	같/VA+은/ETM
기간에	기간/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
9.1%	9/SN+./SP+1/SN+%/SW
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.134.5.1
중국 국가통계국이 18일 발표한 3분기 성장률 9.1%는 1분기 9.7%, 2분기 9.5%에 이어 둔화되고 있는 중국 경제의 현재를 드러냈다.

중국	중국/NNP
국가통계국이	국가/NNG+통계국/NNG+이/JKS
18일	18/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
3분기	3/SN+분기/NNG
성장률	성장/NNG+률/XSN
9.1%는	9/SN+./SP+1/SN+%/SW+는/JX
1분기	1/SN+분기/NNG
9.7%,	9/SN+./SP+7/SN+%/SW+,/SP
2분기	2/SN+분기/NNG
9.5%에	9/SN+./SP+5/SN+%/SW+에/JKB
이어	잇/VV+어/EC
둔화되고	둔화/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
경제의	경제/NNG+의/JKG
현재를	현재/NNG+를/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.134.5.2
9월 산업생산 증가율은 13.8%로 8월의 13.5%에 비해 소폭 늘었고, 1~9월 고정자산투자 증가율은 24.9%로 1~8월 25%에 비해 약간만 감소했다.

9월	9/SN+월/NNB
산업생산	산업/NNG+생산/NNG
증가율은	증가/NNG+율/XSN+은/JX
13.8%로	13/SN+./SP+8/SN+%/SW+로/JKB
8월의	8/SN+월/NNB+의/JKG
13.5%에	13/SN+./SP+5/SN+%/SW+에/JKB
비해	비/NNG+하/XSV+아/EC
소폭	소폭/NNG
늘었고,	늘/VV+었/EP+고/EC+,/SP
1~9월	1/SN+~/SO+9/SN+월/NNB
고정자산투자	고정/NNG+자산/NNG+투자/NNG
24.9%로	24/SN+./SP+9/SN+%/SW+로/JKB
1~8월	1/SN+~/SO+8/SN+월/NNB
25%에	25/SN+%/SW+에/JKB
약간만	약간/NNG+만/JX
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.134.5.3
1~9월 중국 국내총생산은 지난해 동기 대비 9.4% 성장했다.

1~9월	1/SN+~/SO+9/SN+월/NNB
중국	중국/NNP
국내총생산은	국내/NNG+총생산/NNG+은/JX
지난해	지난해/NNG
동기	동기/NNG
대비	대비/NNG
9.4%	9/SN+./SP+4/SN+%/SW
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.134.6.1
전세계가 ‘버팀목’으로 중국 경제를 주목하는 가운데, 이번 통계는 중국 경제가 아직까지는 연착륙하고 있음을 보여준 신호로 해석된다.

전세계가	전/MMN+세계/NNG+가/JKS
‘버팀목’으로	‘/SS+버팀목/NNG+’/SS+으로/JKB
중국	중국/NNP
경제를	경제/NNG+를/JKO
주목하는	주목/NNG+하/XSV+는/ETM
가운데,	가운데/NNG+,/SP
이번	이번/NNG
통계는	통계/NNG+는/JX
경제가	경제/NNG+가/JKS
아직까지는	아직/MAG+까지/JX+는/JX
연착륙하고	연착륙/NNG+하/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
신호로	신호/NNG+로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.134.6.2
하지만 이후에 대해서는 비관적 전망이 무성하다.

하지만	하지만/MAJ
이후에	이후/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
비관적	비관/NNG+적/XSN
전망이	전망/NNG+이/JKS
무성하다.	무성하/VA+다/EF+./SF


# id : NWRW1800000032.134.6.3
18일 상하이 증시도 실망감으로 약 2.3% 하락했다.

18일	18/SN+일/NNB
상하이	상하이/NNP
증시도	증시/NNG+도/JX
실망감으로	실망감/NNG+으로/JKB
약	약/MMA
2.3%	2/SN+./SP+3/SN+%/SW
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.134.6.4
메릴린치은행의 루팅 이코노미스트는 <월스트리트저널>에 “전반적으로 이번 통계는 연착륙 상황이지만, 수출 감소 등으로 4분기에는 9% 내외로 떨어질 것”이라고 전망했다.

메릴린치은행의	메릴린치은행/NNP+의/JKG
루팅	루팅/NNP
이코노미스트는	이코노미스트/NNP+는/JX
<월스트리트저널>에	</SS+월스트리트저널/NNP+>/SS+에/JKB
“전반적으로	“/SS+전반/NNG+적/XSN+으로/JKB
이번	이번/NNG
통계는	통계/NNG+는/JX
연착륙	연착륙/NNG
상황이지만,	상황/NNG+이/VCP+지만/EC+,/SP
수출	수출/NNG
감소	감소/NNG
등으로	등/NNB+으로/JKB
4분기에는	4/SN+분기/NNG+에/JKB+는/JX
9%	9/SN+%/SW
내외로	내외/NNG+로/JKB
떨어질	떨어지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.134.6.5
내년 1분기 중국 성장률에 대해서는 유비에스(UBS)가 7.7%까지 떨어질 것으로 전망하는 등 7%대 하락을 예상하는 국제금융기관들도 적지 않다.

내년	내년/NNG
1분기	1/SN+분기/NNG
중국	중국/NNP
성장률에	성장/NNG+률/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
유비에스(UBS)가	유비에스/NNP+(/SS+UBS/SL+)/SS+가/JKS
7.7%까지	7/SN+./SP+7/SN+%/SW+까지/JX
떨어질	떨어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망하는	전망/NNG+하/XSV+는/ETM
등	등/NNB
7%대	7/SN+%/SW+대/XSN
하락을	하락/NNG+을/JKO
예상하는	예상/NNG+하/XSV+는/ETM
국제금융기관들도	국제/NNG+금융/NNG+기관/NNG+들/XSN+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000032.134.7.1
중국 내에서는 정부가 긴축정책을 완화해야 한다는 목소리가 높아지고 있지만, 계속 6%대를 유지하고 있는 인플레이션과 부동산 거품 때문에 돈을 풀기가 쉽지 않다는 반론도 많다.

중국	중국/NNP
내에서는	내/NNB+에서/JKB+는/JX
정부가	정부/NNG+가/JKS
긴축정책을	긴축/NNG+정책/NNG+을/JKO
완화해야	완화/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
높아지고	높아지/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
계속	계속/MAG
6%대를	6/SN+%/SW+대/XSN+를/JKO
유지하고	유지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
인플레이션과	인플레이션/NNG+과/JC
부동산	부동산/NNG
거품	거품/NNG
때문에	때문/NNB+에/JKB
돈을	돈/NNG+을/JKO
풀기가	풀/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다는	않/VX+다는/ETM
반론도	반론/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000032.134.8.1
