# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.221
metadata : {}


# id : NWRW1800000024.221.1.1
‘북핵대비’ 병력감축 규모 축소 /3천명 규모 해외파병부대 창설

‘북핵대비’	‘/SS+북핵/NNG+대비/NNG+’/SS
병력감축	병력/NNG+감축/NNG
규모	규모/NNG
축소	축소/NNG
/3천명	//SP+3/SN+천/NR+명/NNB
해외파병부대	해외/NNG+파병/NNG+부대/NNG
창설	창설/NNG


# id : NWRW1800000024.221.2.1
현재 65만5천명인 군병력을 2020년까지 50만명으로 줄이려던 애초 계획이 1만7천명 늘어난 51만7천명 수준으로 조정됐다.

현재	현재/MAG
65만5천명인	65/SN+만/NR+5/SN+천/NR+명/NNB+이/VCP+ㄴ/ETM
군병력을	군/NNG+병력/NNG+을/JKO
2020년까지	2020/SN+년/NNB+까지/JX
50만명으로	50/SN+만/NR+명/NNB+으로/JKB
줄이려던	줄이/VV+려던/ETM
애초	애초/NNG
계획이	계획/NNG+이/JKS
1만7천명	1/SN+만/NR+7/SN+천/NR+명/NNB
늘어난	늘어나/VV+ㄴ/ETM
51만7천명	51/SN+만/NR+7/SN+천/NR+명/NNB
수준으로	수준/NNG+으로/JKB
조정됐다.	조정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.221.2.2
또 어려운 경제 상황을 고려해 2006~2020년 전체 국방예산 규모가 621조원에서 약 22조원 줄어든 599조원으로 조정됐다.

또	또/MAG
어려운	어렵/VA+ㄴ/ETM
경제	경제/NNG
상황을	상황/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
2006~2020년	2006/SN+~/SO+2020/SN+년/NNB
전체	전체/NNG
국방예산	국방/NNG+예산/NNG
규모가	규모/NNG+가/JKS
621조원에서	621/SN+조/NR+원/NNB+에서/JKB
약	약/MMA
22조원	22/SN+조/NR+원/NNB
줄어든	줄어들/VV+ㄴ/ETM
599조원으로	599/SN+조/NR+원/NNB+으로/JKB
조정됐다.	조정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.221.3.1
이상희 국방부 장관은 26일 참여정부 때 만든 국방개혁 2020을 고쳐 이명박 대통령의 재가를 받은 국방개혁 기본계획(2009~2020)을 발표하며, “위협의 강도와 현실화 가능성이 가장 큰 북한 위협에 우선 대처하기로 했다”고 밝혔다.

이상희	이상희/NNP
국방부	국방부/NNG
장관은	장관/NNG+은/JX
26일	26/SN+일/NNB
참여정부	참여/NNG+정부/NNG
때	때/NNG
만든	만들/VV+ㄴ/ETM
국방개혁	국방/NNG+개혁/NNG
2020을	2020/SN+을/JKO
고쳐	고치/VV+어/EC
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
재가를	재가/NNG+를/JKO
받은	받/VV+은/ETM
기본계획(2009~2020)을	기본/NNG+계획/NNG+(/SS+2009/SN+~/SO+2020/SN+)/SS+을/JKO
발표하며,	발표/NNG+하/XSV+며/EC+,/SP
“위협의	“/SS+위협/NNG+의/JKG
강도와	강도/NNG+와/JC
현실화	현실/NNG+화/XSN
가능성이	가능/NNG+성/XSN+이/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
북한	북한/NNP
위협에	위협/NNG+에/JKB
우선	우선/MAG
대처하기로	대처/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.221.4.1
이에 따라 북한의 핵과 미사일을 최대한 차단·억제한다는 계획에 따라 고고도 무인정찰기, 탄도탄 조기경보 레이더, 해상요격 유도탄, 핵폭발 때 발생하는 전자기펄스(EMP) 방호 시스템 등을 도입하기로 했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
북한의	북한/NNP+의/JKG
핵과	핵/NNG+과/JC
미사일을	미사일/NNG+을/JKO
최대한	최대한/MAG
차단·억제한다는	차단/NNG+·/SP+억제/NNG+하/XSV+ㄴ다는/ETM
계획에	계획/NNG+에/JKB
고고도	고/XPN+고도/NNG
무인정찰기,	무인/NNG+정찰기/NNG+,/SP
탄도탄	탄도탄/NNG
조기경보	조기/NNG+경보/NNG
레이더,	레이더/NNG+,/SP
해상요격	해상/NNG+요격/NNG
유도탄,	유도탄/NNG+,/SP
핵폭발	핵폭발/NNG
때	때/NNG
발생하는	발생/NNG+하/XSV+는/ETM
전자기펄스(EMP)	전자기/NNG+펄스/NNG+(/SS+EMP/SL+)/SS
방호	방호/NNG
시스템	시스템/NNG
등을	등/NNB+을/JKO
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.5.1
수정안은 △수도권이 군사분계선에 가깝고 △개전과 동시에 남북 지상군간 대규모 교전이 불가피하다는 등의 한반도 전략적 특수성을 들어 참여정부 때 수립한 2005년도 원안에 견줘 지상군 강화에 치중했다.

수정안은	수정안/NNG+은/JX
△수도권이	△/SW+수도/NNG+권/XSN+이/JKS
군사분계선에	군사/NNG+분계선/NNG+에/JKB
가깝고	가깝/VA+고/EC
△개전과	△/SW+개전/NNG+과/JKB
동시에	동시/NNG+에/JKB
남북	남북/NNP
지상군간	지상군/NNG+간/NNB
대규모	대/XPN+규모/NNG
교전이	교전/NNG+이/JKS
불가피하다는	불가피하/VA+다는/ETM
등의	등/NNB+의/JKG
한반도	한반도/NNP
전략적	전략/NNG+적/XSN
특수성을	특수/NNG+성/XSN+을/JKO
들어	들/VV+어/EC
참여정부	참여/NNG+정부/NNG
때	때/NNG
수립한	수립/NNG+하/XSV+ㄴ/ETM
2005년도	2005/SN+년도/NNB
원안에	원안/NNG+에/JKB
견줘	견주/VV+어/EC
지상군	지상군/NNG
강화에	강화/NNG+에/JKB
치중했다.	치중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.221.6.1
2005년 애초 계획보다 1만7천명 늘어난 병력을 보면, 수도권 방어를 위해 전시에 창설하기로 했던 동원사단 4개를 평시에도 유지, 폐지하려던 카투사 3400명 유지, 해외파병 상비부대 1천명 편성 등 대부분 지상전에 대비한 육군 병력이다.

2005년	2005/SN+년/NNB
애초	애초/NNG
계획보다	계획/NNG+보다/JKB
1만7천명	1/SN+만/NR+7/SN+천/NR+명/NNB
늘어난	늘어나/VV+ㄴ/ETM
병력을	병력/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
수도권	수도/NNG+권/XSN
방어를	방어/NNG+를/JKO
위해	위하/VV+아/EC
전시에	전시/NNG+에/JKB
창설하기로	창설/NNG+하/XSV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
동원사단	동원/NNG+사단/NNG
4개를	4/SN+개/NNB+를/JKO
평시에도	평시/NNG+에/JKB+도/JX
유지,	유지/NNG+,/SP
폐지하려던	폐지/NNG+하/XSV+려던/ETM
카투사	카투사/NNG
3400명	3400/SN+명/NNB
해외파병	해외/NNG+파병/NNG
상비부대	상비/NNG+부대/NNG
1천명	1/SN+천/NR+명/NNB
편성	편성/NNG
등	등/NNB
대부분	대/XPN+부분/NNG
지상전에	지상전/NNG+에/JKB
