# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.357
metadata : {}


# id : NWRW1800000044.357.1.1
남경필 제주도 땅투기 논란

남경필	남경필/NNP
제주도	제주도/NNP
땅투기	땅/NNG+투기/NNG
논란	논란/NNG


# id : NWRW1800000044.357.2.1
[한겨레] 김진표쪽 “불법으로 매입

[한겨레]	[/SS+한겨레/NNP+]/SS
김진표쪽	김진표/NNP+쪽/NNB
“불법으로	“/SS+불법/NNG+으로/JKB
매입	매입/NNG


# id : NWRW1800000044.357.3.1
기증 뜻 밝히고도 계속 보유”

기증	기증/NNG
뜻	뜻/NNG
밝히고도	밝히/VV+고/EC+도/JX
계속	계속/MAG
보유”	보유/NNG+”/SS


# id : NWRW1800000044.357.4.1
남경필쪽 “불법 아냐

남경필쪽	남경필/NNP+쪽/NNB
“불법	“/SS+불법/NNG
아냐	아니/VCN+야/EF


# id : NWRW1800000044.357.5.1
기부하려했으나 당국이 거부”

기부하려했으나	기부/NNG+하/XSV+려/EC+하/VX+았/EP+으나/EC
당국이	당국/NNG+이/JKS
거부”	거부/NNG+”/SS


# id : NWRW1800000044.357.6.1
보육 공약을 놓고 치열한 설전이 펼쳐지던 경기도지사 선거전이 제주도 땅투기 공방으로 확전됐다.

보육	보육/NNG
공약을	공약/NNG+을/JKO
놓고	놓/VV+고/EC
치열한	치열/NNG+하/XSA+ㄴ/ETM
설전이	설전/NNG+이/JKS
펼쳐지던	펼쳐지/VV+던/ETM
경기도지사	경기/NNP+도지사/NNG
선거전이	선거전/NNG+이/JKS
제주도	제주도/NNP
땅투기	땅/NNG+투기/NNG
공방으로	공방/NNG+으로/JKB
확전됐다.	확전/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.357.7.1
김진표 새정치민주연합 후보 캠프는 28일 “남경필 새누리당 후보가 1987년과 2002년 두차례에 걸쳐 제주도 농지를 매입했고, 불법 소유 논란이 일자 이 땅을 정부에 기증하겠다고 공개적으로 밝혔지만 여전히 땅을 소유하고 있다”고 공격했다.

김진표	김진표/NNP
새정치민주연합	새정치민주연합/NNP
후보	후보/NNG
캠프는	캠프/NNG+는/JX
28일	28/SN+일/NNB
“남경필	“/SS+남경필/NNP
새누리당	새누리당/NNP
후보가	후보/NNG+가/JKS
1987년과	1987/SN+년/NNB+과/JC
2002년	2002/SN+년/NNB
두차례에	두/MMN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
제주도	제주도/NNP
농지를	농지/NNG+를/JKO
매입했고,	매입/NNG+하/XSV+았/EP+고/EC+,/SP
불법	불법/NNG
소유	소유/NNG
논란이	논란/NNG+이/JKS
일자	일/VV+자/EC
이	이/MMD
땅을	땅/NNG+을/JKO
정부에	정부/NNG+에/JKB
기증하겠다고	기증/NNG+하/XSV+겠/EP+다고/EC
공개적으로	공개/NNG+적/XSN+으로/JKB
밝혔지만	밝히/VV+었/EP+지만/EC
여전히	여전히/MAG
