# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.319
metadata : {}


# id : NWRW1800000040.319.1.1
[유레카] 청와대 지하벙커 / 김종구

[유레카]	[/SS+유레카/NNG+]/SS
청와대	청와대/NNP
지하벙커	지하/NNG+벙커/NNG
/	//SP
김종구	김종구/NNP


# id : NWRW1800000040.319.2.1
미국 백악관 이스트윙 지하에 있는 ‘대통령비상작전센터’(PEOC)는 웨스트윙의 백악관 상황실과는 다른 곳이다.

미국	미국/NNP
백악관	백악관/NNP
이스트윙	이스트윙/NNG
지하에	지하/NNG+에/JKB
있는	있/VA+는/ETM
‘대통령비상작전센터’(PEOC)는	‘/SS+대통령/NNG+비상/NNG+작전/NNG+센터/NNG+’/SS+(/SS+PEOC/SL+)/SS+는/JX
웨스트윙의	웨스트/NNG+윙/NNG+의/JKG
상황실과는	상황실/NNG+과/JKB+는/JX
다른	다른/MMD
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.319.2.2
이 지하벙커는 프랭클린 루스벨트 대통령 시절인 1942년 대통령의 비상대피용 시설로 만들어졌는데, 직격 핵폭탄 공격 말고는 웬만한 공격에 끄떡없이 버틸 수 있을 정도로 견고하다고 한다.

이	이/MMD
지하벙커는	지하/NNG+벙커/NNG+는/JX
프랭클린	프랭클린/NNP
루스벨트	루스벨트/NNP
대통령	대통령/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
1942년	1942/SN+년/NNB
대통령의	대통령/NNG+의/JKG
비상대피용	비상/NNG+대피/NNG+용/XSN
시설로	시설/NNG+로/JKB
만들어졌는데,	만들/VV+어/EC+지/VX+었/EP+는데/EC+,/SP
직격	직격/NNG
핵폭탄	핵폭탄/NNG
공격	공격/NNG
말고는	말/VV+고/EC+는/JX
웬만한	웬만하/VA+ㄴ/ETM
공격에	공격/NNG+에/JKB
끄떡없이	끄떡없이/MAG
버틸	버티/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
견고하다고	견고하/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.319.2.3
당시 지하벙커 구축 사실을 숨기기 위해 지금의 이스트윙 건물 신축 공사를 했다는 일화도 전해진다.

당시	당시/NNG
지하벙커	지하/NNG+벙커/NNG
구축	구축/NNG
사실을	사실/NNG+을/JKO
숨기기	숨기/VV+기/ETN
위해	위하/VV+아/EC
지금의	지금/NNG+의/JKG
이스트윙	이스트윙/NNG
건물	건물/NNG
신축	신축/NNG
공사를	공사/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
일화도	일화/NNG+도/JX
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.319.3.1
미국은 냉전 기간인 1950년대에 비밀 지하시설을 광범위하게 구축했다.

미국은	미국/NNP+은/JX
냉전	냉전/NNG
기간인	기간/NNG+이/VCP+ㄴ/ETM
1950년대에	1950/SN+년대/NNB+에/JKB
비밀	비밀/NNG
지하시설을	지하/NNG+시설/NNG+을/JKO
광범위하게	광범위/NNG+하/XSA+게/EC
구축했다.	구축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.319.3.2
유사시 임시 의회로 사용하기 위한 웨스트버지니아의 그린브라이어 호텔 지하벙커, 합참이 핵전쟁 수행을 위해 만든 펜실베이니아의 레이븐록 등이 대표적이다.

유사시	유사시/NNG
임시	임시/NNG
의회로	의회/NNG+로/JKB
사용하기	사용/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
웨스트버지니아의	웨스트버지니아/NNP+의/JKG
그린브라이어	그린브라이어/NNP
호텔	호텔/NNG
지하벙커,	지하/NNG+벙커/NNG+,/SP
합참이	합참/NNG+이/JKS
핵전쟁	핵전쟁/NNG
수행을	수행/NNG+을/JKO
위해	위하/VV+아/EC
만든	만들/VV+ㄴ/ETM
펜실베이니아의	펜실베이니아/NNP+의/JKG
레이븐록	레이븐록/NNP
등이	등/NNB+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000040.319.3.3
또 버지니아에 있는 마운트웨더는 자체 발전소와 대형 급수탱크, 병원 등을 갖춘 대규모 지하시설로 만약의 사태 발생 때 임시 백악관으로 사용될 가능성이 가장 큰 곳으로 꼽힌다.

또	또/MAG
버지니아에	버지니아/NNP+에/JKB
있는	있/VV+는/ETM
마운트웨더는	마운트웨더/NNP+는/JX
자체	자체/NNG
발전소와	발전소/NNG+와/JC
