# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.210
metadata : {}


# id : NWRW1800000030.210.1.1
제9구단 엔씨소프트 "2013년 1군 리그 참가"

제9구단	제/XPN+9/SN+구단/NNG
엔씨소프트	엔씨소프트/NNP
"2013년	"/SS+2013/SN+년/NNB
1군	1/SN+군/NNG
리그	리그/NNG
참가"	참가/NNG+"/SS


# id : NWRW1800000030.210.2.1
•"2군 리그는 내년부터 참가… 구단별로 1명씩 지원해줘야"

•"2군	•/SW+"/SS+2군/NNG
리그는	리그/NNG+는/JX
내년부터	내년/NNG+부터/JX
참가…	참가/NNG+…/SE
구단별로	구단/NNG+별/XSN+로/JKB
1명씩	1/SN+명/NNB+씩/XSN
지원해줘야"	지원/NNG+하/XSV+아/EC+주/VX+어야/EC+"/SS


# id : NWRW1800000030.210.3.1
프로야구 제9구단인 신생팀 엔씨소프트가 2013년 1군 리그 참가를 선언했다.

프로야구	프로/NNG+야구/NNG
제9구단인	제/XPN+9/SN+구단/NNG+이/VCP+ㄴ/ETM
신생팀	신생/NNG+팀/NNG
엔씨소프트가	엔씨소프트/NNP+가/JKS
2013년	2013/SN+년/NNB
1군	1/SN+군/NNG
리그	리그/NNG
참가를	참가/NNG+를/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.210.3.2
당장 내년부터 2군 리그에 참가할 계획이다.

당장	당장/NNG
내년부터	내년/NNG+부터/JX
2군	2/SN+군/NNG
리그에	리그/NNG+에/JKB
참가할	참가/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.210.3.3
하지만 기존 KBO 지원안으로는 내년에 신인급 위주로 팀을 꾸릴 수밖에 없다.

하지만	하지만/MAJ
기존	기존/NNG
KBO	KBO/SL
지원안으로는	지원안/NNG+으로/JKB+는/JX
내년에	내년/NNG+에/JKB
신인급	신인급/NNG
위주로	위주/NNG+로/JKB
팀을	팀/NNG+을/JKO
꾸릴	꾸리/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.210.3.4
당장 실전용 선수가 필요한 엔씨소프트가 KBO에 'SOS'를 쳤다.

당장	당장/NNG
실전용	실전/NNG+용/XSN
선수가	선수/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
엔씨소프트가	엔씨소프트/NNP+가/JKS
KBO에	KBO/SL+에/JKB
'SOS'를	'/SS+SOS/SL+'/SS+를/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.210.4.1
엔씨소프트 이태일 신임 구단 대표는 21일 서울 강남구 도곡동 야구회관에서 열린 이사회에 참석하고 나서 기자회견을 통해 "올해 말에 구단별로 '보호선수 25명'에 포함하지 않은 선수 한 명씩을 지원해 달라고 요청했다"고 말했다.

엔씨소프트	엔씨소프트/NNP
이태일	이태일/NNP
신임	신임/NNG
구단	구단/NNG
대표는	대표/NNG+는/JX
21일	21/SN+일/NNB
서울	서울/NNP
강남구	강남구/NNP
도곡동	도곡동/NNP
야구회관에서	야구/NNG+회관/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
이사회에	이사회/NNG+에/JKB
참석하고	참석/NNG+하/XSV+고/EC
나서	나/VX+아서/EC
기자회견을	기자/NNG+회견/NNG+을/JKO
통해	통하/VV+아/EC
"올해	"/SS+올해/NNG
말에	말/NNB+에/JKB
구단별로	구단/NNG+별/XSN+로/JKB
'보호선수	'/SS+보호/NNG+선수/NNG
25명'에	25/SN+명/NNB+'/SS+에/JKB
