# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.66
metadata : {}


# id : NWRW1800000030.66.1.1
"기도하고 일하라, 그럼 욕망의 나뭇잎 떨어지리니…"

"기도하고	"/SS+기도/NNG+하/XSV+고/EC
일하라,	일/NNG+하/XSV+라/EF+,/SP
그럼	그럼/MAJ
욕망의	욕망/NNG+의/JKG
나뭇잎	나뭇잎/NNG
떨어지리니…"	떨어지/VV+리니/EC+…/SE+"/SS


# id : NWRW1800000030.66.2.1
•성 베네딕도회 요셉수도원장 이수철 신부, 가난·정결한 삶 속의 행복을 말하다

•성	•/SW+성/MMA
베네딕도회	베네딕도회/NNP
요셉수도원장	요셉/NNP+수도원장/NNG
이수철	이수철/NNP
신부,	신부/NNG+,/SP
가난·정결한	가난/NNG+·/SP+정결/NNG+하/XSA+ㄴ/ETM
삶	삶/NNG
속의	속/NNG+의/JKG
행복을	행복/NNG+을/JKO
말하다	말/NNG+하/XSV+다/EF


# id : NWRW1800000030.66.3.1
독서·묵상(04:30)-기도(04:50)-묵상(05:30)-미사(06:00)-식사(07:00)-기도(08:00)-노동(08:15)-기도(11:45)-식사(12:00)-기도(13:30)-노동(13:45)-기도(17:30)-묵상(18:00)-식사(18:30)-기도(19:40)….

