# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.318
metadata : {}


# id : NWRW1800000049.318.1.1
“與 내분수습 - 野 단일화가 승패 결정”

“與	“/SS+與/SH
내분수습	내분/NNG+수습/NNG
-	-/SO
野	野/SH
단일화가	단일/NNG+화/XSN+가/JKS
승패	승패/NNG
결정”	결정/NNG+”/SS


# id : NWRW1800000049.318.2.1
[선택 4·13 총선 D-13] 31일부터 공식 선거운동 시작 선거전문가들이 본 초반 판세… “여야 텃밭 표심 변화기류 감지”

[선택	[/SS+선택/NNG
4·13	4/SN+·/SP+13/SN
총선	총선/NNG
D-13]	D/SL+-/SO+13/SN+]/SS
31일부터	31/SN+일/NNB+부터/JX
공식	공식/NNG
선거운동	선거/NNG+운동/NNG
시작	시작/NNG
선거전문가들이	선거/NNG+전문가/NNG+들/XSN+이/JKS
본	보/VV+ㄴ/ETM
초반	초반/NNG
판세…	판세/NNG+…/SE
“여야	“/SS+여야/NNG
텃밭	텃밭/NNG
표심	표심/NNG
변화기류	변화/NNG+기류/NNG
감지”	감지/NNG+”/SS


# id : NWRW1800000049.318.3.1
31일부터 4·13총선의 공식 선거운동이 시작된다.

31일부터	31/SN+일/NNB+부터/JX
4·13총선의	4/SN+·/SP+13/SN+총선/NNG+의/JKG
공식	공식/NNG
선거운동이	선거/NNG+운동/NNG+이/JKS
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.318.4.1
유권자의 선택을 앞둔 상황에서 선거분석 전문가들이 꼽은 초반 판세의 바로미터는 여권의 ‘내홍 수습’과 야권의 ‘후보 단일화’다.

유권자의	유권자/NNG+의/JKG
선택을	선택/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
선거분석	선거/NNG+분석/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
꼽은	꼽/VV+은/ETM
초반	초반/NNG
판세의	판세/NNG+의/JKG
바로미터는	바로미터/NNG+는/JX
여권의	여권/NNG+의/JKG
‘내홍	‘/SS+내홍/NNG
수습’과	수습/NNG+’/SS+과/JC
야권의	야권/NNG+의/JKG
‘후보	‘/SS+후보/NNG
단일화’다.	단일/NNG+화/XSN+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.318.5.1
이상일 아젠다센터 대표는 30일 “새누리당의 공천 갈등으로 수도권 민심이 악화된 건 확실해 보인다”고 진단했다.

이상일	이상일/NNP
아젠다센터	아젠다센터/NNG
대표는	대표/NNG+는/JX
30일	30/SN+일/NNB
“새누리당의	“/SS+새누리당/NNP+의/JKG
공천	공천/NNG
갈등으로	갈등/NNG+으로/JKB
수도권	수도/NNG+권/XSN
민심이	민심/NNG+이/JKS
악화된	악화/NNG+되/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
확실해	확실하/VA+아/EC
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.5.2
윤희웅 한국사회여론연구소 소장은 “2012년 총선과 대선에서 연거푸 이긴 여권 지지층의 결집도는 느슨할 수밖에 없다”며 “그 와중에 공천 파동이 터졌으니 투표 의지가 더 약화될 것”이라고 내다봤다.

윤희웅	윤희웅/NNP
한국사회여론연구소	한국사회여론연구소/NNP
소장은	소장/NNG+은/JX
“2012년	“/SS+2012/SN+년/NNB
총선과	총선/NNG+과/JC
대선에서	대선/NNG+에서/JKB
연거푸	연거푸/MAG
이긴	이기/VV+ㄴ/ETM
여권	여권/NNG
지지층의	지지/NNG+층/XSN+의/JKG
결집도는	결집도/NNG+는/JX
느슨할	느슨하/VA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“그	“/SS+그/MMD
와중에	와중/NNG+에/JKB
공천	공천/NNG
파동이	파동/NNG+이/JKS
터졌으니	터지/VV+었/EP+으니/EC
투표	투표/NNG
의지가	의지/NNG+가/JKS
더	더/MAG
약화될	약화/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.318.5.3
이 대표는 “그럼에도 여전히 계파 간 총질을 하고 있는데, 얼마나 진정성 있게 화합하는 모습을 보여주느냐가 여권의 최대 숙제”라고 지적했다.

이	이/NNP
대표는	대표/NNG+는/JX
“그럼에도	“/SS+그렇/VA+ㅁ/ETN+에/JKB+도/JX
여전히	여전히/MAG
계파	계파/NNG
간	가/VV+ㄴ/ETM
총질을	총/NNG+질/XSN+을/JKO
하고	하/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
얼마나	얼마나/MAG
진정성	진정/NNG+성/XSN
있게	있/VA+게/EC
화합하는	화합/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보여주느냐가	보이/VV+어/EC+주/VX+느냐/EF+가/JKS
여권의	여권/NNG+의/JKG
최대	최대/NNG
숙제”라고	숙제/NNG+”/SS+라고/JKQ
