# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.142
metadata : {}


# id : NWRW1800000024.142.1.1
한국 단감 /미국 보내자

한국	한국/NNP
단감	단감/NNG
/미국	//SP+미국/NNP
보내자	보내/VV+자/EF


# id : NWRW1800000024.142.2.1
순수한 우리 종자와 기술로 재배되는 단감의 수출이 크게 늘면서 미국 등 국외시장 개척이 시급한 과제로 떠오르고 있다.

순수한	순수/NNG+하/XSA+ㄴ/ETM
우리	우리/NP
종자와	종자/NNG+와/JC
기술로	기술/NNG+로/JKB
재배되는	재배/NNG+되/XSV+는/ETM
단감의	단감/NNG+의/JKG
수출이	수출/NNG+이/JKS
크게	크/VA+게/EC
늘면서	늘/VV+면서/EC
미국	미국/NNP
등	등/NNB
국외시장	국외/NNG+시장/NNG
개척이	개척/NNG+이/JKS
시급한	시급하/VA+ㄴ/ETM
과제로	과제/NNG+로/JKB
떠오르고	떠오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.142.3.1
단감은 2007년 기준으로 국내에서는 1억6300만㎡에서 25만1천t이 생산됐다.

단감은	단감/NNG+은/JX
2007년	2007/SN+년/NNB
기준으로	기준/NNG+으로/JKB
국내에서는	국내/NNG+에서/JKB+는/JX
1억6300만㎡에서	1/SN+억/NR+6300/SN+만/NR+㎡/SW+에서/JKB
25만1천t이	25/SN+만/NR+1/SN+천/NR+t/SW+이/JKS
생산됐다.	생산/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.142.3.2
이 가운데 84% 정도는 경남과 전남에서 생산돼 지역 농가의 주소득원이 되고 있다.

이	이/MMD
가운데	가운데/NNG
84%	84/SN+%/SW
정도는	정도/NNG+는/JX
경남과	경남/NNP+과/JC
전남에서	전남/NNP+에서/JKB
생산돼	생산/NNG+되/XSV+어/EC
지역	지역/NNG
농가의	농가/NNG+의/JKG
주소득원이	주/MMA+소득원/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.142.3.3
하지만 최근 생산량이 소비량을 앞지르면서 새로운 판로 개척이 시급한 상황이다.

하지만	하지만/MAJ
최근	최근/MAG
생산량이	생산량/NNG+이/JKS
소비량을	소비량/NNG+을/JKO
앞지르면서	앞지르/VV+면서/EC
새로운	새롭/VA+ㄴ/ETM
판로	판로/NNG
개척이	개척/NNG+이/JKS
시급한	시급하/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.142.4.1
특히 단감수출연구사업단은 현재 동남아를 중심으로 이뤄지고 있는 수출길을 다변화하기 위해 이스라엘산이 거의 독차지하고 있는 미국시장에 대한 수출 비중을 높이기 위한 대책 마련에 고심하고 있으며, 단감와인 등 가공품 개발과 유통도 적극 추진하고 있다.

특히	특히/MAG
단감수출연구사업단은	단감/NNG+수출/NNG+연구/NNG+사업단/NNG+은/JX
현재	현재/MAG
동남아를	동남아/NNP+를/JKO
중심으로	중심/NNG+으로/JKB
이뤄지고	이뤄지/VV+고/EC
있는	있/VX+는/ETM
수출길을	수출길/NNG+을/JKO
다변화하기	다변/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
이스라엘산이	이스라엘/NNP+산/XSN+이/JKS
거의	거의/MAG
독차지하고	독차지/NNG+하/XSV+고/EC
미국시장에	미국/NNP+시장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수출	수출/NNG
비중을	비중/NNG+을/JKO
높이기	높이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
대책	대책/NNG
마련에	마련/NNG+에/JKB
고심하고	고심/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
단감와인	단감/NNG+와인/NNG
등	등/NNB
가공품	가공품/NNG
개발과	개발/NNG+과/JC
유통도	유통/NNG+도/JX
적극	적극/NNG
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.142.5.1
한편, 단감수출연구사업단은 다음달 1일 설립 한 돌을 맞아 경남 김해시 단감연구소에서 ‘단감수출 발전대책 워크숍’을 연다.

한편,	한편/MAG+,/SP
단감수출연구사업단은	단감/NNG+수출/NNG+연구/NNG+사업단/NNG+은/JX
다음달	다음/NNG+달/NNG
1일	1/SN+일/NNB
설립	설립/NNG
한	한/MMN
돌을	돌/NNG+을/JKO
맞아	맞/VV+아/EC
경남	경남/NNP
김해시	김해시/NNP
단감연구소에서	단감/NNG+연구소/NNG+에서/JKB
‘단감수출	‘/SS+단감/NNG+수출/NNG
발전대책	발전/NNG+대책/NNG
워크숍’을	워크숍/NNG+’/SS+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.142.5.2
신숭철 경남도 정책자문대사가 단감 재배 농민을 상대로 ‘세계화시대와 단감의 경쟁력 방안’을 주제로 특별강연을 하며, 단감자동저장기와 단감자동세척기 등을 전시한다.

신숭철	신숭철/NNP
경남도	경남도/NNP
정책자문대사가	정책/NNG+자문/NNG+대사/NNG+가/JKS
단감	단감/NNG
재배	재배/NNG
농민을	농민/NNG+을/JKO
상대로	상대/NNG+로/JKB
‘세계화시대와	‘/SS+세계/NNG+화/XSN+시대/NNG+와/JC
단감의	단감/NNG+의/JKG
경쟁력	경쟁력/NNG
방안’을	방안/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
특별강연을	특별/NNG+강연/NNG+을/JKO
하며,	하/VV+며/EC+,/SP
단감자동저장기와	단감/NNG+자동/NNG+저장기/NNG+와/JC
단감자동세척기	단감/NNG+자동/NNG+세척기/NNG
등을	등/NNB+을/JKO
전시한다.	전시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.142.6.1
단감연구소 안광환 박사는 “단감은 국산 종자를 써 100% 우리 기술로 생산한 뒤 국내에서 소비하고 남는 물량을 수출하는 것이기 때문에 수익률이 높다”며 “저장, 유통, 가공품 개발, 수출시장 개척 등에 집중해야 한다”고 말했다.

단감연구소	단감/NNG+연구소/NNG
안광환	안광환/NNP
박사는	박사/NNG+는/JX
“단감은	“/SS+단감/NNG+은/JX
국산	국산/NNG
종자를	종자/NNG+를/JKO
써	쓰/VV+어/EC
100%	100/SN+%/SW
우리	우리/NP
기술로	기술/NNG+로/JKB
생산한	생산/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
국내에서	국내/NNG+에서/JKB
소비하고	소비/NNG+하/XSV+고/EC
남는	남/VV+는/ETM
물량을	물량/NNG+을/JKO
수출하는	수출/NNG+하/XSV+는/ETM
것이기	것/NNB+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
수익률이	수익/NNG+률/XSN+이/JKS
높다”며	높/VA+다/EF+”/SS+며/EC
“저장,	“/SS+저장/NNG+,/SP
유통,	유통/NNG+,/SP
가공품	가공품/NNG
개발,	개발/NNG+,/SP
수출시장	수출/NNG+시장/NNG
개척	개척/NNG
등에	등/NNB+에/JKB
집중해야	집중/NNG+하/XSV+아야/EC
