# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.212
metadata : {}


# id : NWRW1800000033.212.1.1
올 수능 1, 2등급 자율형사립고↑ 외고↓

올	올/NNG
수능	수능/NNG
1,	1/SN+,/SP
2등급	2/SN+등급/NNG
자율형사립고↑	자율/NNG+형/XSN+사립고/NNG+↑/SW
외고↓	외고/NNG+↓/SW


# id : NWRW1800000033.212.2.1
■ 본보-하늘교육 8개교 분석

■	■/SW
본보-하늘교육	본보/NNG+-/SO+하늘교육/NNP
8개교	8/SN+개교/NNB
분석	분석/NNG


# id : NWRW1800000033.212.3.1
올해 대학수학능력시험에서 1, 2등급을 받은 학생이 외국어고는 지난해보다 줄고 자율형 사립고는 늘었다.

올해	올해/NNG
대학수학능력시험에서	대학/NNG+수학/NNG+능력/NNG+시험/NNG+에서/JKB
1,	1/SN+,/SP
2등급을	2/SN+등급/NNG+을/JKO
받은	받/VV+은/ETM
학생이	학생/NNG+이/JKS
외국어고는	외국어고/NNG+는/JX
지난해보다	지난해/NNG+보다/JKB
줄고	줄/VV+고/EC
자율형	자율/NNG+형/XSN
사립고는	사립고/NNG+는/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.212.3.2
교과형 면접이 아닌 인성면접과 영어내신으로 처음 입학한 외고 학생, 일반고에서 자율고로 전환하면서 처음 선발한 학생의 성적이라는 점에서 관심을 끄는 대목이다.

교과형	교과/NNG+형/XSN
면접이	면접/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
인성면접과	인성/NNG+면접/NNG+과/JC
영어내신으로	영어/NNP+내신/NNG+으로/JKB
처음	처음/NNG
입학한	입학/NNG+하/XSV+ㄴ/ETM
외고	외고/NNG
학생,	학생/NNG+,/SP
일반고에서	일반고/NNG+에서/JKB
자율고로	자율고/NNG+로/JKB
전환하면서	전환/NNG+하/XSV+면서/EC
선발한	선발/NNG+하/XSV+ㄴ/ETM
학생의	학생/NNG+의/JKG
성적이라는	성적/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
관심을	관심/NNG+을/JKO
끄는	끌/VV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.212.4.1
동아일보는 성적 공개에 동의한 외고 3곳, 자율고 3곳, 전국 단위로 학생을 뽑는 자립형 사립고 2곳을 대상으로 올해와 지난해 수능의 영역별 1, 2등급 비율을 ㈜하늘교육과 함께 조사했다.

동아일보는	동아일보/NNP+는/JX
성적	성적/NNG
공개에	공개/NNG+에/JKB
동의한	동의/NNG+하/XSV+ㄴ/ETM
외고	외고/NNG
3곳,	3/SN+곳/NNG+,/SP
자율고	자율고/NNG
전국	전국/NNG
단위로	단위/NNG+로/JKB
학생을	학생/NNG+을/JKO
뽑는	뽑/VV+는/ETM
자립형	자립/NNG+형/XSN
사립고	사립고/NNG
2곳을	2/SN+곳/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
올해와	올해/NNG+와/JC
지난해	지난해/NNG
수능의	수능/NNG+의/JKG
영역별	영역/NNG+별/XSN
1,	1/SN+,/SP
2등급	2/SN+등급/NNG
비율을	비율/NNG+을/JKO
㈜하늘교육과	㈜/SW+하늘교육/NNP+과/JKB
함께	함께/MAG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.212.5.1
○ 자율고와 외고의 희비 엇갈려

○	○/SW
자율고와	자율고/NNG+와/JC
외고의	외고/NNG+의/JKG
희비	희비/NNG
엇갈려	엇갈리/VV+어/EF


# id : NWRW1800000033.212.6.1
외고는 올해 언어 수리 외국어의 1등급 비율이 지난해보다 평균 8.0%포인트, 2등급 이내 비율이 지난해보다 평균 6.9%포인트 줄었다.

외고는	외고/NNG+는/JX
올해	올해/NNG
언어	언어/NNG
수리	수리/NNG
외국어의	외국어/NNG+의/JKG
1등급	1/SN+등급/NNG
