# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.394
metadata : {}


# id : NWRW1800000053.394.1.1
도화지엔 푸른 물결… 가족들 얼굴엔 웃음꽃

도화지엔	도화지/NNG+에/JKB+ㄴ/JX
푸른	푸르/VA+ㄴ/ETM
물결…	물결/NNG+…/SE
가족들	가족/NNG+들/XSN
얼굴엔	얼굴/NNG+에/JKB+ㄴ/JX
웃음꽃	웃음꽃/NNG


# id : NWRW1800000053.394.2.1
동아일보-채널A ‘생명의 바다 그림대회’ 궂은 날씨에도 인천 6200여명 북적… 온가족 총출동 그림축제 자리매김

동아일보-채널A	동아일보/NNP+-/SO+채널A/NNP
‘생명의	‘/SS+생명/NNG+의/JKG
바다	바다/NNG
그림대회’	그림/NNG+대회/NNG+’/SS
궂은	궂/VA+은/ETM
날씨에도	날씨/NNG+에/JKB+도/JX
인천	인천/NNP
6200여명	6200/SN+여/XSN+명/NNB
북적…	북적/MAG+…/SE
온가족	온/MMN+가족/NNG
총출동	총출동/NNG
그림축제	그림/NNG+축제/NNG
자리매김	자리매김/NNG


# id : NWRW1800000053.394.3.1
인천의 바닷가는 주말 궂은 날씨에도 평소 자신이 꿈꾸던 희망의 바다를 도화지에 담으려는 어린이, 청소년의 열정으로 넘쳐났다.

인천의	인천/NNP+의/JKG
바닷가는	바닷가/NNG+는/JX
주말	주말/NNG
궂은	궂/VA+은/ETM
날씨에도	날씨/NNG+에/JKB+도/JX
평소	평소/NNG
자신이	자신/NNG+이/JKS
꿈꾸던	꿈꾸/VV+던/ETM
희망의	희망/NNG+의/JKG
바다를	바다/NNG+를/JKO
도화지에	도화지/NNG+에/JKB
담으려는	담/VV+으려는/ETM
어린이,	어린이/NNG+,/SP
청소년의	청소년/NNG+의/JKG
열정으로	열정/NNG+으로/JKB
넘쳐났다.	넘치/VV+어/EC+나/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.394.3.2
동아일보와 채널A가 공동 주최한 ‘2017 제3회 생명의 바다 그림대회’가 13일 인천과 부산, 충남 서천, 울산, 경남 거제에서 학생 3800여 명과 학부모, 교사를 비롯해 1만여 명이 참가한 가운데 동시에 열렸다.

동아일보와	동아일보/NNP+와/JKB
채널A가	채널A/NNP+가/JKS
공동	공동/NNG
주최한	주최/NNG+하/XSV+ㄴ/ETM
‘2017	‘/SS+2017/SN
제3회	제/XPN+3/SN+회/NNB
생명의	생명/NNG+의/JKG
바다	바다/NNG
그림대회’가	그림/NNG+대회/NNG+’/SS+가/JKS
13일	13/SN+일/NNB
인천과	인천/NNP+과/JC
부산,	부산/NNP+,/SP
