# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.342
metadata : {}


# id : NWRW1800000049.342.1.1
더민주는 ‘親文3 : 非文1’ 4파전될 듯

더민주는	더민주/NNP+는/JX
‘親文3	‘/SS+親文/SH+3/SN
:	:/SP
非文1’	非文/SH+1/SN+’/SS
4파전될	4파전/NNG+되/XSV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000049.342.2.1
이종걸 28일 당권도전 선언

이종걸	이종걸/NNP
28일	28/SN+일/NNB
당권도전	당권/NNG+도전/NNG
선언	선언/NNG


# id : NWRW1800000049.342.3.1
더불어민주당 송영길 의원과 김상곤 전 당 혁신위원장이 후보 등록 첫날인 27일 당 대표 경선(8월 27일 전당대회 예정) 후보 등록을 마쳤다.

더불어민주당	더불어민주당/NNP
송영길	송영길/NNP
의원과	의원/NNG+과/JC
김상곤	김상곤/NNP
전	전/MMD
당	당/NNG
혁신위원장이	혁신/NNG+위원장/NNG+이/JKS
후보	후보/NNG
등록	등록/NNG
첫날인	첫날/NNG+이/VCP+ㄴ/ETM
27일	27/SN+일/NNB
대표	대표/NNG
경선(8월	경선/NNG+(/SS+8/SN+월/NNB
전당대회	전당/NNG+대회/NNG
예정)	예정/NNG+)/SS
등록을	등록/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.342.3.2
추미애, 이종걸 의원은 28일 후보 등록을 할 예정이다.

추미애,	추미애/NNP+,/SP
이종걸	이종걸/NNP
의원은	의원/NNG+은/JX
28일	28/SN+일/NNB
후보	후보/NNG
등록을	등록/NNG+을/JKO
할	하/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.342.3.3
당초 ‘친노(친노무현)’ 또는 ‘친문(친문재인)’으로 분류되는 이들 세 사람 간 ‘싱거운’ 싸움이 예상됐지만 ‘비노(비노무현)’ 진영 이종걸 의원이 막판 출마 의사를 내비치면서 4파전이 됐다.

당초	당초/NNG
‘친노(친노무현)’	‘/SS+친/XPN+노/NNP+(/SS+친/XPN+노무현/NNP+)/SS+’/SS
또는	또는/MAG
‘친문(친문재인)’으로	‘/SS+친/XPN+문/NNP+(/SS+친/XPN+문재인/NNP+)/SS+’/SS+으로/JKB
분류되는	분류/NNG+되/XSV+는/ETM
이들	이/NP+들/XSN
세	세/MMN
사람	사람/NNG
간	간/NNB
‘싱거운’	‘/SS+싱겁/VA+ㄴ/ETM+’/SS
