# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.230
metadata : {}


# id : NWRW1800000036.230.1.1
강정마을회 후원계좌 조사…해군기지 반대 옥죄기?

강정마을회	강정마을회/NNP
후원계좌	후원/NNG+계좌/NNG
조사…해군기지	조사/NNG+…/SE+해군/NNG+기지/NNG
반대	반대/NNG
옥죄기?	옥죄/VV+기/ETN+?/SF


# id : NWRW1800000036.230.2.1
[한겨레] 5년간 모금해왔는데 갑자기 캐

[한겨레]	[/SS+한겨레/NNP+]/SS
5년간	5/SN+년/NNB+간/XSN
모금해왔는데	모금/NNG+하/XSV+아/EC+오/VX+았/EP+는데/EC
갑자기	갑자기/MAG
캐	캐/VV+어/EF


# id : NWRW1800000036.230.3.1
경찰 “기부금법 등록 규정 어겨”

경찰	경찰/NNG
“기부금법	“/SS+기부금법/NNG
등록	등록/NNG
규정	규정/NNG
어겨”	어기/VV+어/EF+”/SS


# id : NWRW1800000036.230.4.1
경찰이 제주해군기지 반대 활동을 벌이는 서귀포시 강정마을회의 후원 계좌에 대한 조사에 나섰다.

경찰이	경찰/NNG+이/JKS
제주해군기지	제주해군기지/NNP
반대	반대/NNG
활동을	활동/NNG+을/JKO
벌이는	벌이/VV+는/ETM
서귀포시	서귀포시/NNP
강정마을회의	강정마을회/NNP+의/JKG
후원	후원/NNG
계좌에	계좌/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사에	조사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.230.4.2
후원금을 보낸 시민들의 신상을 파악해 반대 운동을 억누르는 데 이용하려는 게 아니냐는 비판이 나온다.

후원금을	후원금/NNG+을/JKO
보낸	보내/VV+ㄴ/ETM
시민들의	시민/NNG+들/XSN+의/JKG
신상을	신상/NNG+을/JKO
파악해	파악/NNG+하/XSV+아/EC
반대	반대/NNG
운동을	운동/NNG+을/JKO
억누르는	억누르/VV+는/ETM
데	데/NNB
이용하려는	이용/NNG+하/XSV+려는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
비판이	비판/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.230.5.1
제주지방경찰청은 23일 강정마을회가 기부금품 모집 등록을 하지 않은 채, 인터넷 사이트들에 마을회 이름의 계좌를 게시하고 모금 활동을 벌인 혐의로 조사하고 있다고 밝혔다.

제주지방경찰청은	제주지방경찰청/NNP+은/JX
23일	23/SN+일/NNB
강정마을회가	강정마을회/NNP+가/JKS
기부금품	기부/NNG+금품/NNG
모집	모집/NNG
등록을	등록/NNG+을/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
채,	채/NNB+,/SP
인터넷	인터넷/NNG
사이트들에	사이트/NNG+들/XSN+에/JKB
마을회	마을회/NNG
이름의	이름/NNG+의/JKG
계좌를	계좌/NNG+를/JKO
게시하고	게시/NNG+하/XSV+고/EC
모금	모금/NNG
활동을	활동/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
조사하고	조사/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.230.5.2
경찰 관계자는 “강정마을회 계좌 가운데 후원 계좌 1개의 거래내역 등을 조사중”이라며 “강동균 강정마을회장에게 경찰 출석을 요구했다”고 말했다.

경찰	경찰/NNG
관계자는	관계자/NNG+는/JX
“강정마을회	“/SS+강정마을회/NNP
계좌	계좌/NNG
가운데	가운데/NNG
후원	후원/NNG
1개의	1/SN+개/NNB+의/JKG
거래내역	거래/NNG+내역/NNG
등을	등/NNB+을/JKO
조사중”이라며	조사/NNG+중/NNB+”/SS+이/VCP+라며/EC
“강동균	“/SS+강동균/NNP
강정마을회장에게	강정마을/NNP+회장/NNG+에게/JKB
출석을	출석/NNG+을/JKO
요구했다”고	요구/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.230.5.3
강 회장은 “경찰이 ‘23일 후원 계좌와 관련해 조사할 것이 있다’며 출석을 요구하기에 오는 29일로 연기해둔 상태”라고 말했다.

강	강/NNP
회장은	회장/NNG+은/JX
“경찰이	“/SS+경찰/NNG+이/JKS
‘23일	‘/SS+23/SN+일/NNB
후원	후원/NNG
계좌와	계좌/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
것이	것/NNB+이/JKS
있다’며	있/VA+다/EF+’/SS+며/EC
출석을	출석/NNG+을/JKO
요구하기에	요구/NNG+하/XSV+기/ETN+에/JKB
오는	오/VV+는/ETM
29일로	29/SN+일/NNB+로/JKB
연기해둔	연기/NNG+하/XSV+아/EC+두/VX+ㄴ/ETM
상태”라고	상태/NNG+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.230.6.1
현행 기부금품 모집 및 사용에 관한 법률은 1000만원 이상 10억원 이하의 기부금품을 모집할 경우 모집·사용계획서를 작성해 모집자 주소지의 시·도지사에게 등록하도록 돼 있다.

현행	현행/NNG
기부금품	기부/NNG+금품/NNG
모집	모집/NNG
및	및/MAG
사용에	사용/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률은	법률/NNG+은/JX
1000만원	1000/SN+만/NR+원/NNB
이상	이상/NNG
10억원	10/SN+억/NR+원/NNB
이하의	이하/NNG+의/JKG
기부금품을	기부/NNG+금품/NNG+을/JKO
모집할	모집/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
모집·사용계획서를	모집/NNG+·/SP+사용/NNG+계획서/NNG+를/JKO
작성해	작성/NNG+하/XSV+아/EC
모집자	모집자/NNG
주소지의	주소지/NNG+의/JKG
시·도지사에게	시·도지사/NNG+에게/JKB
등록하도록	등록/NNG+하/XSV+도록/EC
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.230.6.2
경찰은 강정마을회가 이 규정을 어겼다고 보고 있다.

경찰은	경찰/NNG+은/JX
강정마을회가	강정마을회/NNP+가/JKS
이	이/MMD
규정을	규정/NNG+을/JKO
어겼다고	어기/VV+었/EP+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.230.7.1
그러나 강정마을회의 후원금 모금은 2007년 이후 5년여 동안 지속적으로 이뤄진 일이어서, 경찰의 갑작스런 후원계좌 수사에 다른 의도가 있다는 지적이 나온다.

그러나	그러나/MAJ
강정마을회의	강정마을회/NNP+의/JKG
후원금	후원금/NNG
모금은	모금/NNG+은/JX
2007년	2007/SN+년/NNB
이후	이후/NNG
5년여	5/SN+년/NNB+여/XSN
동안	동안/NNG
지속적으로	지속/NNG+적/XSN+으로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
일이어서,	일/NNG+이/VCP+어서/EC+,/SP
경찰의	경찰/NNG+의/JKG
갑작스런	갑작스럽/VA+ㄴ/ETM
후원계좌	후원/NNG+계좌/NNG
수사에	수사/NNG+에/JKB
다른	다른/MMD
의도가	의도/NNG+가/JKS
있다는	있/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.230.7.2
강 회장은 “지금까지 아무런 조처를 하지 않다가 이제야 불법 운운하며 수사하는 것은 정치적 의도가 있는 것 아니냐”고 말했다.

강	강/NNP
회장은	회장/NNG+은/JX
“지금까지	“/SS+지금/NNG+까지/JX
아무런	아무런/MMD
조처를	조처/NNG+를/JKO
하지	하/VV+지/EC
않다가	않/VX+다가/EC
이제야	이제야/MAG
불법	불법/NNG
운운하며	운운/NNG+하/XSV+며/EC
수사하는	수사/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
정치적	정치/NNG+적/XSN
의도가	의도/NNG+가/JKS
있는	있/VA+는/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


