# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.95
metadata : {}


# id : NWRW1800000054.95.1.1
첫사랑 바이올린, 이상형 비올라… 둘 다 포기 못 해요

첫사랑	첫사랑/NNG
바이올린,	바이올린/NNG+,/SP
이상형	이상/NNG+형/XSN
비올라…	비올라/NNG+…/SE
둘	둘/NR
다	다/MAG
포기	포기/NNG
못	못/MAG
해요	하/VV+아요/EF


# id : NWRW1800000054.95.2.1
두 악기로 국제 콩쿠르 휩쓴 이유라, 오늘 LG아트센터 리사이틀

두	두/MMN
악기로	악기/NNG+로/JKB
국제	국제/NNG
콩쿠르	콩쿠르/NNG
휩쓴	휩쓸/VV+ㄴ/ETM
이유라,	이유라/NNP+,/SP
오늘	오늘/NNG
LG아트센터	LG아트센터/NNP
리사이틀	리사이틀/NNG


# id : NWRW1800000054.95.3.1
20년째 바이올린과 비올라를 같이 들고 다니는 연주자가 있다.

20년째	20/SN+년/NNB+째/XSN
바이올린과	바이올린/NNG+과/JC
비올라를	비올라/NNG+를/JKO
같이	같이/MAG
들고	들/VV+고/EC
다니는	다니/VV+는/ETM
연주자가	연주자/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.95.3.2
바이올리니스트이자 비올리스트인 이유라(32).

바이올리니스트이자	바이올리니스트/NNG+이/VCP+자/EC
비올리스트인	비올리스트/NNG+이/VCP+ㄴ/ETM
이유라(32).	이유라/NNP+(/SS+32/SN+)/SS+./SF


# id : NWRW1800000054.95.3.3
두 악기를 모두 들고 서울에 온 그녀는 22일 LG아트센터에서 독주회를 연다.

두	두/MMN
악기를	악기/NNG+를/JKO
모두	모두/MAG
들고	들/VV+고/EC
서울에	서울/NNP+에/JKB
온	오/VV+ㄴ/ETM
그녀는	그녀/NP+는/JX
22일	22/SN+일/NNB
LG아트센터에서	LG아트센터/NNP+에서/JKB
독주회를	독주회/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.95.3.4
주제는 '판타지'.

주제는	주제/NNG+는/JX
'판타지'.	'/SS+판타지/NNG+'/SS+./SF


# id : NWRW1800000054.95.3.5
