# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.299
metadata : {}


# id : NWRW1800000028.299.1.1
‘경주 원원사 쌍탑’ 1930년대 발굴 사진 공개

‘경주	‘/SS+경주/NNP
원원사	원원사/NNP
쌍탑’	쌍탑/NNG+’/SS
1930년대	1930/SN+년대/NNB
발굴	발굴/NNG
사진	사진/NNG
공개	공개/NNG


# id : NWRW1800000028.299.2.1
통일신라시대 주요 석탑 중 하나인 경북 경주시 외동읍 모화리 원원사터 3층 쌍탑(보물 1429호)이 일제 강점기인 1930년대 발굴·복원되는 광경을 담은 희귀사진(왼쪽)과 도면이 발견됐다.

통일신라시대	통일신라/NNP+시대/NNG
주요	주요/NNG
석탑	석탑/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
경북	경북/NNP
경주시	경주시/NNP
외동읍	외동읍/NNP
모화리	모화리/NNP
원원사터	원원사/NNP+터/NNG
3층	3/SN+층/NNG
쌍탑(보물	쌍탑/NNG+(/SS+보물/NNG
1429호)이	1429/SN+호/NNB+)/SS+이/JKS
일제	일제/NNG
강점기인	강점기/NNG+이/VCP+ㄴ/ETM
1930년대	1930/SN+년대/NNB
발굴·복원되는	발굴/NNG+·/SP+복원/NNG+되/XSV+는/ETM
광경을	광경/NNG+을/JKO
담은	담/VV+은/ETM
희귀사진(왼쪽)과	희귀/NNG+사진/NNG+(/SS+왼쪽/NNG+)/SS+과/JC
도면이	도면/NNG+이/JKS
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.299.3.1
최근 나온 계간지 <한국의 고고학> 여름호는 30년대 당시 허물어져 있던 원원사 쌍탑을 일본의 건축사 연구자인 노세 우시조와 인부들이 조사·복원하는 과정을 담은 유리건판 사진과 도면 10여 장을 발굴해 소개했다.

최근	최근/MAG
나온	나오/VV+ㄴ/ETM
계간지	계간지/NNG
<한국의	</SS+한국/NNP+의/JKG
고고학>	고고학/NNG+>/SS
여름호는	여름/NNG+호/NNB+는/JX
30년대	30/SN+년대/NNB
당시	당시/NNG
허물어져	허물어지/VV+어/EC
있던	있/VX+던/ETM
원원사	원원사/NNP
쌍탑을	쌍탑/NNG+을/JKO
일본의	일본/NNP+의/JKG
건축사	건축사/NNG
연구자인	연구자/NNG+이/VCP+ㄴ/ETM
노세	노세/NNP
우시조와	우시조/NNP+와/JC
인부들이	인부/NNG+들/XSN+이/JKS
조사·복원하는	조사/NNG+·/SP+복원/NNG+하/XSV+는/ETM
과정을	과정/NNG+을/JKO
담은	담/VV+은/ETM
유리건판	유리/NNG+건판/NNG
사진과	사진/NNG+과/JC
도면	도면/NNG
10여	10/SN+여/XSN
장을	장/NNB+을/JKO
발굴해	발굴/NNG+하/XSV+아/EC
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.299.3.2
이 사진, 도면들은 재일동포 연구자인 가종수 일본 슈지스대학 대학원교수가 일본 나라시의 한 사진회사에서 찾아낸 것들로 당시 탑의 조사·복원 과정을 찍은 유일한 자료다.

이	이/MMD
사진,	사진/NNG+,/SP
도면들은	도면/NNG+들/XSN+은/JX
재일동포	재일/NNG+동포/NNG
연구자인	연구자/NNG+이/VCP+ㄴ/ETM
가종수	가종수/NNP
일본	일본/NNP
슈지스대학	슈지스대학/NNP
대학원교수가	대학원/NNG+교수/NNG+가/JKS
나라시의	나라시/NNP+의/JKG
한	한/MMN
사진회사에서	사진/NNG+회사/NNG+에서/JKB
찾아낸	찾아내/VV+ㄴ/ETM
것들로	것/NNB+들/XSN+로/JKB
당시	당시/NNG
탑의	탑/NNG+의/JKG
조사·복원	조사/NNG+·/SP+복원/NNG
과정을	과정/NNG+을/JKO
찍은	찍/VV+은/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
자료다.	자료/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.299.3.3
이밖에 가 교수는 30년대 경주 황복사터와 헌덕왕릉 십이지신상 등의 조사 당시 사진들도 함께 공개했다.

이밖에	이/NP+밖/NNG+에/JKB
가	가/NNG
교수는	교수/NNG+는/JX
30년대	30/SN+년대/NNB
경주	경주/NNP
황복사터와	황복사/NNP+터/NNG+와/JC
헌덕왕릉	헌덕왕릉/NNG
십이지신상	십이지/NNG+신상/NNG
등의	등/NNB+의/JKG
조사	조사/NNG
당시	당시/NNG
사진들도	사진/NNG+들/XSN+도/JX
함께	함께/MAG
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.299.4.1
노세 우시조는 1926년 구스타프 아돌프 스웨덴 황태자를 수행해 경주 유적을 방문한 이래 31년까지 조선에서 신라, 고려 왕릉과 경주 황복사탑, 원원사탑, 구례 화엄사 석탑, 고대 십이지상 등을 조사했다.

노세	노세/NNP
우시조는	우시조/NNP+는/JX
1926년	1926/SN+년/NNB
구스타프	구스타프/NNP
아돌프	아돌프/NNP
스웨덴	스웨덴/NNP
황태자를	황태자/NNG+를/JKO
수행해	수행/NNG+하/XSV+아/EC
경주	경주/NNP
유적을	유적/NNG+을/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
31년까지	31/SN+년/NNB+까지/JX
조선에서	조선/NNP+에서/JKB
신라,	신라/NNP+,/SP
고려	고려/NNP
왕릉과	왕릉/NNG+과/JKB
황복사탑,	황복사/NNP+탑/NNG+,/SP
원원사탑,	원원사/NNP+탑/NNG+,/SP
구례	구례/NNP
화엄사	화엄사/NNP
석탑,	석탑/NNG+,/SP
고대	고대/NNG
십이지상	십이지상/NNG
등을	등/NNB+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.299.4.2
국내 학계에는 1931년 원원사 석탑을 복원한 주역으로 알려져 있다.

국내	국내/NNG
학계에는	학계/NNG+에/JKB+는/JX
1931년	1931/SN+년/NNB
원원사	원원사/NNP
석탑을	석탑/NNG+을/JKO
복원한	복원/NNG+하/XSV+ㄴ/ETM
주역으로	주역/NNG+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


