# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.38
metadata : {}


# id : NWRW1800000052.38.1.1
금융위, 한은 총재 가계부채 경고에 “문제없다”

금융위,	금융위/NNG+,/SP
한은	한은/NNP
총재	총재/NNG
가계부채	가계/NNG+부채/NNG
경고에	경고/NNG+에/JKB
“문제없다”	“/SS+문제없/VA+다/EF+”/SS


# id : NWRW1800000052.38.2.1
보도자료 내 “여신심사 가이드라인으로 증가세 꺾여”

보도자료	보도/NNG+자료/NNG
내	내/VV+어/EC
“여신심사	“/SS+여신/NNG+심사/NNG
가이드라인으로	가이드라인/NNG+으로/JKB
증가세	증가세/NNG
꺾여”	꺾이/VV+어/EF+”/SS


# id : NWRW1800000052.38.3.1
한은 “가계부채 증가세는 숫자가 말해…대책 필요”

한은	한은/NNP
“가계부채	“/SS+가계/NNG+부채/NNG
증가세는	증가세/NNG+는/JX
숫자가	숫자/NNG+가/JKS
말해…대책	말/NNG+하/XSV+아/EC+…/SE+대책/NNG
필요”	필요/NNG+”/SS


# id : NWRW1800000052.38.4.1
한국은행 총재가 가계부채 증가세와 관련해 정부 조처가 사실상 미흡하다는 평가를 내린 것에 대해 금융위원회가 이례적으로 공개 반박하고 나섰다.

한국은행	한국은행/NNP
총재가	총재/NNG+가/JKS
가계부채	가계/NNG+부채/NNG
증가세와	증가세/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
정부	정부/NNG
조처가	조처/NNG+가/JKS
사실상	사실/NNG+상/XSN
미흡하다는	미흡/NNG+하/XSA+다는/ETM
평가를	평가/NNG+를/JKO
내린	내리/VV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
금융위원회가	금융/NNG+위원회/NNG+가/JKS
이례적으로	이례/NNG+적/XSN+으로/JKB
공개	공개/NNG
반박하고	반박/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.38.5.1
금융위는 12일 보도 참고자료를 내어 “여신심사 가이드라인으로 가계부채 증가세가 꺾였다”고 밝혔다.

금융위는	금융위/NNG+는/JX
12일	12/SN+일/NNB
보도	보도/NNG
참고자료를	참고/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“여신심사	“/SS+여신/NNG+심사/NNG
가이드라인으로	가이드라인/NNG+으로/JKB
가계부채	가계/NNG+부채/NNG
증가세가	증가세/NNG+가/JKS
꺾였다”고	꺾이/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.38.5.2
전날 이주열 한은 총재가 “(앞서 정부 조처의) 요지는 대출심사를 좀 더 엄격히 까다롭게 하자는 것인데 아직 가시적인 성과가 나타나고 있지 않은 것도 사실”이라고 말한 것(<한겨레> 8월12일치 19면)에 대한 반박인 셈이다.

전날	전날/NNG
이주열	이주열/NNP
한은	한은/NNP
총재가	총재/NNG+가/JKS
“(앞서	“/SS+(/SS+앞서/MAG
정부	정부/NNG
조처의)	조처/NNG+의/JKG+)/SS
요지는	요지/NNG+는/JX
대출심사를	대출/NNG+심사/NNG+를/JKO
좀	좀/MAG
더	더/MAG
엄격히	엄격히/MAG
까다롭게	까다롭/VA+게/EC
하자는	하/VX+자는/ETM
것인데	것/NNB+이/VCP+ㄴ데/EC
아직	아직/MAG
가시적인	가시/NNG+적/XSN+이/VCP+ㄴ/ETM
성과가	성과/NNG+가/JKS
나타나고	나타나/VV+고/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
것도	것/NNB+도/JX
사실”이라고	사실/NNG+”/SS+이라고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것(<한겨레>	것/NNB+(/SS+</SS+한겨레/NNP+>/SS
8월12일치	8/SN+월/NNB+12/SN+일/NNB+치/NNB
19면)에	19/SN+면/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
반박인	반박/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.38.5.3
여신심사 가이드라인은 주택담보대출에 앞서 빚상환 능력에 대한 심사를 더 깐깐하게 하는 대출 규제이다.

여신심사	여신/NNG+심사/NNG
가이드라인은	가이드라인/NNG+은/JX
