# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.460
metadata : {}


# id : NWRW1800000022.460.1.1
[수도권] 임대주택 7개 단지에 태양광 발전시설

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
임대주택	임대/NNG+주택/NNG
7개	7/SN+개/NNB
단지에	단지/NNG+에/JKB
태양광	태양광/NNG
발전시설	발전/NNG+시설/NNG


# id : NWRW1800000022.460.2.1
서울시는 내년 임대주택 7개 단지에 태양광 발전시설을 설치하기로 했다.

서울시는	서울시/NNP+는/JX
내년	내년/NNG
임대주택	임대/NNG+주택/NNG
7개	7/SN+개/NNB
단지에	단지/NNG+에/JKB
태양광	태양광/NNG
발전시설을	발전/NNG+시설/NNG+을/JKO
설치하기로	설치/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.460.3.1
서울시는 24일 "내년에 31억원을 들여 중랑구 면목, 신내10, 신내12와 양천구 신트리2, 신정학마을2, 강남구 대치1, 수서1 단지 임대주택에 50㎾ 규모 공용전력용 태양광 발전시설을 설치할 계획"이라고 말했다.

서울시는	서울시/NNP+는/JX
24일	24/SN+일/NNB
"내년에	"/SS+내년/NNG+에/JKB
31억원을	31/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
중랑구	중랑구/NNP
면목,	면목/NNP+,/SP
신내10,	신내/NNP+10/SN+,/SP
신내12와	신내/NNP+12/SN+와/JC
양천구	양천구/NNP
신트리2,	신트리/NNP+2/SN+,/SP
신정학마을2,	신정학마을/NNP+2/SN+,/SP
강남구	강남구/NNP
대치1,	대치/NNP+1/SN+,/SP
수서1	수서/NNP+1/SN
단지	단지/MAG
임대주택에	임대/NNG+주택/NNG+에/JKB
50㎾	50/SN+㎾/SW
규모	규모/NNG
공용전력용	공용/NNG+전력/NNG+용/XSN
태양광	태양광/NNG
발전시설을	발전/NNG+시설/NNG+을/JKO
설치할	설치/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.460.3.2
이들 단지에 설치되는 발전기 용량을 합하면 총 350㎾로 연간 약 447㎿h 전력을 생산, 총 3600만원의 전기요금을 아낄 수 있다.

이들	이/NP+들/XSN
단지에	단지/NNG+에/JKB
설치되는	설치/NNG+되/XSV+는/ETM
발전기	발전기/NNG
용량을	용량/NNG+을/JKO
합하면	합/NNG+하/XSV+면/EC
총	총/MMA
350㎾로	350/SN+㎾/SW+로/JKB
연간	연간/NNG
약	약/MMA
447㎿h	447/SN+㎿h/SW
전력을	전력/NNG+을/JKO
생산,	생산/NNG+,/SP
3600만원의	3600/SN+만/NR+원/NNB+의/JKG
전기요금을	전기/NNG+요금/NNG+을/JKO
아낄	아끼/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.460.4.1
이에 앞서 지난해에는 노원구 월계사슴1과 중계3단지 등 2곳, 올해는 강서구 가양4, 가양5, 방화2-1, 방화11, 노원구 공릉1 단지 등 5곳에 태양광 발전시설이 설치됐다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
지난해에는	지난해/NNG+에/JKB+는/JX
노원구	노원구/NNP
월계사슴1과	월계사슴/NNP+1/SN+과/JC
중계3단지	중계/NNP+3/SN+단지/NNG
등	등/NNB
2곳,	2/SN+곳/NNG+,/SP
올해는	올해/NNG+는/JX
강서구	강서구/NNP
가양4,	가양/NNP+4/SN+,/SP
가양5,	가양/NNP+5/SN+,/SP
방화2-1,	방화/NNP+2/SN+-/SO+1/SN+,/SP
방화11,	방화/NNP+11/SN+,/SP
공릉1	공릉/NNP+1/SN
단지	단지/NNG
5곳에	5/SN+곳/NNG+에/JKB
태양광	태양광/NNG
발전시설이	발전/NNG+시설/NNG+이/JKS
설치됐다.	설치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.460.5.1
시는 또 43억원을 투자, 어린이집 12개소와 노인복지시설 5개소 등 복지시설 30곳에 내년 총 223㎾ 규모 태양광 발전기와 2103㎡ 태양열 집열판, 440RT(1RT는 섭씨 0도 물 1t을 냉동시키는 냉각열량) 규모 지열 냉난방시스템을 설치할 계획이다.

시는	시/NNG+는/JX
또	또/MAG
43억원을	43/SN+억/NR+원/NNB+을/JKO
투자,	투자/NNG+,/SP
어린이집	어린이집/NNG
12개소와	12/SN+개소/NNB+와/JC
노인복지시설	노인/NNG+복지/NNG+시설/NNG
5개소	5/SN+개소/NNB
등	등/NNB
복지시설	복지/NNG+시설/NNG
30곳에	30/SN+곳/NNG+에/JKB
내년	내년/NNG
총	총/MMA
223㎾	223/SN+㎾/SW
규모	규모/NNG
태양광	태양광/NNG
발전기와	발전기/NNG+와/JC
2103㎡	2103/SN+㎡/SW
태양열	태양열/NNG
집열판,	집열판/NNG+,/SP
440RT(1RT는	440/SN+RT/SW+(/SS+1/SN+RT/SW+는/JX
섭씨	섭씨/NNG
0도	0/SN+도/NNB
물	물/NNG
1t을	1/SN+t/SW+을/JKO
냉동시키는	냉동/NNG+시키/XSV+는/ETM
냉각열량)	냉각/NNG+열량/NNG+)/SS
지열	지열/NNG
냉난방시스템을	냉난방/NNG+시스템/NNG+을/JKO
설치할	설치/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.460.5.2
마포청소년수련관 등 공공시설 60곳에도 총 1626㎾급 태양광 발전기와 606㎡ 태양열 집열기, 170RT급 지열 시스템을 보급할 계획이다.

마포청소년수련관	마포청소년수련관/NNP
등	등/NNB
공공시설	공공시설/NNG
60곳에도	60/SN+곳/NNG+에/JKB+도/JX
총	총/MMA
1626㎾급	1626/SN+㎾/SW+급/NNG
태양광	태양광/NNG
발전기와	발전기/NNG+와/JC
606㎡	606/SN+㎡/SW
태양열	태양열/NNG
집열기,	집열기/NNG+,/SP
170RT급	170/SN+RT/SW+급/NNG
지열	지열/NNG
시스템을	시스템/NNG+을/JKO
보급할	보급/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


