# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.214
metadata : {}


# id : NWRW1800000033.214.1.1
[휴지통]성남시 ‘트위터 의사당’?

[휴지통]성남시	[/SS+휴지통/NNG+]/SS+성남시/NNP
‘트위터	‘/SS+트위터/NNP
의사당’?	의사당/NNG+’/SS+?/SF


# id : NWRW1800000033.214.2.1
李시장, 시의원에 토론 제안… 정책 놓고 반박-재반박 설전

李시장,	李/SH+시장/NNG+,/SP
시의원에	시/NNG+의원/NNG+에/JKB
토론	토론/NNG
제안…	제안/NNG+…/SE
정책	정책/NNG
놓고	놓/VV+고/EC
반박-재반박	반박/NNG+-/SO+재/XPN+반박/NNG
설전	설전/NNG


# id : NWRW1800000033.214.3.1
트위터가 시장과 시의원의 말싸움 공간으로도 활용되고 있다.

트위터가	트위터/NNP+가/JKS
시장과	시장/NNG+과/JC
시의원의	시/NNG+의원/NNG+의/JKG
말싸움	말싸움/NNG
공간으로도	공간/NNG+으로/JKB+도/JX
활용되고	활용/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.214.3.2
이재명 경기 성남시장은 5일 시의회 다수당인 새누리당협의회 이영의 대표의원에게 공개토론을 제안했다.

이재명	이재명/NNP
경기	경기/NNP
성남시장은	성남시장/NNG+은/JX
5일	5/SN+일/NNB
시의회	시/NNG+의회/NNG
다수당인	다수당/NNG+이/VCP+ㄴ/ETM
새누리당협의회	새누리당협의회/NNP
이영의	이영의/NNP
대표의원에게	대표/NNG+의원/NNG+에게/JKB
공개토론을	공개/NNG+토론/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.214.3.3
시 주요 현안인 도시개발공사 설립과 정자동 공공청사 터 매각 등을 논의하자는 것.

시	시/NNG
주요	주요/NNG
현안인	현안/NNG+이/VCP+ㄴ/ETM
도시개발공사	도시/NNG+개발/NNG+공사/NNG
설립과	설립/NNG+과/JC
정자동	정자동/NNP
공공청사	공공/NNG+청사/NNG
터	터/NNG
매각	매각/NNG
등을	등/NNB+을/JKO
논의하자는	논의/NNG+하/XSV+자는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.214.3.4
새누리당 측이 반대하는 것에 대한 반발로 비쳤다.

새누리당	새누리당/NNP
측이	측/NNB+이/JKS
반대하는	반대/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
반발로	반발/NNG+로/JKB
비쳤다.	비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.214.4.1
이 의원은 트위터에 “대통령이 국회를 상대로 토론하자고 한 적 있나요?

이	이/NNP
의원은	의원/NNG+은/JX
트위터에	트위터/NNP+에/JKB
“대통령이	“/SS+대통령/NNG+이/JKS
국회를	국회/NNG+를/JKO
상대로	상대/NNG+로/JKB
토론하자고	토론/NNG+하/XSV+자고/EC
한	하/VV+ㄴ/ETM
적	적/NNB
있나요?	있/VA+나/EF+요/JX+?/SF


# id : NWRW1800000033.214.4.2
시장이 의회에 출석해서 발언하면 됩니다”라고 올려 반박했다.

시장이	시장/NNG+이/JKS
의회에	의회/NNG+에/JKB
출석해서	출석/NNG+하/XSV+아서/EC
발언하면	발언/NNG+하/XSV+면/EC
됩니다”라고	되/VV+ㅂ니다/EF+”/SS+라고/JKQ
올려	올리/VV+어/EC
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.214.4.3
이에 이 시장은 “국회가 다수당 등원 거부 같은 상식 밖의 일을 하던가요?”라고 재반박하면서 논란이 커졌다.

이에	이/NP+에/JKB
이	이/NNP
시장은	시장/NNG+은/JX
“국회가	“/SS+국회/NNG+가/JKS
다수당	다수당/NNG
등원	등원/NNG
거부	거부/NNG
같은	같/VA+은/ETM
상식	상식/NNG
밖의	밖/NNG+의/JKG
일을	일/NNG+을/JKO
하던가요?”라고	하/VV+던가/EF+요/JX+?/SF+”/SS+라고/JKQ
재반박하면서	재/XPN+반박/NNG+하/XSV+면서/EC
논란이	논란/NNG+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.214.4.4
새누리당 측이 일부 안건이 통과되지 않도록 본회의 등원을 두 차례 집단 거부한 것을 지적한 것.

새누리당	새누리당/NNP
측이	측/NNB+이/JKS
일부	일부/NNG
안건이	안건/NNG+이/JKS
통과되지	통과/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
본회의	본회의/NNG
등원을	등원/NNG+을/JKO
두	두/MMN
차례	차례/NNG
집단	집단/NNG
거부한	거부/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
지적한	지적/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.214.5.1
이 의원이 이어 “성남 미래를 위한 결정.

이	이/NNP
의원이	의원/NNG+이/JKS
이어	이어/MAG
“성남	“/SS+성남/NNP
미래를	미래/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
결정.	결정/NNG+./SF


# id : NWRW1800000033.214.5.2
좀 더 검토하고…”라며 신중론을 펴자 이 시장은 “1년간 4차례 부결하고도 아직도 이해 못 해 설명이 필요하나요”라고 되받아쳤다.

좀	좀/MAG
더	더/MAG
검토하고…”라며	검토/NNG+하/XSV+고/EC+…/SE+”/SS+이/VCP+라며/EC
신중론을	신중/NNG+론/XSN+을/JKO
펴자	펴/VV+자/EC
이	이/NNP
시장은	시장/NNG+은/JX
“1년간	“/SS+1/SN+년/NNB+간/XSN
4차례	4/SN+차례/NNG
부결하고도	부결/NNG+하/XSV+고/EC+도/JX
아직도	아직/MAG+도/JX
이해	이해/NNG
못	못/MAG
해	하/VV+아/EC
