# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.335
metadata : {}


# id : NWRW1800000046.335.1.1
中 주도 AIIB(아시아인프라투자은행)에 47개국 참여… 韓國, 지분율 5% 확보 힘들 듯

中	中/SH
주도	주도/NNG
AIIB(아시아인프라투자은행)에	AIIB/SL+(/SS+아시아인프라투자은행/NNP+)/SS+에/JKB
47개국	47/SN+개국/NNB
참여…	참여/NNG+…/SE
韓國,	韓國/SH+,/SP
지분율	지분/NNG+율/XSN
5%	5/SN+%/SW
확보	확보/NNG
힘들	힘들/VA+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000046.335.2.1
美, 불참 뜻 밝혀… 日은 수개월내 합류할 가능성

美,	美/SH+,/SP
불참	불참/NNG
뜻	뜻/NNG
밝혀…	밝히/VV+어/EF+…/SE
日은	日/SH+은/JX
수개월내	수개월/NNG+내/NNB
합류할	합류/NNG+하/XSV+ㄹ/ETM
가능성	가능/NNG+성/XSN


# id : NWRW1800000046.335.3.1
중국이 주도하는 아시아인프라투자은행(AIIB)의 창립 회원국이 최소 47개국에 달할 것으로 집계됐다.

중국이	중국/NNP+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
아시아인프라투자은행(AIIB)의	아시아인프라투자은행/NNP+(/SS+AIIB/SL+)/SS+의/JKG
창립	창립/NNG
회원국이	회원국/NNG+이/JKS
최소	최소/NNG
47개국에	47/SN+개국/NNB+에/JKB
달할	달하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.335.4.1
중국 재정부 홈페이지에 따르면, 신청 마감일인 31일 오후 6시 기준으로 참가 신청서를 제출한 국가는 46개국이다.

중국	중국/NNP
재정부	재정부/NNG
홈페이지에	홈페이지/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
신청	신청/NNG
마감일인	마감일/NNG+이/VCP+ㄴ/ETM
31일	31/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
기준으로	기준/NNG+으로/JKB
참가	참가/NNG
