# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.155
metadata : {}


# id : NWRW1800000028.155.1.1
누가 ‘아이폰 노동자’ 자살 내모나

누가	누구/NP+가/JKS
‘아이폰	‘/SS+아이폰/NNP
노동자’	노동자/NNG+’/SS
자살	자살/NNG
내모나	내몰/VV+나/EF


# id : NWRW1800000028.155.2.1
올해 들어서만 벌써 8번째다.

올해	올해/NNG
들어서만	들/VV+어서/EC+만/JX
벌써	벌써/MAG
8번째다.	8/SN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.155.3.1
중국 광둥성 선전에 있는 대만계 전자 대기업 폭스콘(중국명 푸스캉) 공장의 24살 여성 노동자 주천밍이 11일 밤 아파트에서 뛰어내려 숨졌다.

중국	중국/NNP
광둥성	광둥성/NNP
선전에	선전/NNP+에/JKB
있는	있/VA+는/ETM
대만계	대만/NNP+계/XSN
전자	전자/NNG
대기업	대/XPN+기업/NNG
폭스콘(중국명	폭스콘/NNP+(/SS+중국/NNP+명/NNG
푸스캉)	푸스캉/NNP+)/SS
공장의	공장/NNG+의/JKG
24살	24/SN+살/NNB
여성	여성/NNG
노동자	노동자/NNG
주천밍이	주천밍/NNP+이/JKS
11일	11/SN+일/NNB
밤	밤/NNG
아파트에서	아파트/NNG+에서/JKB
뛰어내려	뛰어내리/VV+어/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.155.3.2
지난 6일 같은 회사의 24살 노동자 루신이 기숙사 6층에서 뛰어내린 지 닷새 만이다.

지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
같은	같/VA+은/ETM
회사의	회사/NNG+의/JKG
24살	24/SN+살/NNB
노동자	노동자/NNG
루신이	루신/NNP+이/JKS
기숙사	기숙사/NNG
6층에서	6/SN+층/NNG+에서/JKB
뛰어내린	뛰어내리/VV+ㄴ/ETM
지	지/NNB
닷새	닷새/NNG
만이다.	만/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.155.3.3
이 공장에선 올 들어 18~24살의 젊은 노동자 8명이 투신자살을 시도해, 6명이 숨졌고 2명은 크게 다쳤다.

이	이/MMD
공장에선	공장/NNG+에서/JKB+ㄴ/JX
올	올/NNG
들어	들/VV+어/EC
18~24살의	18/SN+~/SO+24/SN+살/NNB+의/JKG
젊은	젊/VA+은/ETM
노동자	노동자/NNG
8명이	8/SN+명/NNB+이/JKS
투신자살을	투신자살/NNG+을/JKO
시도해,	시도/NNG+하/XSV+아/EC+,/SP
6명이	6/SN+명/NNB+이/JKS
숨졌고	숨지/VV+었/EP+고/EC
2명은	2/SN+명/NNB+은/JX
크게	크/VA+게/EC
다쳤다.	다치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.155.4.1
중국 내에선 폭스콘 노동자들의 잇따른 자살에 대한 비난 여론이 고조되고 있다.

중국	중국/NNP
내에선	내/NNB+에서/JKB+ㄴ/JX
폭스콘	폭스콘/NNP
노동자들의	노동자/NNG+들/XSN+의/JKG
