# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.34
metadata : {}


# id : NWRW1800000049.34.1.1
[R&D가 희망이다]초기부터 사업화 최종 목표로 연구 개발

[R&D가	[/SS+R/SL+&/SW+D/SL+가/JKS
희망이다]초기부터	희망/NNG+이/VCP+다/EF+]/SS+초기/NNG+부터/JX
사업화	사업/NNG+화/XSN
최종	최종/NNG
목표로	목표/NNG+로/JKB
연구	연구/NNG
개발	개발/NNG


# id : NWRW1800000049.34.2.1
SK그룹이 지속적으로 성장할 수 있던 배경에는 무엇보다 연구개발(R&D) 강화가 큰 역할을 하고 있다.

SK그룹이	SK그룹/NNP+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
성장할	성장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있던	있/VA+던/ETM
배경에는	배경/NNG+에/JKB+는/JX
무엇보다	무엇/NP+보다/JKB
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
강화가	강화/NNG+가/JKS
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.34.2.2
SK는 ‘신개념 R&D’를 바탕으로 새로운 부가가치를 창출하기 위한 기술력을 꾸준히 끌어올리고 있다.

SK는	SK/SL+는/JX
‘신개념	‘/SS+신/XPN+개념/NNG
R&D’를	R/SL+&/SW+D/SL+’/SS+를/JKO
바탕으로	바탕/NNG+으로/JKB
새로운	새롭/VA+ㄴ/ETM
부가가치를	부가/NNG+가치/NNG+를/JKO
창출하기	창출/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
기술력을	기술력/NNG+을/JKO
꾸준히	꾸준히/MAG
끌어올리고	끌어올리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.34.2.3
SK의 신개념 R&D는 ‘연구를 위한 연구’가 아닌 연구개발 초기 단계부터 사업화를 최종 목표로 두고 연구개발을 진행하는 것이 특징이다.

SK의	SK/SL+의/JKG
신개념	신/XPN+개념/NNG
R&D는	R/SL+&/SW+D/SL+는/JX
‘연구를	‘/SS+연구/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
연구’가	연구/NNG+’/SS+가/JKC
아닌	아니/VCN+ㄴ/ETM
연구개발	연구/NNG+개발/NNG
초기	초기/NNG
단계부터	단계/NNG+부터/JX
사업화를	사업/NNG+화/XSN+를/JKO
최종	최종/NNG
목표로	목표/NNG+로/JKB
두고	두/VV+고/EC
연구개발을	연구/NNG+개발/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
