# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.331
metadata : {}


# id : NWRW1800000024.331.1.1
100년전 일본인 기행문 “울릉도는 조선해”

100년전	100/SN+년/NNB+전/NNG
일본인	일본인/NNG
기행문	기행문/NNG
“울릉도는	“/SS+울릉도/NNP+는/JX
조선해”	조선해/NNP+”/SS


# id : NWRW1800000024.331.2.1
러-일전쟁과 을사조약 직후에도 일본인들이 동해를 ‘조선해’로 불렀다는 사실이 한 기행문에서 확인됐다.

러-일전쟁과	러/NNP+-/SO+일/NNP+전쟁/NNG+과/JC
을사조약	을사조약/NNG
직후에도	직후/NNG+에/JKB+도/JX
일본인들이	일본인/NNG+들/XSN+이/JKS
동해를	동해/NNP+를/JKO
‘조선해’로	‘/SS+조선해/NNP+’/SS+로/JKB
불렀다는	부르/VV+었/EP+다는/ETM
사실이	사실/NNG+이/JKS
한	한/MMN
기행문에서	기행문/NNG+에서/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.331.3.1
울산대 역사문화학과 허영란 교수는 최근 일본 국회도서관에서 일본인 유명 기행작가 에미 스이인(1869~1935)이 쓴 <실지탐험 포경선>이란 제목의 책에서 1906년에도 일본인들이 동해를 조선해로 불렀다는 사실을 확인했다고 13일 밝혔다.

울산대	울산대/NNP
역사문화학과	역사/NNG+문화학과/NNG
허영란	허영란/NNP
교수는	교수/NNG+는/JX
최근	최근/MAG
일본	일본/NNP
국회도서관에서	국회도서관/NNP+에서/JKB
일본인	일본인/NNG
유명	유명/NNG
기행작가	기행/NNG+작가/NNG
에미	에미/NNP
스이인(1869~1935)이	스이인/NNP+(/SS+1869/SN+~/SO+1935/SN+)/SS+이/JKS
쓴	쓰/VV+ㄴ/ETM
<실지탐험	</SS+실지/NNG+탐험/NNG
포경선>이란	포경선/NNG+>/SS+이/VCP+란/ETM
제목의	제목/NNG+의/JKG
책에서	책/NNG+에서/JKB
1906년에도	1906/SN+년/NNB+에/JKB+도/JX
일본인들이	일본인/NNG+들/XSN+이/JKS
동해를	동해/NNP+를/JKO
조선해로	조선해/NNP+로/JKB
불렀다는	부르/VV+었/EP+다는/ETM
사실을	사실/NNG+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
13일	13/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.331.4.1
에미 스이인이 쓴 이 책의 내용을 보면, “1906년 4월19일 오후 4시.

에미	에미/NNP
스이인이	스이인/NNP+이/JKS
쓴	쓰/VV+ㄴ/ETM
이	이/MMD
책의	책/NNG+의/JKG
내용을	내용/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
“1906년	“/SS+1906/SN+년/NNB
4월19일	4/SN+월/NNB+19/SN+일/NNB
오후	오후/NNG
4시.	4/SN+시/NNB+./SF


# id : NWRW1800000024.331.4.2
‘조선해’의 울릉도 남서쪽 24마일 해상.

‘조선해’의	‘/SS+조선해/NNP+’/SS+의/JKG
울릉도	울릉도/NNP
남서쪽	남서쪽/NNG
24마일	24/SN+마일/NNB
해상.	해상/NNG+./SF


# id : NWRW1800000024.331.4.3
선장이 갑자기 흥분하며 ‘고래 떼, 고래 떼다’라고 외친다”라는 대목 등 수차례 걸쳐 현재의 동해를 ‘조선해’로 표기한 내용이 나온다.

선장이	선장/NNG+이/JKS
갑자기	갑자기/MAG
흥분하며	흥분/NNG+하/XSV+며/EC
‘고래	‘/SS+고래/NNG
떼,	떼/NNG+,/SP
고래	고래/NNG
떼다’라고	떼/NNG+이/VCP+다/EF+’/SS+라고/JKQ
외친다”라는	외치/VV+ㄴ다/EF+”/SS+이/VCP+라는/ETM
대목	대목/NNG
등	등/NNB
수차례	수차례/NNG
걸쳐	걸치/VV+어/EC
현재의	현재/NNG+의/JKG
동해를	동해/NNP+를/JKO
‘조선해’로	‘/SS+조선해/NNP+’/SS+로/JKB
표기한	표기/NNG+하/XSV+ㄴ/ETM
내용이	내용/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.331.4.4
이 작가는 울산 장생포 앞바다는 물론 울릉도 일대의 바다까지 모두 ‘조선해’라고 적었다.

이	이/MMD
작가는	작가/NNG+는/JX
울산	울산/NNP
장생포	장생포/NNP
앞바다는	앞바다/NNG+는/JX
물론	물론/MAG
울릉도	울릉도/NNP
일대의	일대/NNG+의/JKG
바다까지	바다/NNG+까지/JX
모두	모두/MAG
