# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.241
metadata : {}


# id : NWRW1800000033.241.1.1
거인 제물로… 삼성 ‘매직넘버4’ 롯데 꺾고 시즌우승 눈앞

거인	거인/NNG
제물로…	제물/NNG+로/JKB+…/SE
삼성	삼성/NNP
‘매직넘버4’	‘/SS+매직넘버/NNG+4/SN+’/SS
롯데	롯데/NNP
꺾고	꺾/VV+고/EC
시즌우승	시즌/NNG+우승/NNG
눈앞	눈앞/NNG


# id : NWRW1800000033.241.2.1
SK박희수 33홀드 기록… 한시즌 역대 최다 경신

SK박희수	SK/SL+박희수/NNP
33홀드	33/SN+홀드/NNG
기록…	기록/NNG+…/SE
한시즌	한/MMN+시즌/NNG
역대	역대/NNG
최다	최다/NNG
경신	경신/NNG


# id : NWRW1800000033.241.3.1
삼성은 24일 롯데와의 안방 경기에서 8회까지 0-1로 뒤지다 9회에 터진 박한이의 끝내기 2타점 2루타를 앞세워 2-1로 이겼다.

삼성은	삼성/NNP+은/JX
24일	24/SN+일/NNB
롯데와의	롯데/NNP+와/JKB+의/JKG
안방	안방/NNG
경기에서	경기/NNG+에서/JKB
8회까지	8/SN+회/NNB+까지/JX
0-1로	0/SN+-/SO+1/SN+로/JKB
뒤지다	뒤지/VV+다/EC
9회에	9/SN+회/NNB+에/JKB
터진	터지/VV+ㄴ/ETM
박한이의	박한이/NNP+의/JKG
끝내기	끝내기/NNG
2타점	2/SN+타점/NNG
2루타를	2루타/NNG+를/JKO
앞세워	앞세우/VV+어/EC
2-1로	2/SN+-/SO+1/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.3.2
마침 그날 2위 SK가 LG에 발목을 잡히는 바람에 정규시즌 우승 매직넘버는 단번에 ‘2’가 줄어 ‘5’가 됐다.

마침	마침/MAG
그날	그날/NNG
2위	2/SN+위/NNB
SK가	SK/SL+가/JKS
LG에	LG/SL+에/JKB
발목을	발목/NNG+을/JKO
잡히는	잡히/VV+는/ETM
바람에	바람/NNB+에/JKB
정규시즌	정규/NNG+시즌/NNG
우승	우승/NNG
매직넘버는	매직넘버/NNG+는/JX
단번에	단번에/MAG
‘2’가	‘/SS+2/SN+’/SS+가/JKS
줄어	줄/VV+어/EC
‘5’가	‘/SS+5/SN+’/SS+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.3.3
별일 없다면 추석(30일)이 오기 전에 우승 축포를 터뜨릴 수 있을 듯 보였다.

별일	별일/NNG
없다면	없/VA+다면/EC
추석(30일)이	추석/NNG+(/SS+30/SN+일/NNB+)/SS+이/JKS
오기	오/VV+기/ETN
전에	전/NNG+에/JKB
우승	우승/NNG
축포를	축포/NNG+를/JKO
터뜨릴	터뜨리/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
듯	듯/NNB
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.3.4
그러나 성급한 기대였다.

그러나	그러나/MAJ
성급한	성급하/VA+ㄴ/ETM
기대였다.	기대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.241.3.5
삼성은 25일부터 열린 KIA와의 2연전을 모두 내줬다.

삼성은	삼성/NNP+은/JX
25일부터	25/SN+일/NNB+부터/JX
열린	열리/VV+ㄴ/ETM
KIA와의	KIA/SL+와/JKB+의/JKG
2연전을	2/SN+연전/NNG+을/JKO
모두	모두/MAG
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.3.6
그것도 상대 선발 김진우와 윤석민에게 잇달아 완투승을 안겨주는 완패였다.

그것도	그것/NP+도/JX
상대	상대/NNG
선발	선발/NNG
김진우와	김진우/NNP+와/JC
윤석민에게	윤석민/NNP+에게/JKB
잇달아	잇달/VV+아/EC
완투승을	완투/NNG+승/NNG+을/JKO
안겨주는	안기/VV+어/EC+주/VX+는/ETM
완패였다.	완패/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.241.4.1
그랬던 삼성이 모처럼 매직넘버를 줄였다.

그랬던	그렇/VA+었/EP+던/ETM
삼성이	삼성/NNP+이/JKS
모처럼	모처럼/MAG
매직넘버를	매직넘버/NNG+를/JKO
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.241.4.2
사흘 전처럼 롯데가 제물이 됐다.

사흘	사흘/NNG
전처럼	전/NNG+처럼/JKB
