# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.4
metadata : {}


# id : NWRW1800000038.4.1.1
財界 "수정案도 기업 지배구조 흔들어… 전면 백지화가 최선"

財界	財界/SH
"수정案도	"/SS+수정/NNG+案/SH+도/JX
기업	기업/NNG
지배구조	지배/NNG+구조/NNG
흔들어…	흔들/VV+어/EF+…/SE
전면	전면/NNG
백지화가	백지/NNG+화/XSN+가/JKS
최선"	최선/NNG+"/SS


# id : NWRW1800000038.4.2.1
"監査위원 분리선출… 법으로 강제하는 나라 없어"

"監査위원	"/SS+監査/SH+위원/NNG
분리선출…	분리/NNG+선출/NNG+…/SE
법으로	법/NNG+으로/JKB
강제하는	강제/NNG+하/XSV+는/ETM
나라	나라/NNG
없어"	없/VA+어/EF+"/SS


# id : NWRW1800000038.4.3.1
경제단체를 비롯한 재계(財界)는 정부가 논의 중인 상법 개정안에 대해 여전히 반발 기류를 거두지 않고 있다.

경제단체를	경제/NNG+단체/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
재계(財界)는	재계/NNG+(/SS+財界/SH+)/SS+는/JX
정부가	정부/NNG+가/JKS
논의	논의/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
상법	상법/NNG
개정안에	개정안/NNG+에/JKB
대해	대하/VV+아/EC
여전히	여전히/MAG
반발	반발/NNG
기류를	기류/NNG+를/JKO
거두지	거두/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.4.3.2
"수정안조차 기업의 지배구조를 흔들고 경쟁력을 갉아먹는 독소 조항을 담고 있다"며 백지화가 최선이라는 입장이다.

"수정안조차	"/SS+수정안/NNG+조차/JX
기업의	기업/NNG+의/JKG
지배구조를	지배/NNG+구조/NNG+를/JKO
흔들고	흔들/VV+고/EC
경쟁력을	경쟁력/NNG+을/JKO
갉아먹는	갉아먹/VV+는/ETM
독소	독소/NNG
조항을	조항/NNG+을/JKO
담고	담/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
백지화가	백지/NNG+화/XSN+가/JKS
최선이라는	최선/NNG+이/VCP+라는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.4.4.1
이승철 전국경제인연합회 부회장은 23일 "1명이 됐든 여러명이 됐든 감사위원 분리 선출을 법으로 강제하는 나라는 세계 어디에도 없다"면서 "기업의 지배구조는 기업 스스로 선택해야지 정부가 획일적으로 정할 사안이 아니다"고 말했다.

이승철	이승철/NNP
전국경제인연합회	전국경제인연합회/NNP
부회장은	부회장/NNG+은/JX
23일	23/SN+일/NNB
"1명이	"/SS+1/SN+명/NNB+이/JKC
됐든	되/VV+었/EP+든/EC
여러명이	여러/MMN+명/NNB+이/JKC
감사위원	감사/NNG+위원/NNG
분리	분리/NNG
선출을	선출/NNG+을/JKO
법으로	법/NNG+으로/JKB
강제하는	강제/NNG+하/XSV+는/ETM
나라는	나라/NNG+는/JX
세계	세계/NNG
어디에도	어디/NP+에/JKB+도/JX
없다"면서	없/VA+다/EF+"/SS+면서/EC
"기업의	"/SS+기업/NNG+의/JKG
지배구조는	지배/NNG+구조/NNG+는/JX
기업	기업/NNG
스스로	스스로/MAG
선택해야지	선택/NNG+하/XSV+아야지/EC
정부가	정부/NNG+가/JKS
획일적으로	획일적/NNG+으로/JKB
정할	정하/VV+ㄹ/ETM
사안이	사안/NNG+이/JKC
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.4.5.1
그는 "대주주 의결권을 3%로 제한해 외부 세력이 감사위원으로 선임될 수 있도록 하는 것은 감사원장을 야당이 임명하도록 법제화하는 것과 다를 바 없다"면서 "좀 더 심도깊은 논의가 필요하다"고 말했다.

그는	그/NP+는/JX
"대주주	"/SS+대/XPN+주주/NNG
의결권을	의결/NNG+권/XSN+을/JKO
3%로	3/SN+%/SW+로/JKB
제한해	제한/NNG+하/XSV+아/EC
외부	외부/NNG
세력이	세력/NNG+이/JKS
감사위원으로	감사/NNG+위원/NNG+으로/JKB
선임될	선임/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
감사원장을	감사원장/NNG+을/JKO
야당이	야당/NNG+이/JKS
임명하도록	임명/NNG+하/XSV+도록/EC
법제화하는	법제/NNG+화/XSN+하/XSV+는/ETM
것과	것/NNB+과/JKB
다를	다르/VA+ㄹ/ETM
바	바/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
"좀	"/SS+좀/MAG
더	더/MAG
심도깊은	심도/NNG+깊/VA+은/ETM
논의가	논의/NNG+가/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.4.6.1
전수봉 대한상공회의소 조사1본부장도 "수정안은 재계 의견을 일부 수용한 것이지만 받아들이기 어렵긴 마찬가지"라면서 "경영 투명성을 높이는 것이 목적이라면 기존 사외이사제를 보완하는 것도 방법"이라고 말했다.

전수봉	전수봉/NNP
대한상공회의소	대한상공회의소/NNP
조사1본부장도	조사/NNG+1/SN+본부장/NNG+도/JX
"수정안은	"/SS+수정안/NNG+은/JX
재계	재계/NNG
의견을	의견/NNG+을/JKO
일부	일부/NNG
수용한	수용/NNG+하/XSV+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
받아들이기	받아들이/VV+기/ETN
어렵긴	어렵/VA+기/ETN+ㄴ/JX
마찬가지"라면서	마찬가지/NNG+"/SS+이/VCP+라면서/EC
"경영	"/SS+경영/NNG
투명성을	투명/NNG+성/XSN+을/JKO
높이는	높이/VV+는/ETM
것이	것/NNB+이/JKS
목적이라면	목적/NNG+이/VCP+라면/EC
기존	기존/NNG
사외이사제를	사외/NNG+이사/NNG+제/XSN+를/JKO
