# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.317
metadata : {}


# id : NWRW1800000041.317.1.1
與 서울시장 경선 첫 TV토론 연기

與	與/SH
서울시장	서울시장/NNG
경선	경선/NNG
첫	첫/MMN
TV토론	TV/SL+토론/NNG
연기	연기/NNG


# id : NWRW1800000041.317.2.1
당초 7일 예정… 주관사 못정해

당초	당초/NNG
7일	7/SN+일/NNB
예정…	예정/NNG+…/SE
주관사	주관사/NNG
못정해	못/MAG+정하/VV+아/EF


# id : NWRW1800000041.317.3.1
새누리당 서울시장 후보 경선전에 나선 정몽준 의원과 김황식 전 국무총리, 이혜훈 최고위원간 3자 TV토론이 일단 연기됐다.

새누리당	새누리당/NNP
서울시장	서울시장/NNG
후보	후보/NNG
경선전에	경선전/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
정몽준	정몽준/NNP
의원과	의원/NNG+과/JC
김황식	김황식/NNP
전	전/MMD
국무총리,	국무총리/NNG+,/SP
이혜훈	이혜훈/NNP
최고위원간	최고/NNG+위원/NNG+간/NNB
3자	3자/NNG
TV토론이	TV/SL+토론/NNG+이/JKS
일단	일단/MAG
연기됐다.	연기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.317.3.2
새누리당은 6일 공중파와 종합편성방송사 관계자들이 참석한 실무회의를 열어 이같이 결정했다.

새누리당은	새누리당/NNP+은/JX
6일	6/SN+일/NNB
공중파와	공중파/NNG+와/JC
종합편성방송사	종합/NNG+편성/NNG+방송사/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
실무회의를	실무/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
이같이	이/NP+같이/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.317.3.3
당초 새누리당은 서울시당이 주최하는 서울시장 예비후보 토론회를 7일 오후 생중계로 진행할 예정이었다.

당초	당초/NNG
새누리당은	새누리당/NNP+은/JX
서울시당이	서울시/NNP+당/NNG+이/JKS
주최하는	주최/NNG+하/XSV+는/ETM
서울시장	서울시장/NNG
예비후보	예비/NNG+후보/NNG
토론회를	토론회/NNG+를/JKO
7일	7/SN+일/NNB
오후	오후/NNG
생중계로	생/XPN+중계/NNG+로/JKB
진행할	진행/NNG+하/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.317.3.4
하지만 주관 방송사를 어디로 하느냐를 놓고 논란이 불거져 추후 날짜를 잡기로 한 것이다.

하지만	하지만/MAJ
주관	주관/NNG
방송사를	방송사/NNG+를/JKO
어디로	어디/NP+로/JKB
하느냐를	하/VV+느냐/EF+를/JKO
놓고	놓/VV+고/EC
논란이	논란/NNG+이/JKS
불거져	불거지/VV+어/EC
추후	추후/NNG
날짜를	날짜/NNG+를/JKO
잡기로	잡/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.317.4.1
새누리당은 7일 경기도지사 경선후보를 2배수로 압축하는 것을 시작으로 본격적인 경선 레이스에 들어간다.

새누리당은	새누리당/NNP+은/JX
7일	7/SN+일/NNB
경기도지사	경기/NNP+도지사/NNG
경선후보를	경선/NNG+후보/NNG+를/JKO
2배수로	2/SN+배수/NNG+로/JKB
압축하는	압축/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
경선	경선/NNG
레이스에	레이스/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.317.4.2
여론조사에서 앞서고 있는 남경필 후보를 제외한 원유철 정병국 의원과 김영선 전 의원을 대상으로 한 정밀 여론조사를 통해 나머지 1명을 결정한다.

여론조사에서	여론/NNG+조사/NNG+에서/JKB
앞서고	앞서/VV+고/EC
있는	있/VX+는/ETM
남경필	남경필/NNP
후보를	후보/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
원유철	원유철/NNP
정병국	정병국/NNP
의원과	의원/NNG+과/JC
김영선	김영선/NNP
전	전/MMD
의원을	의원/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
정밀	정밀/NNG
여론조사를	여론/NNG+조사/NNG+를/JKO
통해	통하/VV+아/EC
나머지	나머지/NNG
1명을	1/SN+명/NNB+을/JKO
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.317.4.3
24일 최종 주자가 결정된다.

24일	24/SN+일/NNB
최종	최종/NNG
주자가	주자/NNG+가/JKS
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.317.5.1
경선 후보 결정은 11일 제주도부터 시작된다.

경선	경선/NNG
후보	후보/NNG
결정은	결정/NNG+은/JX
11일	11/SN+일/NNB
제주도부터	제주도/NNP+부터/JX
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.317.5.2
원희룡 전 의원, 김경택 전 제주도 정무부지사, 김방훈 전 제주시장은 100% 여론조사 경선을 통해 후보를 확정한다.

원희룡	원희룡/NNP
전	전/MMD
의원,	의원/NNG+,/SP
김경택	김경택/NNP
제주도	제주도/NNP
정무부지사,	정무/NNG+부지사/NNG+,/SP
김방훈	김방훈/NNP
제주시장은	제주시장/NNG+은/JX
100%	100/SN+%/SW
여론조사	여론/NNG+조사/NNG
경선을	경선/NNG+을/JKO
통해	통하/VV+아/EC
후보를	후보/NNG+를/JKO
확정한다.	확정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.317.5.3
곧이어 시도별 후보자 확정 시기는 △12일 세종 울산 △13일 경북 △14일 경남 △18일 대전 △20일 대구 충남 강원 △22일 부산 △23일 인천 △24일 경기 △30일 서울이다.

곧이어	곧이어/MAG
시도별	시도/NNG+별/XSN
후보자	후보자/NNG
확정	확정/NNG
시기는	시기/NNG+는/JX
△12일	△/SW+12/SN+일/NNB
세종	세종/NNP
울산	울산/NNP
△13일	△/SW+13/SN+일/NNB
경북	경북/NNP
△14일	△/SW+14/SN+일/NNB
경남	경남/NNP
△18일	△/SW+18/SN+일/NNB
대전	대전/NNP
△20일	△/SW+20/SN+일/NNB
대구	대구/NNP
충남	충남/NNP
강원	강원/NNP
△22일	△/SW+22/SN+일/NNB
부산	부산/NNP
△23일	△/SW+23/SN+일/NNB
인천	인천/NNP
△24일	△/SW+24/SN+일/NNB
경기	경기/NNP
△30일	△/SW+30/SN+일/NNB
서울이다.	서울/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000041.317.6.1
