# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.427
metadata : {}


# id : NWRW1800000038.427.1.1
朴대통령 시정연설前에 靑·민주당 막후접촉… "與野 합의땐 수용" 문구, 野지도부 의견 듣고 넣었다

朴대통령	朴/SH+대통령/NNG
시정연설前에	시정/NNG+연설/NNG+前/SH+에/JKB
靑·민주당	靑/SH+·/SP+민주당/NNP
막후접촉…	막후/NNG+접촉/NNG+…/SE
"與野	"/SS+與野/SH
합의땐	합의/NNG+때/NNG+ㄴ/JX
수용"	수용/NNG+"/SS
문구,	문구/NNG+,/SP
野지도부	野/SH+지도부/NNG
의견	의견/NNG
듣고	듣/VV+고/EC
넣었다	넣/VV+었/EP+다/EC


# id : NWRW1800000038.427.2.1
초안 본 野 "이대론 안돼" 의견

초안	초안/NNG
본	보/VV+ㄴ/ETM
野	野/SH
"이대론	"/SS+이대로/MAG+ㄴ/JX
안돼"	안/MAG+되/XSV+어/EF+"/SS
의견	의견/NNG


# id : NWRW1800000038.427.3.1
박근혜 대통령의 18일 국회 시정 연설에 앞서 청와대와 민주당 지도부 간 막후 접촉이 있었던 것으로 19일 전해졌다.

박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
18일	18/SN+일/NNB
국회	국회/NNG
시정	시정/NNG
연설에	연설/NNG+에/JKB
앞서	앞서/VV+어/EC
청와대와	청와대/NNP+와/JC
민주당	민주당/NNP
지도부	지도부/NNG
간	간/NNB
막후	막후/NNG
접촉이	접촉/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
19일	19/SN+일/NNB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.427.3.2
박 대통령의 '국회 합의 존중' 발언도 이런 배경에서 나온 것이다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
'국회	'/SS+국회/NNG
합의	합의/NNG
존중'	존중/NNG+'/SS
발언도	발언/NNG+도/JX
이런	이런/MMD
배경에서	배경/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.427.4.1
