# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.161
metadata : {}


# id : NWRW1800000025.161.1.1
[이 경기 이 선수]호날두 vs 카카

[이	[/SS+이/MMD
경기	경기/NNG
이	이/MMD
선수]호날두	선수/NNG+]/SS+호날두/NNP
vs	vs/SL
카카	카카/NNP


# id : NWRW1800000025.161.2.1
《23일 오후 11시 더반에서 열리는 남아공 월드컵 G조 3차전인 브라질-포르투갈 경기는 조별리그 최고의 빅게임이다.

《23일	《/SS+23/SN+일/NNB
오후	오후/NNG
11시	11/SN+시/NNB
더반에서	더반/NNP+에서/JKB
열리는	열리/VV+는/ETM
남아공	남아공/NNP
월드컵	월드컵/NNG
G조	G/SL+조/NNG
3차전인	3/SN+차전/NNB+이/VCP+ㄴ/ETM
브라질-포르투갈	브라질/NNP+-/SO+포르투갈/NNP
경기는	경기/NNG+는/JX
조별리그	조별/NNG+리그/NNG
최고의	최고/NNG+의/JKG
빅게임이다.	빅게임/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.161.2.2
강력한 우승 후보 브라질과 이번 대회 8강 이상을 목표로 삼고 있는 포르투갈의 대결 때문이기도 하지만 무엇보다 두 팀에는 세계에서 가장 몸값이 비싼 축구 스타 톱3 가운데 두 명이 포진하고 있기 때문이다.》

강력한	강력/NNG+하/XSA+ㄴ/ETM
우승	우승/NNG
후보	후보/NNG
브라질과	브라질/NNP+과/JC
이번	이번/NNG
대회	대회/NNG
8강	8/SN+강/NNB
이상을	이상/NNG+을/JKO
목표로	목표/NNG+로/JKB
삼고	삼/VV+고/EC
있는	있/VX+는/ETM
포르투갈의	포르투갈/NNP+의/JKG
대결	대결/NNG
때문이기도	때문/NNB+이/VCP+기/ETN+도/JX
하지만	하/VX+지만/EC
무엇보다	무엇/NP+보다/JKB
두	두/MMN
팀에는	팀/NNG+에/JKB+는/JX
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
몸값이	몸값/NNG+이/JKS
비싼	비싸/VA+ㄴ/ETM
축구	축구/NNG
스타	스타/NNG
톱3	톱/NNG+3/SN
가운데	가운데/NNG
명이	명/NNB+이/JKS
포진하고	포진/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.》	때문/NNB+이/VCP+다/EF+./SF+》/SS


# id : NWRW1800000025.161.3.1
브라질과 포르투갈에서 공격의 핵심인 카카(28)와 크리스티아누 호날두(25)가 그 주인공이다.

브라질과	브라질/NNP+과/JC
포르투갈에서	포르투갈/NNP+에서/JKB
공격의	공격/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
카카(28)와	카카/NNP+(/SS+28/SN+)/SS+와/JC
크리스티아누	크리스티아누/NNP
호날두(25)가	호날두/NNP+(/SS+25/SN+)/SS+가/JKS
그	그/MMD
주인공이다.	주인공/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.161.3.2
아르헨티나의 리오넬 메시와 함께 세계 축구의 3대 스타다.

아르헨티나의	아르헨티나/NNP+의/JKG
리오넬	리오넬/NNP
메시와	메시/NNP+와/JKB
함께	함께/MAG
세계	세계/NNG
축구의	축구/NNG+의/JKG
3대	3/SN+대/NNG
스타다.	스타/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.161.3.3
축구전문매체 골닷컴에 따르면 축구선수 연간 수입에서 1위는 메시로 연간 광고수입을 합쳐 약 520억 원을 벌어들이고 그 뒤를 호날두(약 473억 원), 카카(약 296억 원)가 뒤따르고 있다.

축구전문매체	축구/NNG+전문/NNG+매체/NNG
골닷컴에	골닷컴/NNP+에/JKB
따르면	따르/VV+면/EC
축구선수	축구/NNG+선수/NNG
연간	연간/NNG
수입에서	수입/NNG+에서/JKB
1위는	1/SN+위/NNB+는/JX
메시로	메시/NNP+로/JKB
광고수입을	광고/NNG+수입/NNG+을/JKO
합쳐	합치/VV+어/EC
약	약/MMA
520억	520/SN+억/NR
원을	원/NNB+을/JKO
벌어들이고	벌어들이/VV+고/EC
그	그/MMD
뒤를	뒤/NNG+를/JKO
호날두(약	호날두/NNP+(/SS+약/MMA
473억	473/SN+억/NR
원),	원/NNB+)/SS+,/SP
카카(약	카카/NNP+(/SS+약/MMA
296억	296/SN+억/NR
원)가	원/NNB+)/SS+가/JKS
뒤따르고	뒤따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.161.4.1
‘하얀 펠레’로 불리는 카카는 뛰어난 밸런스 덕분에 밀집된 상대 수비들 틈 사이를 빠르면서 자유롭게 방향을 바꿔 빠져나가는 신기의 드리블이 트레이드마크.

‘하얀	‘/SS+하얗/VA+ㄴ/ETM
펠레’로	펠레/NNP+’/SS+로/JKB
불리는	불리/VV+는/ETM
카카는	카카/NNP+는/JX
뛰어난	뛰어나/VA+ㄴ/ETM
밸런스	밸런스/NNG
덕분에	덕분/NNG+에/JKB
