# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.13
metadata : {}


# id : NWRW1800000054.13.1.1
"트럼프의 정신상태, 공화의원들도 우려"

"트럼프의	"/SS+트럼프/NNP+의/JKG
정신상태,	정신/NNG+상태/NNG+,/SP
공화의원들도	공화/NNP+의원/NNG+들/XSN+도/JX
우려"	우려/NNG+"/SS


# id : NWRW1800000054.13.2.1
프랭컨 의원, CNN에서 밝혀… 샌더스도 "병적인 거짓말쟁이"

프랭컨	프랭컨/NNP
의원,	의원/NNG+,/SP
CNN에서	CNN/SL+에서/JKB
밝혀…	밝히/VV+어/EC+…/SE
샌더스도	샌더스/NNP+도/JX
"병적인	"/SS+병/NNG+적/XSN+이/VCP+ㄴ/ETM
거짓말쟁이"	거짓말/NNG+쟁이/XSN+"/SS


# id : NWRW1800000054.13.3.1
취임 3주 동안 하루가 멀다고 돌발 발언과 정책을 쏟아내고 있는 도널드 트럼프 미국 대통령에 대해 미국 워싱턴 정가에서 정신 건강에 이상이 있는 것 아니냐는 주장이 나오고 있다.

취임	취임/NNG
3주	3/SN+주/NNB
동안	동안/NNG
하루가	하루/NNG+가/JKS
멀다고	멀/VA+다고/EC
돌발	돌발/NNG
발언과	발언/NNG+과/JC
정책을	정책/NNG+을/JKO
쏟아내고	쏟/VV+아/EC+내/VX+고/EC
있는	있/VA+는/ETM
도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령에	대통령/NNG+에/JKB
대해	대하/VV+아/EC
워싱턴	워싱턴/NNP
정가에서	정가/NNG+에서/JKB
정신	정신/NNG
건강에	건강/NNG+에/JKB
이상이	이상/NNG+이/JKS
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
주장이	주장/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.13.4.1
앨 프랭컨〈사진〉 민주당 상원 의원(미네소타)은 12일(현지 시각) CNN에 출연해 "공화당 일부 동료 의원이 대통령의 정신 건강에 대한 우려를 표하고 있다"고 밝혔다.

앨	앨/NNP
프랭컨〈사진〉	프랭컨/NNP+〈/SS+사진/NNG+〉/SS
민주당	민주당/NNP
상원	상원/NNG
의원(미네소타)은	의원/NNG+(/SS+미네소타/NNP+)/SS+은/JX
12일(현지	12/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
CNN에	CNN/SL+에/JKB
출연해	출연/NNG+하/XSV+아/EC
"공화당	"/SS+공화당/NNP
일부	일부/NNG
동료	동료/NNG
의원이	의원/NNG+이/JKS
대통령의	대통령/NNG+의/JKG
