# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.35
metadata : {}


# id : NWRW1800000041.35.1.1
삼성 가상현실 헤드셋 ‘기어VR’ 12월 美 출시

삼성	삼성/NNP
가상현실	가상/NNG+현실/NNG
헤드셋	헤드셋/NNG
‘기어VR’	‘/SS+기어VR/NNP+’/SS
12월	12/SN+월/NNB
美	美/SH
출시	출시/NNG


# id : NWRW1800000041.35.2.1
‘개발자 콘퍼런스 2014’서 밝혀… 디지털 헬스 플랫폼도 첫 공개

‘개발자	‘/SS+개발자/NNG
콘퍼런스	콘퍼런스/NNG
2014’서	2014/SN+’/SS+서/JKB
밝혀…	밝히/VV+어/EF+…/SE
디지털	디지털/NNG
헬스	헬스/NNG
플랫폼도	플랫폼/NNG+도/JX
첫	첫/MMN
공개	공개/NNG


# id : NWRW1800000041.35.3.1
삼성전자가 스마트폰을 기반으로 한 최초의 가상현실 헤드셋인 ‘기어VR’를 다음 달 초부터 미국에서 199달러에 판매한다.

삼성전자가	삼성전자/NNP+가/JKS
스마트폰을	스마트폰/NNG+을/JKO
기반으로	기반/NNG+으로/JKB
한	하/VV+ㄴ/ETM
최초의	최초/NNG+의/JKG
가상현실	가상/NNG+현실/NNG
헤드셋인	헤드셋/NNG+이/VCP+ㄴ/ETM
‘기어VR’를	‘/SS+기어VR/NNP+’/SS+를/JKO
다음	다음/NNG
달	달/NNG
초부터	초/NNB+부터/JX
미국에서	미국/NNP+에서/JKB
199달러에	199/SN+달러/NNB+에/JKB
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.35.4.1
삼성전자는 11일(현지 시간) 미국 샌프란시스코에서 열린 ‘삼성 개발자 콘퍼런스 2014’에서 이같이 밝히고 전 세계 개발자들의 가상현실 관련 애플리케이션(앱·응용프로그램) 및 콘텐츠, 서비스 개발을 독려했다.

삼성전자는	삼성전자/NNP+는/JX
11일(현지	11/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국	미국/NNP
샌프란시스코에서	샌프란시스코/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘삼성	‘/SS+삼성/NNP
개발자	개발자/NNG
콘퍼런스	콘퍼런스/NNG
2014’에서	2014/SN+’/SS+에서/JKB
이같이	이/NP+같이/JKB
밝히고	밝히/VV+고/EC
전	전/MMN
세계	세계/NNG
개발자들의	개발자/NNG+들/XSN+의/JKG
가상현실	가상/NNG+현실/NNG
관련	관련/NNG
애플리케이션(앱·응용프로그램)	애플리케이션/NNG+(/SS+앱/NNG+·/SP+응용/NNG+프로그램/NNG+)/SS
및	및/MAG
콘텐츠,	콘텐츠/NNG+,/SP
서비스	서비스/NNG
개발을	개발/NNG+을/JKO
독려했다.	독려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.35.4.2
삼성전자는 기어VR 판매 대상 국가를 순차적으로 확대할 계획이다.

삼성전자는	삼성전자/NNP+는/JX
기어VR	기어VR/NNP
판매	판매/NNG
대상	대상/NNG
국가를	국가/NNG+를/JKO
순차적으로	순차/NNG+적/XSN+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.35.5.1
기어VR는 ‘갤럭시 노트4’와 연동해 스마트폰 디스플레이 속 콘텐츠를 3차원(3D) 영상 및 360도 뷰로 제공하는 웨어러블 기기다.

기어VR는	기어VR/NNP+는/JX
‘갤럭시	‘/SS+갤럭시/NNP
노트4’와	노트/NNP+4/SN+’/SS+와/JC
연동해	연동/NNG+하/XSV+아/EC
스마트폰	스마트폰/NNG
디스플레이	디스플레이/NNG
속	속/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
영상	영상/NNG
및	및/MAG
360도	360/SN+도/NNB
뷰로	뷰/NNG+로/JKB
제공하는	제공/NNG+하/XSV+는/ETM
웨어러블	웨어러블/NNG
기기다.	기기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.35.5.2
몰입감 있는 엔터테인먼트 경험뿐 아니라 자동차 운행 및 항공기 운항 시뮬레이션, 헬스케어용 스캔, 쌍방향 교육 서비스 등 기업 간 거래(B2B) 시장에 혁신적인 서비스를 제공할 수 있는 잠재성을 지니고 있다고 회사 측은 설명했다.

몰입감	몰입감/NNG
있는	있/VA+는/ETM
엔터테인먼트	엔터테인먼트/NNG
경험뿐	경험/NNG+뿐/JX
아니라	아니/VCN+라/EC
자동차	자동차/NNG
운행	운행/NNG
및	및/MAG
항공기	항공기/NNG
운항	운항/NNG
시뮬레이션,	시뮬레이션/NNG+,/SP
헬스케어용	헬스케어/NNG+용/XSN
스캔,	스캔/NNG+,/SP
쌍방향	쌍방향/NNG
교육	교육/NNG
서비스	서비스/NNG
등	등/NNB
기업	기업/NNG
간	간/NNB
거래(B2B)	거래/NNG+(/SS+B/SL+2/SN+B/SL+)/SS
시장에	시장/NNG+에/JKB
혁신적인	혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
잠재성을	잠재/NNG+성/XSN+을/JKO
지니고	지니/VV+고/EC
있다고	있/VX+다고/EC
회사	회사/NNG
측은	측/NNB+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.35.6.1
삼성전자는 가상현실 헤드셋 업체인 ‘오큘러스’와 협력해 기어VR를 내놓는다.

삼성전자는	삼성전자/NNP+는/JX
가상현실	가상/NNG+현실/NNG
헤드셋	헤드셋/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
‘오큘러스’와	‘/SS+오큘러스/NNP+’/SS+와/JKB
협력해	협력/NNG+하/XSV+아/EC
기어VR를	기어VR/NNP+를/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000041.35.6.2
두 회사는 ‘마블’, ‘태양의 서커스’, ‘드림웍스’ 등과 손잡고 다양한 콘텐츠를 선보일 예정이다.

두	두/MMN
회사는	회사/NNG+는/JX
‘마블’,	‘/SS+마블/NNP+’/SS+,/SP
‘태양의	‘/SS+태양/NNG+의/JKG
서커스’,	서커스/NNG+’/SS+,/SP
‘드림웍스’	‘/SS+드림웍스/NNP+’/SS
등과	등/NNB+과/JKB
손잡고	손잡/VV+고/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
콘텐츠를	콘텐츠/NNG+를/JKO
선보일	선보이/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.35.6.3
3D와 360도 뷰로 게임을 즐길 수 있는 게임패드도 함께 판매한다.

3D와	3/SN+D/SL+와/JC
360도	360/SN+도/NNB
뷰로	뷰/NNG+로/JKB
게임을	게임/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게임패드도	게임패드/NNG+도/JX
함께	함께/MAG
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.35.6.4
삼성전자는 이날 전방위 3D 카메라인 ‘프로젝트 비욘드’의 시제품도 공개했다.

삼성전자는	삼성전자/NNP+는/JX
이날	이날/NNG
전방위	전방위/NNG
3D	3/SN+D/SL
카메라인	카메라/NNG+이/VCP+ㄴ/ETM
‘프로젝트	‘/SS+프로젝트/NNP
비욘드’의	비욘드/NNP+’/SS+의/JKG
시제품도	시제품/NNG+도/JX
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.35.6.5
전후 좌우 상하 모두를 아우르는 전방위 입체각을 3D로 잡아 360도 뷰를 담아낼 수 있다.

전후	전후/NNG
좌우	좌우/NNG
상하	상하/NNG
모두를	모두/NNG+를/JKO
아우르는	아우르/VV+는/ETM
전방위	전방위/NNG
입체각을	입체각/NNG+을/JKO
3D로	3/SN+D/SL+로/JKB
잡아	잡/VV+아/EC
360도	360/SN+도/NNB
뷰를	뷰/NNG+를/JKO
담아낼	담아내/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.35.6.6
해당 카메라로 제작된 콘텐츠는 기어VR를 통해 감상할 수 있다.

해당	해당/NNG
카메라로	카메라/NNG+로/JKB
제작된	제작/NNG+되/XSV+ㄴ/ETM
콘텐츠는	콘텐츠/NNG+는/JX
기어VR를	기어VR/NNP+를/JKO
통해	통하/VV+아/EC
감상할	감상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.35.7.1
13일까지 이어지는 이번 콘퍼런스에서 삼성전자는 전 세계 의료기관 및 관련 업계 개발자들이 활용할 수 있는 소프트웨어 개발도구(SDK·Software Development Kit)인 ‘삼성 디지털 헬스 플랫폼’ 및 ‘삼성디지털 헬스 SDK’를 처음 공개했다.

13일까지	13/SN+일/NNB+까지/JX
이어지는	이어지/VV+는/ETM
이번	이번/NNG
콘퍼런스에서	콘퍼런스/NNG+에서/JKB
삼성전자는	삼성전자/NNP+는/JX
전	전/MMN
세계	세계/NNG
의료기관	의료/NNG+기관/NNG
및	및/MAG
관련	관련/NNG
업계	업계/NNG
개발자들이	개발자/NNG+들/XSN+이/JKS
활용할	활용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
소프트웨어	소프트웨어/NNG
개발도구(SDK·Software	개발/NNG+도구/NNG+(/SS+SDK/SL+·/SP+Software/SL
Development	Development/SL
Kit)인	Kit/SL+)/SS+이/VCP+ㄴ/ETM
‘삼성	‘/SS+삼성/NNP
디지털	디지털/NNG
헬스	헬스/NNG
플랫폼’	플랫폼/NNG+’/SS
‘삼성디지털	‘/SS+삼성/NNP+디지털/NNG
SDK’를	SDK/SL+’/SS+를/JKO
처음	처음/NNG
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.35.7.2
지난해에 이어 두 번째로 개최되는 이번 콘퍼런스에는 47개국 3000여 명의 개발자와 파트너 등이 참석했다.

지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
개최되는	개최/NNG+되/XSV+는/ETM
이번	이번/NNG
콘퍼런스에는	콘퍼런스/NNG+에/JKB+는/JX
47개국	47/SN+개국/NNB
3000여	3000/SN+여/XSN
명의	명/NNB+의/JKG
개발자와	개발자/NNG+와/JKB
파트너	파트너/NNG
등이	등/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


