# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.74
metadata : {}


# id : NWRW1800000038.74.1.1
국내 最高價 국악 콘서트 엽니다 '무료' 편견 깨야 국악이 사니까요

국내	국내/NNG
最高價	最高價/SH
국악	국악/NNG
콘서트	콘서트/NNG
엽니다	열/VV+ㅂ니다/EF
'무료'	'/SS+무료/NNG+'/SS
편견	편견/NNG
깨야	깨/VV+어야/EC
국악이	국악/NNG+이/JKS
사니까요	살/VV+니까/EC+요/JX


# id : NWRW1800000038.74.2.1
남상일, '독립 선언' 한 달… 내달 자신 이름 내건 공연

남상일,	남상일/NNP+,/SP
'독립	'/SS+독립/NNG
선언'	선언/NNG+'/SS
한	한/MMN
달…	달/NNB+…/SE
내달	내달/NNG
자신	자신/NNG
이름	이름/NNG
내건	내걸/VV+ㄴ/ETM
공연	공연/NNG


# id : NWRW1800000038.74.3.1
남상일(35)씨는 TV조선의 금요일 밤 토크쇼 '대찬 인생'을 열고 닫는 소리꾼이다.

남상일(35)씨는	남상일/NNP+(/SS+35/SN+)/SS+씨/NNB+는/JX
TV조선의	TV조선/NNP+의/JKG
금요일	금요일/NNG
밤	밤/NNG
토크쇼	토크쇼/NNG
'대찬	'/SS+대차/VA+ㄴ/ETM
인생'을	인생/NNG+'/SS+을/JKO
열고	열/VV+고/EC
닫는	닫/VV+는/ETM
소리꾼이다.	소리/NNG+꾼/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.74.3.2
그날의 이야기 주제를 구수한 소리로 소개하고, 판소리 한 토막으로 얘기를 마무리한다.

그날의	그날/NNG+의/JKG
이야기	이야기/NNG
주제를	주제/NNG+를/JKO
구수한	구수하/VA+ㄴ/ETM
소리로	소리/NNG+로/JKB
소개하고,	소개/NNG+하/XSV+고/EC+,/SP
판소리	판소리/NNG
한	한/MMN
토막으로	토막/NNG+으로/JKB
얘기를	얘기/NNG+를/JKO
마무리한다.	마무리/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.74.3.3
열 살 때 제1회 전국어린이판소리경연대회 장원을 시작으로 국악계의 상을 휩쓴 그는 요즘 교양·예능 프로그램까지 손을 뻗쳤다.

열	열/NR
살	살/NNB
때	때/NNG
제1회	제/XPN+1/SN+회/NNB
전국어린이판소리경연대회	전국/NNG+어린이/NNG+판소리/NNG+경연/NNG+대회/NNG
장원을	장원/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
국악계의	국악/NNG+계/XSN+의/JKG
상을	상/NNG+을/JKO
휩쓴	휩쓸/VV+ㄴ/ETM
그는	그/NP+는/JX
요즘	요즘/NNG
교양·예능	교양/NNG+·/SP+예능/NNG
프로그램까지	프로그램/NNG+까지/JX
손을	손/NNG+을/JKO
뻗쳤다.	뻗치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.74.4.1
남씨는 최근 2003년부터 10년간 다니던 국립창극단에 사표를 내고 '프리랜서'를 선언했다.

남씨는	남/NNP+씨/NNB+는/JX
최근	최근/MAG
2003년부터	2003/SN+년/NNB+부터/JX
10년간	10/SN+년/NNB+간/XSN
다니던	다니/VV+던/ETM
