# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.197
metadata : {}


# id : NWRW1800000037.197.1.1
檢개혁 설계도, ‘기획통’ 오세인 검사장이 그린다

檢개혁	檢/SH+개혁/NNG
설계도,	설계도/NNG+,/SP
‘기획통’	‘/SS+기획통/NNG+’/SS
오세인	오세인/NNP
검사장이	검사장/NNG+이/JKS
그린다	그리/VV+ㄴ다/EF


# id : NWRW1800000037.197.2.1
중수부 폐지후 특별수사체제개편 맡아… 朴정부 공약 이해도 높아 발탁 한듯

중수부	중수부/NNG
폐지후	폐지/NNG+후/NNG
특별수사체제개편	특별/NNG+수사/NNG+체제/NNG+개편/NNG
맡아…	맡/VV+아/EF+…/SE
朴정부	朴/SH+정부/NNG
공약	공약/NNG
이해도	이해도/NNG
높아	높/VA+아/EC
발탁	발탁/NNG
한듯	하/VV+ㄴ/ETM+듯/NNB


# id : NWRW1800000037.197.3.1
법무부가 검사장급 이상 검찰 고위간부 인사를 발표한 5일 오후.

법무부가	법무부/NNG+가/JKS
검사장급	검사장급/NNG
이상	이상/NNG
검찰	검찰/NNG
고위간부	고위/NNG+간부/NNG
인사를	인사/NNG+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
5일	5/SN+일/NNB
오후.	오후/NNG+./SF


# id : NWRW1800000037.197.3.2
검찰 안팎에선 법무연수원 연구위원으로 임명된 오세인 대검찰청 기획조정부장(48·검사장·사진)에 대한 인사발령에 주목하는 사람이 많았다.

검찰	검찰/NNG
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
법무연수원	법무/NNG+연수원/NNG
연구위원으로	연구/NNG+위원/NNG+으로/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
오세인	오세인/NNP
대검찰청	대/XPN+검찰청/NNG
기획조정부장(48·검사장·사진)에	기획/NNG+조정부장/NNG+(/SS+48/SN+·/SP+검사장/NNG+·/SP+사진/NNG+)/SS+에/JKB
대한	대하/VV+ㄴ/ETM
인사발령에	인사/NNG+발령/NNG+에/JKB
주목하는	주목/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.197.3.3
법무연수원 연구위원은 지금까지 정식 발령의 대상이 된 적이 없는 자리였다.

법무연수원	법무/NNG+연수원/NNG
연구위원은	연구/NNG+위원/NNG+은/JX
지금까지	지금/NNG+까지/JX
정식	정식/NNG
발령의	발령/NNG+의/JKG
대상이	대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
적이	적/NNB+이/JKS
없는	없/VA+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.197.3.4
이 자리는 그동안 검사장급 가운데 잘못된 수사나 처신으로 문제가 불거지거나 일선 지검장에 임명되지 못할 때 잠시 머무르는 한직(閑職)으로 분류돼 왔다.

이	이/MMD
자리는	자리/NNG+는/JX
그동안	그동안/NNG
검사장급	검사장급/NNG
가운데	가운데/NNG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
수사나	수사/NNG+나/JC
처신으로	처신/NNG+으로/JKB
문제가	문제/NNG+가/JKS
불거지거나	불거지/VV+거나/EC
일선	일선/NNG
지검장에	지검장/NNG+에/JKB
임명되지	임명/NNG+되/XSV+지/EC
못할	못하/VX+ㄹ/ETM
때	때/NNG
잠시	잠시/MAG
머무르는	머무르/VV+는/ETM
한직(閑職)으로	한직/NNG+(/SS+閑職/SH+)/SS+으로/JKB
분류돼	분류/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.197.4.1
오 검사장은 대구고검 차장으로 일하다 지난해 말 김진태 전 대검 차장이 검찰총장 권한대행을 맡자 검찰의 전반적인 업무를 총괄하는 기조부장에 임명됐다.

오	오/NNP
검사장은	검사장/NNG+은/JX
대구고검	대구고검/NNP
차장으로	차장/NNG+으로/JKB
일하다	일/NNG+하/XSV+다/EC
지난해	지난해/NNG
말	말/NNB
김진태	김진태/NNP
전	전/MMD
대검	대검/NNG
차장이	차장/NNG+이/JKS
검찰총장	검찰/NNG+총장/NNG
권한대행을	권한/NNG+대행/NNG+을/JKO
맡자	맡/VV+자/EC
검찰의	검찰/NNG+의/JKG
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
업무를	업무/NNG+를/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
기조부장에	기조부장/NNG+에/JKB
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.197.4.2
이후 대통령직인수위원회를 오가며 검찰개혁의 큰 틀을 짜고 흐트러진 검찰 내부 분위기를 바로잡는 데 일조했다.

이후	이후/NNG
대통령직인수위원회를	대통령직/NNG+인수/NNG+위원회/NNG+를/JKO
오가며	오가/VV+며/EC
검찰개혁의	검찰/NNG+개혁/NNG+의/JKG
큰	크/VA+ㄴ/ETM
틀을	틀/NNG+을/JKO
짜고	짜/VV+고/EC
흐트러진	흐트러지/VV+ㄴ/ETM
검찰	검찰/NNG
내부	내부/NNG
분위기를	분위기/NNG+를/JKO
바로잡는	바로잡/VV+는/ETM
데	데/NNB
일조했다.	일조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.197.4.3
이 때문에 “오 검사장에게 저런 대우를 하는 것은 뭔가 이상하다”는 얘기까지 나왔다.

이	이/NP
때문에	때문/NNB+에/JKB
“오	“/SS+오/NNP
검사장에게	검사장/NNG+에게/JKB
저런	저런/MMD
대우를	대우/NNG+를/JKO
하는	하/VV+는/ETM
것은	것/NNB+은/JX
뭔가	뭐/NP+이/VCP+ㄴ가/EF
이상하다”는	이상/NNG+하/XSA+다/EF+”/SS+는/ETM
얘기까지	얘기/NNG+까지/JX
